candidate_index,max_rules,max_trees,min_impurity_decrease,max_features,max_depth,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
39,16,6.0,0.0001,sqrt,6.0,0.7589122986518135,0.015628441309504977,0.62489722783285,0.044257956848537804,0.8345336738800618,0.005235874060452815,0.6416942474389283,0.05116433069796467
16,4,4.0,0.005,sqrt,10.0,0.6479633017914497,0.038124280029258106,0.6203695082613268,0.02856106527932179,0.7066730831791606,0.022434551487739252,0.6524893574193991,0.028377543570196215
2,8,,0.0,sqrt,2.0,0.6875921557115914,0.01697732125125822,0.6197261563163902,0.027206784747967054,0.7518902334900635,0.00842098619915625,0.656380387672594,0.04104581257575285
32,16,2.0,0.01,sqrt,3.0,0.6849124452182058,0.018166011658201732,0.6109992705006773,0.026671508523996267,0.7535219910074545,0.021942958020593074,0.628469288553123,0.03359411998205779
35,8,,0.0005,sqrt,2.0,0.6916663625152735,0.013069162288098601,0.6105263171894025,0.03968311245076199,0.7559053283468697,0.005616685905594562,0.6361179634768904,0.059593519483559836
28,6,,0.0001,log2,5.0,0.6662793626632022,0.03586063414041874,0.6088993637638975,0.04481268619705553,0.7048327558422468,0.018184184269005445,0.6384733999725906,0.01894612027636578
14,4,4.0,0.001,,6.0,0.7002534216847778,0.014715546134301972,0.6078517306883472,0.036226448816595,0.741197346571201,0.004941097549900568,0.647631072909172,0.05144198480410566
12,8,6.0,0.01,sqrt,3.0,0.6879411094756491,0.020973367883494298,0.6047293680962375,0.04521396349240168,0.758827753962928,0.012727056961279026,0.628903857025388,0.03263927352954941
15,8,3.0,0.0005,sqrt,6.0,0.7101072906276109,0.006964382327097681,0.6022256690451192,0.045465337496931865,0.7697749150998454,0.005842405174391618,0.6583484085380478,0.05200419740727149
13,24,1.0,0.0005,log2,8.0,0.6831559532152138,0.041533272086940805,0.6007660899556168,0.027007778603176127,0.7562877270523792,0.031604616900026375,0.6394562861890568,0.03072787734723406
25,12,,0.0,log2,5.0,0.7086125697304686,0.010042046641315694,0.5991547648096704,0.06513441550718607,0.7776325604539581,0.008769361922870833,0.61756430517011,0.06121138128924458
19,32,1.0,0.0005,,4.0,0.721347247595695,0.011639007351414538,0.5979293111398255,0.04079200307422386,0.7761470849651252,0.008160720331053398,0.6137227832596704,0.030546426564021692
11,16,6.0,0.0005,sqrt,6.0,0.7372126332941203,0.02674856274729241,0.5966906814460888,0.02648775012314148,0.824430723366056,0.0036904536187888077,0.6245431827525953,0.035860727180134035
26,32,3.0,0.0001,sqrt,6.0,0.82432294972099,0.012991460555229466,0.59435636288532,0.04828268566401435,0.9046534117294767,0.007705224728495608,0.5968443999040669,0.02967869781795393
37,6,6.0,0.0005,sqrt,6.0,0.6725765802745561,0.020674870213999618,0.593090100972032,0.07376392304955703,0.7257957269430804,0.015745492993821435,0.6215696842772467,0.07021913325113004
27,32,,0.001,log2,5.0,0.7928080336336565,0.014897553330890562,0.592848173526237,0.0519156547247109,0.8795206172290365,0.01160127350079529,0.6205168611025457,0.058114818252940195
5,24,2.0,0.001,,3.0,0.7421544272242381,0.018888842699465235,0.5898803424821017,0.044565435895334446,0.7997837790934662,0.016048811447385222,0.6210085825881385,0.04894505846653494
18,8,,0.01,log2,8.0,0.6427589542601385,0.02479850621242605,0.5890110184568655,0.06852617595742469,0.7198616436288843,0.009998102661345829,0.618060330797958,0.06554365358019748
10,12,8.0,0.0,sqrt,8.0,0.7377329296367515,0.01086386198891674,0.5878136209892089,0.03891177521691149,0.801179083171618,0.010286015286170075,0.6264974560592046,0.03858207567353457
29,6,,0.01,,4.0,0.7163286157425768,0.009364259640784531,0.5876605575586298,0.03284095188404048,0.7700781831032797,0.005575464787805607,0.6236818617877822,0.04417852622816826
20,32,2.0,0.005,log2,5.0,0.7053651510526691,0.03517767879959817,0.5857569362031938,0.07828547427468878,0.7642533029003437,0.03961569172183332,0.6068395175934491,0.09071521127808019
9,48,3.0,0.005,,2.0,0.7239051598720014,0.019419721161901344,0.5841736832207829,0.0516061006216881,0.7901694747944014,0.007973359977854583,0.6150147540000684,0.04358297901061512
22,16,1.0,0.0,sqrt,2.0,0.641088410999507,0.0359606348863718,0.5834324347153294,0.0458588058242679,0.6704770915964974,0.022843298762314213,0.5981544223455648,0.027729459772095805
3,24,4.0,0.0001,log2,,0.7729246240200501,0.014018479067336134,0.5817507250178735,0.02870677451629161,0.8532268317635513,0.009058827661628322,0.5908704860040428,0.025709646463969796
21,32,8.0,0.0005,sqrt,6.0,0.8227276238471652,0.014495201098115485,0.5814195441741441,0.03135109550138708,0.9075115321235165,0.007873953673967335,0.5934782822832083,0.0240254932680505
23,6,2.0,0.005,sqrt,4.0,0.6699431111934063,0.03048187616798516,0.5774654500674679,0.07021245396595026,0.7200309194424248,0.027253910673568114,0.6098331234796313,0.05433455112641578
40,6,3.0,0.0,log2,6.0,0.6444779265898501,0.0331452847745294,0.573411628435369,0.06055955453315074,0.6959265068243324,0.03363786679765598,0.6140834960770206,0.06311241013818465
34,16,2.0,0.0001,,4.0,0.7558582318395857,0.019096780294734474,0.570259499441351,0.06877511466770558,0.8261025871878556,0.015157527201776044,0.6042818934799741,0.06998664847307512
33,32,1.0,0.01,sqrt,6.0,0.6601520112732226,0.04342270670907877,0.5688825719809447,0.07699374140231931,0.7276928377608312,0.045549435807802435,0.6228036240449516,0.06976729822090098
8,12,8.0,0.0,log2,5.0,0.699090322661451,0.02980139205410658,0.5663528157062492,0.03684115209940007,0.7625739474408679,0.022890581410961133,0.6053137955254051,0.06883296803944632
7,16,,0.005,log2,4.0,0.7291961390075368,0.014815509804839621,0.565530631667327,0.03807425512207202,0.8022543226483092,0.009382833893885629,0.594304334977901,0.039259137264296244
