candidate_index,max_rules,max_trees,min_impurity_decrease,max_features,max_depth,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
18,8,,0.01,log2,8.0,0.7070737272463472,0.01839682232969298,0.6435963019462185,0.023870000516081978,0.7662209229086283,0.017676483347237353,0.6718292176311371,0.02653401063745025
1,4,,0.0005,log2,2.0,0.6592442216941391,0.015051721098026586,0.6327265181606638,0.041142834683715955,0.7095249655314866,0.020980221028847904,0.6614458920067153,0.05339672751807802
12,8,6.0,0.01,sqrt,3.0,0.7137327549753965,0.01674515672766875,0.6296158903508754,0.03142490092317605,0.7765265618111963,0.012081274495932893,0.6607286848596978,0.019911792057063234
23,6,2.0,0.005,sqrt,4.0,0.6767184887246014,0.01936058161184679,0.6284888037063573,0.035926561452689146,0.7445240268645004,0.010193284350994267,0.6631944444444444,0.043065933649855476
35,8,,0.0005,sqrt,2.0,0.7028045686869102,0.01727920273724095,0.6284251339316421,0.02417681050843674,0.7693256991836789,0.00660889025387131,0.6638484813444341,0.04828690791558784
15,8,3.0,0.0005,sqrt,6.0,0.7034125343238278,0.014631741075128024,0.6251407520586845,0.05516223750441944,0.7732275330759781,0.0038817949055034947,0.6620946397368692,0.0641954599210323
2,8,,0.0,sqrt,2.0,0.7058064822815096,0.01826040550799248,0.6246677519212203,0.034627923265289025,0.7676812345136488,0.015016528509063142,0.6632508479802652,0.014341259666713933
40,6,3.0,0.0,log2,6.0,0.6785743704165162,0.03332389684007088,0.6231318665472964,0.03207861643676132,0.7413068786707668,0.01856710913029894,0.6631276124644534,0.050971790003699384
25,12,,0.0,log2,5.0,0.727626153582076,0.019479371918328582,0.6183954100523257,0.033724769356507416,0.8014797816258659,0.013422139602431344,0.6449725477095967,0.04228774519406925
37,6,6.0,0.0005,sqrt,6.0,0.6975487509998373,0.016181663112230724,0.6149962172762277,0.021955247257838952,0.7516138287298458,0.01227615899794154,0.6395163300441977,0.050287376721456514
11,16,6.0,0.0005,sqrt,6.0,0.7641487656785688,0.011266296587923596,0.6096154263385076,0.030499291796989174,0.8378669294735743,0.006639392209088957,0.6296148970432042,0.03107885366927468
14,4,4.0,0.001,,6.0,0.7002534216847778,0.014715546134301972,0.6078517306883472,0.036226448816595,0.741197346571201,0.004941097549900568,0.647631072909172,0.05144198480410566
8,12,8.0,0.0,log2,5.0,0.736965326280151,0.018820329881421606,0.6078141147202553,0.04429342913797992,0.8059440755276434,0.010628404412681076,0.6506814463631069,0.06772539063782006
13,24,1.0,0.0005,log2,8.0,0.7383368868731415,0.023365327145040544,0.6047975410218563,0.04450465939471907,0.8220483576089983,0.023722390008145213,0.6220127967930928,0.05331014687072727
33,32,1.0,0.01,sqrt,6.0,0.7057041485753517,0.010506586204703494,0.6027581364229766,0.04121409180744637,0.7763201533240985,0.023189139542653024,0.6440906910610888,0.05275704258599233
9,48,3.0,0.005,,2.0,0.7227833092511864,0.00973751444145078,0.6016414371547757,0.03796193843951255,0.7877804295326898,0.008998932882516835,0.6245958817281666,0.04567139223515241
10,12,8.0,0.0,sqrt,8.0,0.736921705698347,0.0084976413431034,0.5990340094941041,0.02844033816288539,0.8133617125030576,0.014880757662799872,0.6309700594442731,0.04540716231010444
