candidate_index,max_rules,max_trees,min_impurity_decrease,max_features,max_depth,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
26,32,3.0,0.0001,sqrt,6.0,0.8914134349188266,0.03343501303284835,0.8400923941649749,0.06215658760726459,0.9219562469615944,0.01160420748154333,0.8211275388291517,0.07745241317260311
24,12,3.0,0.005,,10.0,0.9571056116970151,0.008812566939773656,0.8249620898814447,0.08083022721082456,0.9550587772299004,0.012057959945759209,0.7845280764635604,0.0821057281933081
29,6,,0.01,,4.0,0.9073329496790784,0.012188683998302644,0.8243665877133619,0.0690602127803042,0.8840043637289627,0.02222589645627804,0.7832437275985662,0.0638569910870959
34,16,2.0,0.0001,,4.0,0.9145754428629329,0.01639501974255081,0.8238257530999465,0.06648185685282873,0.8891956964604024,0.022545314644153686,0.7767174432497013,0.06463912288321713
14,4,4.0,0.001,,6.0,0.8839729554001801,0.01258326193655587,0.8220702684412362,0.08195360009727495,0.8516044979975461,0.018402691190208362,0.7943548387096774,0.0831818052346024
9,48,3.0,0.005,,2.0,0.9141562060716255,0.012642371125744432,0.8189417482159417,0.06935416789261167,0.8893413084241961,0.021573970278241542,0.7693100358422938,0.06823734100864619
4,32,3.0,0.0005,sqrt,,0.9791006034320926,0.007191183218155454,0.8185101086496239,0.037750263422173594,0.9907008357061834,0.004865597068171314,0.8471057347670252,0.013134808406010872
37,6,6.0,0.0005,sqrt,6.0,0.8307405203590651,0.042758751076338516,0.8157310744810745,0.028778645462876232,0.8091916105285091,0.035275782418648205,0.8117353643966547,0.03663746626574145
31,32,2.0,0.005,,8.0,0.9527740765980746,0.01036177435894607,0.8148185483870968,0.07477882102147027,0.9466945042479802,0.01884536392059686,0.7734199522102747,0.07002945251126609
30,24,3.0,0.0005,,10.0,0.9867083881447047,0.0048665740925488135,0.811551069284467,0.04032144463284974,0.9995413454638055,0.00030126352065879805,0.779260752688172,0.04172559231787262
17,32,,0.0001,,2.0,0.9867907405545754,0.004767527271630008,0.8075630440348182,0.05635467278194953,0.9998305437877631,0.00016507025838613206,0.7799611708482675,0.08608032139009371
5,24,2.0,0.001,,3.0,0.8992906367389579,0.013251991197468354,0.8063444619896233,0.06769364348070804,0.8737937356760888,0.02214458088821763,0.7706511350059737,0.06844750374163446
19,32,1.0,0.0005,,4.0,0.8660197744638551,0.01572776806224378,0.8063444619896233,0.06769364348070804,0.830375743685904,0.02025321934019189,0.7691696535244923,0.06851767518821371
36,48,3.0,0.005,,10.0,0.9866709786122027,0.00483495567914101,0.8053229224313199,0.05238002465024295,0.9997105007292173,9.736948267090962e-05,0.8077942054958184,0.07977527749875092
