candidate_index,max_rules,max_trees,min_impurity_decrease,max_features,max_depth,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
6,16,4.0,0.0001,,,0.9922959124670421,0.011337731422036392,0.8169388143059091,0.06314160191225647,0.9895039123087251,0.015432910488042227,0.8154928315412187,0.06702996743027194
11,16,6.0,0.0005,sqrt,6.0,0.9539690487752697,0.013463418537783758,0.8102873509239743,0.04016827585774712,0.9836238743431256,0.009174715172984854,0.8536305256869772,0.03832330891995963
24,12,3.0,0.005,,10.0,0.9588037306442387,0.012027376328821542,0.808891316306316,0.10958157000876045,0.961693809755307,0.01143768056398555,0.7760513739545998,0.1834206763184365
5,24,2.0,0.001,,3.0,0.9238029235489179,0.02281061320686224,0.8061047748907424,0.09082516752530066,0.9245891149848369,0.006267601888302704,0.7782735961768219,0.09567630173639625
29,6,,0.01,,4.0,0.9143141381686274,0.02051605200498753,0.8018046572382904,0.08281419062046252,0.9100963261337593,0.013512069725792653,0.8434214456391876,0.04954608412992128
12,8,6.0,0.01,sqrt,3.0,0.874745083932343,0.025340164020704027,0.801690175863563,0.04379663946375725,0.9093899807857028,0.01720013484204073,0.8234438470728793,0.05668486953256945
25,12,,0.0,log2,5.0,0.917512573009563,0.012025432604812905,0.7972762380522047,0.04512006889088128,0.9619233974581569,0.014304517766625289,0.8565367383512544,0.06667109321161983
37,6,6.0,0.0005,sqrt,6.0,0.8653317580167466,0.017689410415286967,0.7941184675845958,0.1155002197097353,0.8821474176447438,0.04151734391943017,0.7920818399044205,0.13672086560054428
26,32,3.0,0.0001,sqrt,6.0,0.965794036463793,0.014941721203505842,0.7923816868979596,0.07166418355985656,0.9975222353404172,0.0023195529780828533,0.8639934289127836,0.062239452193995355
14,4,4.0,0.001,,6.0,0.8921487321579604,0.015569292952963866,0.7923148723150444,0.05975609948078301,0.8845786744449846,0.014500542821821111,0.799778972520908,0.05958316352232204
15,8,3.0,0.0005,sqrt,6.0,0.8767965199330888,0.031160999073677854,0.7918372375832053,0.05530479384605601,0.9235127670903072,0.008621991728165218,0.8601254480286737,0.05959482446337686
38,48,6.0,0.0005,log2,2.0,0.918051961115183,0.030051889360747982,0.7901582826855403,0.06063152991496114,0.976571393846795,0.012605301627930346,0.792347670250896,0.06043852940076797
28,6,,0.0001,log2,5.0,0.832608656801358,0.031904232602167744,0.7899072143094719,0.06225739169269317,0.8893874574623238,0.023343343929010586,0.8390964755077658,0.05387288541758474
1,4,,0.0005,log2,2.0,0.814978290009653,0.046431289131230714,0.7894917658812812,0.09316439543796683,0.8482110215987222,0.04523161527178646,0.8275238948626045,0.06933047648949121
2,8,,0.0,sqrt,2.0,0.8773861462656333,0.021246019224221754,0.7894812793881705,0.0824657599287167,0.9372543579415236,0.011712197596197594,0.8108885902031064,0.05633914768865761
10,12,8.0,0.0,sqrt,8.0,0.9398236428193281,0.016090839456001933,0.788312355906238,0.08722212318025946,0.954567342639535,0.005864955195155728,0.7513515531660694,0.11797121423403197
34,16,2.0,0.0001,,4.0,0.9360773097872924,0.01858481791035057,0.7841385690535689,0.12286860414399445,0.9422653540755144,0.008226801054475307,0.7504659498207886,0.15681652583713723
17,32,,0.0001,,2.0,0.9943709289351037,0.004596746576014846,0.7832706348617632,0.10942838526478912,1.0,0.0,0.796126045400239,0.07593208010763668
13,24,1.0,0.0005,log2,8.0,0.9126700371225068,0.01691199766183471,0.782084894526536,0.07809839026790054,0.9498594809824755,0.045382679117152686,0.7705316606929511,0.10998912842923533
