candidate_index,max_rules,max_trees,min_impurity_decrease,max_features,max_depth,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
6,16,4.0,0.0001,,,0.7983993672869178,0.012929228761892418,0.6082931347376636,0.06931537879550505,0.7885547266705368,0.029784045446675043,0.6060800621258048,0.04892537064148243
34,16,2.0,0.0001,,4.0,0.7084609925169778,0.025476413386277406,0.6075429718017263,0.06512936228605025,0.6753846924183393,0.016734624386535963,0.5849775795986873,0.04790211156818524
24,12,3.0,0.005,,10.0,0.7620438036073969,0.013396005528037548,0.6057457466014966,0.06404787073177944,0.7270705792275056,0.015163054624292339,0.6016873543926451,0.03500033675147409
9,48,3.0,0.005,,2.0,0.7053294254906238,0.031077065708879848,0.6052028714382421,0.06195483456620553,0.6730757743420791,0.01887582179450886,0.5858929331897091,0.044943841522837584
36,48,3.0,0.005,,10.0,0.876466388462401,0.015248816158402637,0.600461878232071,0.0804377925105488,0.8762063403241909,0.01740853326074233,0.5534113245989796,0.07388434330499254
30,24,3.0,0.0005,,10.0,0.8474142905784177,0.0073366628574429195,0.5980244364326369,0.06277718081120803,0.850940211646865,0.018454319869049617,0.5974127817163088,0.06767845604571414
3,24,4.0,0.0001,log2,,0.7738955792498492,0.027066873530139746,0.594431271148224,0.07717259466312691,0.8061457035253288,0.02160471899023955,0.6423056063528645,0.06361155337773486
11,16,6.0,0.0005,sqrt,6.0,0.7567239807889232,0.01457567895718416,0.5937058020075379,0.09552356874712907,0.7769376086754536,0.03815236768039463,0.6171775762585903,0.09307112864016162
17,32,,0.0001,,2.0,0.8539402512835178,0.012543517143242438,0.592492025281189,0.0806559744586179,0.9150030668396392,0.021627927736452026,0.6533760030728892,0.06670636289361936
21,32,8.0,0.0005,sqrt,6.0,0.8555372700269498,0.006071591116931342,0.5919254144033597,0.0950900588278701,0.902988683431591,0.014348997812581657,0.6983506183354626,0.077521954277245
39,16,6.0,0.0001,sqrt,6.0,0.7447444844495517,0.023618002675205814,0.5908167243849641,0.05298619384973597,0.7699715940091139,0.054932085386514146,0.6086248403016108,0.04323050330842404
31,32,2.0,0.005,,8.0,0.7748443877422158,0.011750707760989807,0.5903630979342775,0.06707784557864617,0.7337271560616191,0.01908601038197002,0.5656230533496998,0.051001585885341955
19,32,1.0,0.0005,,4.0,0.6499830367280943,0.033322189820242154,0.5902455932489027,0.06023269322581583,0.6200134609110679,0.011678798853977542,0.5619088654525414,0.03279397855548624
14,4,4.0,0.001,,6.0,0.6645775408658103,0.025379458758309405,0.5861579875047,0.05937438728865489,0.6210337212640968,0.01156175381189463,0.5613878103158896,0.03625779297840175
5,24,2.0,0.001,,3.0,0.6881230691417176,0.027485708455408243,0.5819427755464177,0.05513340891870817,0.6612680106969131,0.016887439115772323,0.5673155640171347,0.040156079508528675
29,6,,0.01,,4.0,0.6877759985916592,0.02795494688128466,0.578833295250156,0.05141767588995922,0.6569915092553587,0.005414663307476548,0.5560828177058543,0.05201099820497565
10,12,8.0,0.0,sqrt,8.0,0.7119566904903941,0.009568684075435803,0.5655142420423491,0.06891300018929156,0.7485463868227888,0.04303366594103175,0.6136259467087519,0.07317851248358613
