candidate_index,max_rules,max_trees,min_impurity_decrease,max_features,max_depth,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
31,32,2.0,0.005,,8.0,0.8640572251644635,0.018146774741412998,0.6270672536350512,0.06700126038358258,0.9590002239002515,0.009797394748702176,0.7733280518049048,0.08025814898694078
34,16,2.0,0.0001,,4.0,0.75852195667787,0.025103914189963845,0.6167400889874516,0.07976099141451957,0.8849286795613651,0.022699378706098845,0.8083232295398182,0.050207954665627066
5,24,2.0,0.001,,3.0,0.7280505181830799,0.04863910896058042,0.6135417294050509,0.08895964411986537,0.8515639044850609,0.051835623054943845,0.7943173885451372,0.07520282012362438
30,24,3.0,0.0005,,10.0,0.898807909498843,0.012316023740730389,0.6036130561708046,0.0652026134013216,0.933950302178015,0.032425917738874245,0.7263937807393305,0.12488489246047232
29,6,,0.01,,4.0,0.7180809736804473,0.040438412008401176,0.5964329712921204,0.09004898308186382,0.7845440273123376,0.07547525572758491,0.7116140392628406,0.12937697871448783
24,12,3.0,0.005,,10.0,0.8056758479959096,0.02299577583413092,0.5954201630065514,0.07232188389385609,0.8141849765376289,0.07134236882366354,0.6890671944019973,0.1412793562296383
6,16,4.0,0.0001,,,0.842400059293646,0.01845841167691149,0.5927429309317609,0.032626349798378716,0.82449321103699,0.06919254172402786,0.6631046619404295,0.14538398378770429
36,48,3.0,0.005,,10.0,0.9700310004318652,0.013734733736709236,0.5915223811655166,0.03559151307465272,0.9929669200477003,0.005298813201279785,0.7159772497641057,0.122686080009751
19,32,1.0,0.0005,,4.0,0.6978035736158857,0.05919494214264862,0.5885706896834536,0.10420186191574023,0.7876022637328398,0.06416123674930498,0.7294609292149937,0.1186630702448206
17,32,,0.0001,,2.0,0.8345856639596174,0.029889729906910023,0.583409340051068,0.036080598716154814,0.9664553477928886,0.008913666395528989,0.7402170854313317,0.06679974175279628
4,32,3.0,0.0005,sqrt,,0.9216982939003475,0.014481363487388595,0.5803502381734222,0.02664852010837682,0.9488872691923733,0.01070553070868512,0.6153763245572285,0.15202399454131546
3,24,4.0,0.0001,log2,,0.8571412593305328,0.01538294099713445,0.5770409519533748,0.07349437964088183,0.8625471126647903,0.03866152908056311,0.6948759153953422,0.13504798272341742
14,4,4.0,0.001,,6.0,0.6753297305603158,0.04604958305957997,0.5694152366610069,0.07387901622076827,0.7521627674490252,0.08191125245434494,0.6918555282780965,0.14765686677384343
15,8,3.0,0.0005,sqrt,6.0,0.6667730469094402,0.039332730222135855,0.5656269852601657,0.09877483420723482,0.801721075475692,0.045324415868621105,0.7335973680035406,0.11801973468264733
21,32,8.0,0.0005,sqrt,6.0,0.8431173465705684,0.023320386136675617,0.5477840918711652,0.04486505458364648,0.9672292763026908,0.012136812519126261,0.8029998872717252,0.056585605131163064
40,6,3.0,0.0,log2,6.0,0.6663938509908992,0.03721676760159494,0.5465707218905363,0.07037633700796407,0.7307733825564589,0.06499503631128915,0.6351306395450788,0.06876889581261104
25,12,,0.0,log2,5.0,0.6990208215913287,0.023976731181603195,0.5457321611129005,0.06544573373450485,0.8677484119149863,0.018292974870895706,0.7359581277086098,0.10939779912018811
11,16,6.0,0.0005,sqrt,6.0,0.7116278929128228,0.049326855464554724,0.5435112216103388,0.032496243735715476,0.8972963377463689,0.051678535051316955,0.7372343161568844,0.11726658070859795
39,16,6.0,0.0001,sqrt,6.0,0.7361322512786835,0.03669366001254395,0.5428779207204188,0.05118598997908069,0.9185825304710429,0.01603625646160203,0.7693157393722287,0.07654343538137921
12,8,6.0,0.01,sqrt,3.0,0.6276782084061681,0.02196296236663467,0.5418730818206079,0.028915253965815096,0.80723669539995,0.04086569022159263,0.7347702430755613,0.11194196990489311
2,8,,0.0,sqrt,2.0,0.5992228342256589,0.0452725001788136,0.541407571012426,0.04870059359279743,0.8486360136394027,0.057137968842080514,0.7432267633624757,0.1300044408952421
33,32,1.0,0.01,sqrt,6.0,0.6278572295934304,0.05804260565256239,0.5374714166388077,0.05053321046054234,0.8152141963937041,0.04127396171029297,0.7022065307247175,0.08799089692445991
20,32,2.0,0.005,log2,5.0,0.6916937814044084,0.029782236557742665,0.536982827825078,0.04693842113572126,0.8977055400816379,0.02349568545148553,0.7345511118347987,0.06207892985024815
23,6,2.0,0.005,sqrt,4.0,0.5790641115942353,0.03595940609937462,0.5364693038398196,0.04361675034264941,0.7904350161829932,0.07854708208506593,0.7267511919971275,0.12381611947469412
10,12,8.0,0.0,sqrt,8.0,0.7205194324865838,0.04804127820879449,0.5330370506900973,0.045775844782749195,0.8508761915440456,0.03899609541338537,0.7104460699583323,0.15337427825324426
26,32,3.0,0.0001,sqrt,6.0,0.8011321790426124,0.06024484432533104,0.5300308117990327,0.04169334464269373,0.9478149371856752,0.017149784445014127,0.7316095927586697,0.07426908270203225
7,16,,0.005,log2,4.0,0.7038989657781958,0.046766427599756216,0.5273380868853191,0.03562654418898141,0.8707659673014817,0.03230978398659389,0.6927663309869152,0.08428739717392297
27,32,,0.001,log2,5.0,0.7972802706307782,0.05566326583283686,0.5269388810059283,0.04675064167588808,0.9528909630225766,0.009878543170524154,0.7613703791845152,0.0718125815555109
18,8,,0.01,log2,8.0,0.6408817504250639,0.024877141811451894,0.5265256279095107,0.053310780710620155,0.7930603870505316,0.036478350226488154,0.6610877861001863,0.10362616375809318
28,6,,0.0001,log2,5.0,0.6192552560757146,0.037395130444578845,0.5253904364920217,0.05305332708053406,0.7752765503433253,0.061833653131849756,0.6987844760640296,0.10338257062707541
8,12,8.0,0.0,log2,5.0,0.6707775526421148,0.0354715192105359,0.5251711522119291,0.0354033287866346,0.8653576528826546,0.028156480652046987,0.7132792863882695,0.08493824126638007
13,24,1.0,0.0005,log2,8.0,0.6939135351568944,0.023911853334195817,0.5251036818578692,0.033289311124870595,0.8316207734024663,0.04011700587823996,0.6530830974389806,0.03581930249629936
22,16,1.0,0.0,sqrt,2.0,0.5204357292306121,0.016726469793358276,0.5026145240704978,0.03398524497247547,0.7170904773581307,0.05195247313047866,0.6620636789498735,0.10444395063038489
32,16,2.0,0.01,sqrt,3.0,0.6042318892691714,0.046292963111747736,0.5008064229007207,0.03099451327506086,0.8099534067418777,0.06274082579238287,0.7086541287774409,0.07694551517784713
16,4,4.0,0.005,sqrt,10.0,0.5585644291054382,0.04360222155305319,0.500278051019739,0.03132136228868508,0.734973920685519,0.07948983905387738,0.6728693521046788,0.08459398775686237
38,48,6.0,0.0005,log2,2.0,0.6688061464694937,0.042994915559573556,0.49864771544396946,0.028728028791970433,0.8985893630963485,0.017969475317152907,0.7499016967692912,0.03787786234332169
37,6,6.0,0.0005,sqrt,6.0,0.6399748614565967,0.03313314906034662,0.4966396414211324,0.026696682133466758,0.7851951026972122,0.05919557061405378,0.7145614452599849,0.09993219383765108
1,4,,0.0005,log2,2.0,0.5463958479303681,0.05083006369489043,0.4856998956236992,0.0005037725252977321,0.7152791711289532,0.07077110296586016,0.6417722763596283,0.10131156533652257
9,48,3.0,0.005,,2.0,0.613276922152157,0.04323955347658672,0.4841045334418812,0.0026138609221568643,0.8610498770120459,0.032577005916460886,0.7530476089080388,0.0924575738535066
35,8,,0.0005,sqrt,2.0,0.548517285695542,0.02110595954839561,0.48384499893911315,0.0018268649865941105,0.8534612292787477,0.031625438123476506,0.7320706514024232,0.023959623885262106
