candidate_index,max_rules,max_trees,min_impurity_decrease,max_features,max_depth,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
7,16,,0.005,log2,4.0,0.8425596426745441,0.013512955578222442,0.7783039751936811,0.06224427557868673,0.9173776265646959,0.011819401738027445,0.8418497183819763,0.06965116925014181
6,16,4.0,0.0001,,,0.9086447428906155,0.008529810213764071,0.7625013407215069,0.0518682673320519,0.9607345805144295,0.013682816375848953,0.7898921530977983,0.058686760547054795
4,32,3.0,0.0005,sqrt,,0.9568804846423896,0.014667727437583928,0.7596594063440207,0.06654901025179238,0.9869073085596627,0.004133490496488348,0.7668695596518177,0.09586008003875118
27,32,,0.001,log2,5.0,0.9104352909982291,0.014973616614812243,0.7560347054677343,0.08208487189005069,0.9667445958754126,0.008713934556657948,0.7914132104454685,0.07432468700409045
24,12,3.0,0.005,,10.0,0.8809160644978906,0.0068305552997407985,0.7559113417702091,0.034421102876116966,0.9393221949864365,0.014536361367457442,0.7919044418842806,0.06481943454681603
30,24,3.0,0.0005,,10.0,0.9515356524817932,0.007403135296468585,0.7552131146876176,0.04723562933907306,0.985059629375429,0.0059942970257149545,0.7871995007680492,0.07088746253694811
36,48,3.0,0.005,,10.0,0.9931886743690473,0.0028465433476541112,0.7549851068761224,0.052566661033899224,0.9996977782135502,0.00023562304104331349,0.8005645161290322,0.06179479508717716
23,6,2.0,0.005,sqrt,4.0,0.771173613999491,0.026081814827860747,0.7548985719396659,0.06339941380664131,0.8241246292120141,0.02696501767914048,0.7730110727086533,0.05142712568051848
18,8,,0.01,log2,8.0,0.7669954504699831,0.0245502355067404,0.7504893071859733,0.06224526473078946,0.823328247867438,0.020475123332711634,0.7572475038402458,0.07013822774276156
9,48,3.0,0.005,,2.0,0.8555522196555814,0.014567230680704897,0.7494191400643013,0.059821079930533406,0.9112694002680002,0.015481254284340622,0.7790716205837173,0.07869692327473071
25,12,,0.0,log2,5.0,0.8142323255052407,0.019122030307948058,0.7481399281764263,0.05225857999126886,0.8836062921201424,0.02504039831218638,0.7992329109062981,0.06334393797509424
39,16,6.0,0.0001,sqrt,6.0,0.8749365622324914,0.0143488550798194,0.7476120271995563,0.062419400496809545,0.9347175056378078,0.013397472547681562,0.7977204941116232,0.06085646394932085
34,16,2.0,0.0001,,4.0,0.8738754583988311,0.012577202460037304,0.7470610122756333,0.08229349317423486,0.9314412877079452,0.00966694935022673,0.7786501536098311,0.09493523078399935
26,32,3.0,0.0001,sqrt,6.0,0.9210700673198892,0.014446030294076467,0.7442407323953765,0.05628311682912888,0.9750356740856947,0.00790651964524284,0.7879195468509985,0.06298631965926459
17,32,,0.0001,,2.0,0.9431489399816714,0.008940222514696426,0.7430704279261048,0.04429931722501179,0.989012711050103,0.004695005628086301,0.791074948796723,0.06907851707408638
5,24,2.0,0.001,,3.0,0.8526132778449276,0.015952300149339117,0.7384998533711853,0.07092374686509215,0.909430463117299,0.01375534044833354,0.7920935739887354,0.10028473058905957
31,32,2.0,0.005,,8.0,0.9544187363901386,0.01468051150195939,0.7378004569416995,0.09490145721171682,0.9867171618132498,0.004094804623160874,0.7632235663082437,0.11046065608918683
32,16,2.0,0.01,sqrt,3.0,0.7845190658238034,0.031520886778920586,0.7368422811305366,0.025172685380062444,0.8508213498055366,0.02152733639480737,0.8066653865847414,0.04730776857932898
19,32,1.0,0.0005,,4.0,0.8301876044480722,0.020397789184657435,0.7349192538673619,0.06779819557805211,0.8701795522436839,0.021314792208042825,0.7659607014848951,0.05546253147129844
37,6,6.0,0.0005,sqrt,6.0,0.7708454028052261,0.0313942928830633,0.7294844697988541,0.045864185047283686,0.8325300885707749,0.02292096545952632,0.7771338965693804,0.06927430646052357
8,12,8.0,0.0,log2,5.0,0.8177656580903239,0.03252777572022787,0.7291930926979375,0.05462235139901349,0.8780199797365755,0.02019697054956017,0.7841065028161802,0.06439917063780669
3,24,4.0,0.0001,log2,,0.8892483157164566,0.016744420304161522,0.7278953436088422,0.08568836192469852,0.9511538006994151,0.006547536281661815,0.8056723630312341,0.08023974384841548
11,16,6.0,0.0005,sqrt,6.0,0.8680668051622973,0.008888406468310002,0.7262137866546142,0.06570318986944396,0.9310152930025819,0.00879911506441591,0.7789551331285202,0.06716919791592496
10,12,8.0,0.0,sqrt,8.0,0.831030312739778,0.027030272534700903,0.7246725388913089,0.04644999759027363,0.905203558518809,0.01610800358985636,0.7798694316436252,0.053949143843954536
14,4,4.0,0.001,,6.0,0.797467277168983,0.04178500669692522,0.7243841184082319,0.05718750296507906,0.8508675634866163,0.026427825400888446,0.7574113543266769,0.07222648287543981
15,8,3.0,0.0005,sqrt,6.0,0.8054910786948257,0.022592335085640968,0.723877326222586,0.05457637699764561,0.8661550021243913,0.018775290356299663,0.7638421658986175,0.0812028601385461
21,32,8.0,0.0005,sqrt,6.0,0.9478455787641,0.010245401188943,0.7224541000691901,0.0657402045373151,0.9873881622381278,0.004770797251108025,0.7830088325652842,0.06113587944437459
38,48,6.0,0.0005,log2,2.0,0.8159019867708409,0.02298860183949353,0.7221750779542151,0.04549413523886154,0.8862671046180998,0.014231767357711972,0.7738111239119303,0.060069274596622195
2,8,,0.0,sqrt,2.0,0.7924034588642959,0.015098097731347833,0.7217123273774717,0.05997094971929806,0.8604733640552997,0.006803631591715335,0.780648681515617,0.060109038764562105
29,6,,0.01,,4.0,0.8387579232550358,0.01811362834975455,0.7174090020982413,0.08462033238568568,0.8838139673824232,0.01923418849063438,0.7847875064004096,0.07394758829422314
33,32,1.0,0.01,sqrt,6.0,0.7907202605551816,0.02927646655379056,0.7101704924625789,0.050259067592104044,0.85533715593032,0.021468257318991702,0.726451932923707,0.05465646350881765
35,8,,0.0005,sqrt,2.0,0.785505851271818,0.019457581925510548,0.7089183798839391,0.08200194475160313,0.8652444997875609,0.007648813189776535,0.7655379544290835,0.08669268348638072
12,8,6.0,0.01,sqrt,3.0,0.7886778449430479,0.01918816211566045,0.6982562557709491,0.029602870856096638,0.869443328430892,0.01512849043935802,0.7646825396825397,0.028412584914488784
28,6,,0.0001,log2,5.0,0.7483107775066735,0.052139886611580394,0.6874627262987076,0.06246096243547882,0.8195153184952773,0.03567581723476357,0.7534587813620072,0.06164768465863785
20,32,2.0,0.005,log2,5.0,0.7851852308256303,0.0331151035508237,0.6670533047282682,0.030642275097084146,0.8580111984835115,0.044116582239077315,0.7106038786482335,0.05254217986655469
13,24,1.0,0.0005,log2,8.0,0.7617458076299891,0.06142974017942192,0.666804585108736,0.05985395346876233,0.8390965780958917,0.06653831489053035,0.7277400153609831,0.06718490163278337
22,16,1.0,0.0,sqrt,2.0,0.6642803008316445,0.05346457656346642,0.6634182468117314,0.12014922233865406,0.6956742569532961,0.02417211638092753,0.6940530593958013,0.09031709778998777
16,4,4.0,0.005,sqrt,10.0,0.7431108023577876,0.02140093294190665,0.6565058608782355,0.08969106951665062,0.7860734045821485,0.027490677395348346,0.7105123527905786,0.10046124933763284
40,6,3.0,0.0,log2,6.0,0.7205111064792384,0.04023503182418711,0.651560848886931,0.057297453131923144,0.7775799169853254,0.04420414266342839,0.7056077188940092,0.054546740047854
1,4,,0.0005,log2,2.0,0.6375789009151249,0.08422481979638075,0.6063330909691027,0.12650259195212352,0.7041849580024186,0.08151047416527649,0.6809322196620584,0.10500518721285758
