candidate_index,max_rules,max_trees,min_impurity_decrease,max_features,max_depth,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
4,32,3.0,0.0005,sqrt,,0.8346228745045853,0.021260970746737873,0.6697826138318185,0.057901311556235915,0.9161569317253326,0.014693946330356077,0.7372846262160778,0.08764955761442669
27,32,,0.001,log2,5.0,0.7923624224708682,0.009614590956147367,0.6621224257879674,0.06100492214404391,0.881743553943197,0.005695683102302496,0.7152940988223248,0.03809375249269977
11,16,6.0,0.0005,sqrt,6.0,0.7278931226617175,0.02061196042550149,0.6556067715519055,0.05903935591296015,0.8139031708991077,0.02732127480427561,0.7134027777777777,0.06217607755436481
17,32,,0.0001,,2.0,0.8430638513622621,0.018298804626089366,0.6311434278185848,0.05951162703865941,0.9353462130274209,0.00783773813914651,0.7056880440348182,0.04445843408749249
39,16,6.0,0.0001,sqrt,6.0,0.7511837018251839,0.016729344906781008,0.6263820822504427,0.04872346396864099,0.8447491675654476,0.013699488311439068,0.7073406298003072,0.04393241318493332
3,24,4.0,0.0001,log2,,0.7706240998495366,0.019404483970621694,0.6230534647848,0.05380442594998468,0.8570221603425173,0.00632146698536829,0.6998889528929851,0.05140264505464092
6,16,4.0,0.0001,,,0.7994610115016927,0.006291467862165576,0.6183664846362216,0.04567560173832316,0.8740973834036015,0.011948123048635316,0.6651504096262161,0.05622816343149499
36,48,3.0,0.005,,10.0,0.8501301647703082,0.01801367544464919,0.6152319233972345,0.06598624246727088,0.9362073928816551,0.011069823750968481,0.6978068996415769,0.08076832995112507
30,24,3.0,0.0005,,10.0,0.8260476232738823,0.015783762365766053,0.608477474423905,0.0673239316488199,0.913757390593849,0.011312239833191046,0.6825688044034818,0.07830379413390862
21,32,8.0,0.0005,sqrt,6.0,0.8528709176016729,0.026368409592487083,0.6038650351532062,0.026028058437704813,0.9270656012027324,0.017296410079070044,0.6865002560163849,0.053951125357067066
7,16,,0.005,log2,4.0,0.7072827251503107,0.028485862884100713,0.5991280428145015,0.06691172599429046,0.7786826643134949,0.03527299467730941,0.6581035586277522,0.09844185850643859
24,12,3.0,0.005,,10.0,0.7370891256813957,0.023773192343178918,0.5959179857514638,0.05299841552043858,0.8312526038500506,0.014324819280066294,0.6775105606758833,0.058492768959492424
31,32,2.0,0.005,,8.0,0.753391691319943,0.04229461820799979,0.5896664321477466,0.015474885631901783,0.8597338745628657,0.03200041966407787,0.6746130952380952,0.046411239004883
12,8,6.0,0.01,sqrt,3.0,0.6143374701908345,0.037176218007249635,0.5872245873263242,0.042174256011712506,0.6916339327385038,0.027974016125907046,0.642351830517153,0.042821860131444206
28,6,,0.0001,log2,5.0,0.5932484118284269,0.04859956788557074,0.5810076460608564,0.08308406808393502,0.661171852142367,0.035366849720979365,0.6497113415258576,0.09673745890087082
10,12,8.0,0.0,sqrt,8.0,0.6898520245110072,0.028803124790202493,0.5746899724393236,0.05515594090848427,0.797687723633036,0.015304310524146032,0.6644396441372248,0.05777893039942544
2,8,,0.0,sqrt,2.0,0.636657074415109,0.02890339406030474,0.565277093220847,0.055152137647982956,0.7169631676308134,0.016917273549025644,0.6512922427035329,0.05584316459576135
26,32,3.0,0.0001,sqrt,6.0,0.7039666608375068,0.0459742829722705,0.5604998795778784,0.0702278240898148,0.8157206536588555,0.03720003961729996,0.6379765104966719,0.06597855587408627
35,8,,0.0005,sqrt,2.0,0.6216404707263485,0.044993541934772216,0.5592424198693775,0.08483566596215535,0.7073952112952251,0.02684231975190589,0.6492956349206349,0.07612155738797821
40,6,3.0,0.0,log2,6.0,0.578381902796994,0.03053273004634785,0.553928303258034,0.048700983222963186,0.6507000934732163,0.027690608128977823,0.6166849078341013,0.04452955333326268
15,8,3.0,0.0005,sqrt,6.0,0.6229303721980218,0.024149345383055392,0.552631185234038,0.04409230227669375,0.7006223760499395,0.02755387803717785,0.6108928571428571,0.023337559053944773
29,6,,0.01,,4.0,0.6401500447733721,0.02886028404805456,0.5515121160613164,0.036368944311592995,0.7351190940288264,0.01329297610228126,0.6549747183819764,0.053331561996237876
38,48,6.0,0.0005,log2,2.0,0.632187974433151,0.05211259556692712,0.5486220235040703,0.11689781730299194,0.6835799679707162,0.04887180531786997,0.6011917562724014,0.10246266019360073
9,48,3.0,0.005,,2.0,0.6537080202898421,0.04393225568026823,0.5464970364532291,0.03766153542441656,0.752244707651077,0.010203955369150208,0.6572823860727086,0.047107939838199164
18,8,,0.01,log2,8.0,0.5751507018226234,0.05730351755859403,0.5458543279194794,0.08294756862904244,0.666037557930516,0.032979395920568096,0.6153789042498721,0.055830039410490036
25,12,,0.0,log2,5.0,0.6143896954804003,0.07527496449725318,0.5420806898129445,0.07639776170515701,0.7089167447789,0.06298601115828695,0.6407216461853558,0.04031197005710835
34,16,2.0,0.0001,,4.0,0.6497343001005589,0.042307956772266016,0.5412645577360531,0.05349288612468422,0.7653529470209497,0.012022173070664433,0.6601363287250384,0.053915610716610385
8,12,8.0,0.0,log2,5.0,0.6389698365555461,0.04395110935568358,0.5402221666351742,0.07372501861341758,0.7384989900970684,0.030670610058393572,0.617564964157706,0.06792617399902787
5,24,2.0,0.001,,3.0,0.6392505067173713,0.027903917308216796,0.5389899729531259,0.03836152652948451,0.7408319181619113,0.016109578617159163,0.6453856246799796,0.044500570208415795
16,4,4.0,0.005,sqrt,10.0,0.5631215523610459,0.02598536948640654,0.5370735074380544,0.062140904922375555,0.641665286139164,0.024644852548915946,0.615647721454173,0.04779721663663602
14,4,4.0,0.001,,6.0,0.6088785288531775,0.030253702167727766,0.5263096830455101,0.046631961988838615,0.6970826865378958,0.008911137576566343,0.6307235663082438,0.04913290082664435
32,16,2.0,0.01,sqrt,3.0,0.5693009756642295,0.03842065480876959,0.519284980852516,0.04371791094929916,0.6633949158414223,0.012619741323342999,0.6189794546850999,0.03560134642686889
37,6,6.0,0.0005,sqrt,6.0,0.5762499174436323,0.0488481082612064,0.5188425187604896,0.05843755335371543,0.6518788796287218,0.019628519798466065,0.5976331285202252,0.03581302257312508
20,32,2.0,0.005,log2,5.0,0.5460152260811065,0.06033559183066299,0.5089133450220424,0.062492829913158354,0.6507735764944276,0.02635484615212356,0.5862048771121352,0.038318166950284546
23,6,2.0,0.005,sqrt,4.0,0.5414707815363202,0.05224637628207314,0.49562184007783455,0.07577972504631963,0.645393999411707,0.015645245873612663,0.5870292498719918,0.026142016302582095
19,32,1.0,0.0005,,4.0,0.5706047302080354,0.029353538509268872,0.4955124905056624,0.04439553923944394,0.6767869307448443,0.016053057879444332,0.6163988095238094,0.04567753459854995
1,4,,0.0005,log2,2.0,0.49392847369063053,0.07012333556537602,0.48129805037653367,0.07006826513278037,0.586265078275648,0.018072144863314252,0.580449948796723,0.040174693347668315
33,32,1.0,0.01,sqrt,6.0,0.5520753963308525,0.04809265520237771,0.4634816244107002,0.03295320890909106,0.6435382789162336,0.035595100503630475,0.5650374423963134,0.030294786493615538
