candidate_index,max_rules,max_trees,min_impurity_decrease,max_features,max_depth,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
36,48,3.0,0.005,,10.0,0.9870997260922852,0.010892388658352839,0.7632029813088079,0.047711580317007736,0.9890817901234568,0.009533891951861904,0.780420524691358,0.07008629350239366
39,16,6.0,0.0001,sqrt,6.0,0.906530098624746,0.02003904821411522,0.7620876898704687,0.09481053961104167,0.9179602072310405,0.037620591792034294,0.7712770061728396,0.06271383790954324
24,12,3.0,0.005,,10.0,0.9205689697152064,0.008226706011187983,0.7611156378966608,0.03865178954182652,0.9436667768959435,0.011888946562485746,0.7525077160493827,0.045859890152984174
6,16,4.0,0.0001,,,0.95153864794374,0.006678407976068623,0.7609927311333223,0.041609323855420974,0.9645486111111111,0.020939999987065454,0.7431134259259259,0.06595314367480204
31,32,2.0,0.005,,8.0,0.9278048815491067,0.00923194572782272,0.759928333421484,0.0434648619854428,0.9174087852733687,0.01560678803462118,0.7553240740740742,0.03281671271067827
30,24,3.0,0.0005,,10.0,0.9773647761377445,0.009554927401074794,0.7586856067914335,0.04835053676514123,0.9854544201940035,0.00879162462539801,0.7811342592592592,0.0535050582379762
17,32,,0.0001,,2.0,0.9740697280864445,0.003501418871263568,0.7528127644267204,0.04831834004244365,0.9945342813051147,0.003763500816375562,0.7432291666666666,0.05627086068923833
21,32,8.0,0.0005,sqrt,6.0,0.9654585932127215,0.010314455423482126,0.7496972707555108,0.07251819766165601,0.9881649581128749,0.005972143969705832,0.8079282407407407,0.036242214954580965
35,8,,0.0005,sqrt,2.0,0.8252047766140107,0.008591611797885552,0.7392850651201562,0.08917633947387,0.8048123346560846,0.01680273166913835,0.6930555555555555,0.08619818377521309
3,24,4.0,0.0001,log2,,0.9217977487640914,0.017518928780169314,0.7389309514994447,0.05725775860059986,0.930164241622575,0.02708389479247099,0.8016203703703703,0.06934337638519421
4,32,3.0,0.0005,sqrt,,0.9752157228217179,0.010977845000765676,0.7386808825852204,0.06356688730867834,0.9902670304232805,0.005215097281290176,0.7641975308641975,0.08276641869752872
7,16,,0.005,log2,4.0,0.830862815832319,0.05090683340921248,0.7270501376887122,0.13428882487012117,0.8489489638447972,0.04230895528429174,0.7131172839506175,0.08951734711005974
11,16,6.0,0.0005,sqrt,6.0,0.8991081779159037,0.04212806211476663,0.7241020019341576,0.09917264079298112,0.907387290564374,0.04645809456081138,0.6947337962962964,0.1202710656472274
9,48,3.0,0.005,,2.0,0.8619750221722764,0.012991355670334126,0.7191431819068445,0.06513865834243754,0.8422120260141094,0.015559026732406844,0.6999228395061728,0.0683401568520383
29,6,,0.01,,4.0,0.8566732052592062,0.014639935314821216,0.7191431819068445,0.06513865834243754,0.8405861441798942,0.014766839901006912,0.6994212962962962,0.0692990161056519
34,16,2.0,0.0001,,4.0,0.8632492646553509,0.01481205675681915,0.7191431819068445,0.06513865834243754,0.8428237985008817,0.014915555078691297,0.699266975308642,0.06830534385285594
26,32,3.0,0.0001,sqrt,6.0,0.9114502813831553,0.029647232121579263,0.7116633062231902,0.08826192697577606,0.8980282738095238,0.04783835572029895,0.7527391975308643,0.1316802323598549
27,32,,0.001,log2,5.0,0.9233044030434465,0.030924923477009474,0.7076678003845471,0.07017638107047744,0.9467104828042329,0.036371716243796925,0.7662808641975308,0.08616322707185511
14,4,4.0,0.001,,6.0,0.8222920262791626,0.01404261408751327,0.7005805794275123,0.059776986657125504,0.779385196208113,0.02196745981123998,0.6605324074074075,0.04840681890993374
5,24,2.0,0.001,,3.0,0.8423989219823529,0.02136570364069951,0.6968527046532799,0.06278199948651222,0.8148897707231042,0.021609924333766756,0.6682484567901235,0.05262950935469005
12,8,6.0,0.01,sqrt,3.0,0.7997867247304381,0.037646633400676074,0.6917017059875199,0.12415132381272084,0.7767388668430335,0.046517617216401824,0.6868827160493827,0.08141715567885889
19,32,1.0,0.0005,,4.0,0.8012671971652564,0.016764226825249615,0.6878578042886299,0.06752589902934451,0.7498985890652559,0.021593194143182753,0.6487847222222223,0.054646424168308734
32,16,2.0,0.01,sqrt,3.0,0.7332693866312772,0.036642143478565835,0.6853921670163283,0.07679626904189185,0.7069772376543211,0.051001431676245074,0.6652006172839506,0.08768515259362951
23,6,2.0,0.005,sqrt,4.0,0.722613040850547,0.0683370734673992,0.6830129675242457,0.0763336025735947,0.6923197751322752,0.056590881509947545,0.6456404320987654,0.06960736205155055
2,8,,0.0,sqrt,2.0,0.8319058333999795,0.037978347795590534,0.6829844320683247,0.0905163859671262,0.8246026234567901,0.04505655187865293,0.660204475308642,0.10945675684548667
10,12,8.0,0.0,sqrt,8.0,0.8697243320418087,0.012188465882980722,0.6753370697360216,0.08240202090211221,0.8527193562610229,0.031307645462445806,0.6552083333333334,0.06648794882111538
25,12,,0.0,log2,5.0,0.7796531368479801,0.03512455103191782,0.6674030322505873,0.0487853643538709,0.7679591049382716,0.04750063330507854,0.647704475308642,0.030442944103651733
15,8,3.0,0.0005,sqrt,6.0,0.8046627513273579,0.03282108857231159,0.6446761258565339,0.08313680614196724,0.7759818672839506,0.04940256922621276,0.636033950617284,0.07486778978482093
38,48,6.0,0.0005,log2,2.0,0.79305355612658,0.03618346037729689,0.6439317974096027,0.049426771074190856,0.8005194554673721,0.03997593371610921,0.6776041666666667,0.07830582259530992
37,6,6.0,0.0005,sqrt,6.0,0.7320367336136012,0.04818618806167087,0.6285060595785564,0.08639820127472164,0.6941708002645504,0.04830157618424985,0.5983024691358024,0.06498471265716481
16,4,4.0,0.005,sqrt,10.0,0.6891261617491882,0.03687892953828415,0.6262026465233813,0.09754422908173208,0.6549247685185184,0.038024324629657526,0.6098765432098766,0.07535795794699568
18,8,,0.01,log2,8.0,0.7454352744407027,0.06719492380632393,0.6165531772348024,0.14006053842744245,0.7142810295414461,0.057153102239323815,0.6106095679012346,0.15194190453736892
8,12,8.0,0.0,log2,5.0,0.771521125563204,0.04293455377902985,0.6155338024490268,0.07961625699154051,0.7467049713403882,0.03169300932918017,0.6001543209876543,0.09000420192057283
40,6,3.0,0.0,log2,6.0,0.7207050199491516,0.09799166959957019,0.6093283386228986,0.12274320141900408,0.7268510251322752,0.05285227218171677,0.6482060185185186,0.05839409364572878
28,6,,0.0001,log2,5.0,0.6786881076015301,0.0627244979430738,0.6022161365257341,0.09431298507329008,0.6668705908289241,0.060274081020678535,0.6052276234567902,0.09508105569769017
20,32,2.0,0.005,log2,5.0,0.7071182026631501,0.08709763965379029,0.5873095334862823,0.07326804375119869,0.7044298390652557,0.06028868973593942,0.6121527777777778,0.08328112647931386
33,32,1.0,0.01,sqrt,6.0,0.6467535858946885,0.07262223751848845,0.5869769053792181,0.06954161933622151,0.6279792217813052,0.06905366760326437,0.5635416666666667,0.034436322967270686
13,24,1.0,0.0005,log2,8.0,0.6782876262213627,0.05780156490233062,0.507011871322248,0.045391087081204935,0.6516878858024692,0.03915485735603344,0.5367283950617284,0.0528886641071407
1,4,,0.0005,log2,2.0,0.6480363840796992,0.08533155062684221,0.501577201986411,0.06925213748735558,0.6396425815696649,0.051768632690883894,0.5387345679012345,0.053812239550479556
22,16,1.0,0.0,sqrt,2.0,0.5778461955068245,0.05735270534458936,0.4863931888544892,0.03187149744211909,0.5788392857142857,0.04549412805187947,0.5103395061728395,0.017538361290339952
