candidate_index,max_rules,max_trees,min_impurity_decrease,max_features,max_depth,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
3,24,4.0,0.0001,log2,,1.0,0.0,0.855829918613676,0.05097205215115817,1.0,0.0,0.8512538580246913,0.07803078834020127
2,8,,0.0,sqrt,2.0,0.9058522732695578,0.024873110451728287,0.8519801130041518,0.025254853468678902,0.9577367173721342,0.02400745156127903,0.8653742283950618,0.0663272991779108
9,48,3.0,0.005,,2.0,0.9428491379036862,0.008699296761403918,0.8410766737264692,0.0282725334017122,0.9739128637566138,0.022469653787307368,0.9044945987654321,0.06139087169534945
15,8,3.0,0.0005,sqrt,6.0,0.9299653490092951,0.018970432145651122,0.8378263598766098,0.06593967479105002,0.958653549382716,0.020661140870035215,0.8937307098765433,0.05914467616626135
38,48,6.0,0.0005,log2,2.0,0.9345769883031705,0.026888132853911183,0.8377848696549002,0.06023759158479197,0.9755563822751323,0.019881093536080936,0.8998842592592592,0.05141894488642038
14,4,4.0,0.001,,6.0,0.9268974124267283,0.008186081686086444,0.8354408640433073,0.04848121586480604,0.93392471340388,0.0310705793939569,0.8064814814814815,0.11563513700790418
10,12,8.0,0.0,sqrt,8.0,0.9612868701710303,0.011654568946807232,0.8336337234358373,0.053201959946318475,0.9863500330687831,0.016089183114004892,0.9159143518518519,0.04817313535801636
26,32,3.0,0.0001,sqrt,6.0,0.9901384083044983,0.013148788927335632,0.8318249811337933,0.03153866834936045,0.9950892857142858,0.00959977146836831,0.8881365740740742,0.05106953714980358
4,32,3.0,0.0005,sqrt,,1.0,0.0,0.8310471522560245,0.07400994898022545,1.0,0.0,0.8463734567901234,0.092734716027898
19,32,1.0,0.0005,,4.0,0.930066822390722,0.013033346902077242,0.8288695901909773,0.037457546102397765,0.9396850198412698,0.009034127204188471,0.7737654320987655,0.11929162074028792
36,48,3.0,0.005,,10.0,1.0,0.0,0.8284806932127087,0.040420536395499876,1.0,0.0,0.8357253086419754,0.09523693169973153
31,32,2.0,0.005,,8.0,1.0,0.0,0.8280716127170242,0.027660677885423857,1.0,0.0,0.8114969135802468,0.10086491057819488
6,16,4.0,0.0001,,,1.0,0.0,0.8268424331341414,0.03548973247752602,1.0,0.0,0.8430555555555557,0.07551265121704545
17,32,,0.0001,,2.0,0.9983774144123778,0.003245171175244277,0.8229531812595606,0.07676467462646994,1.0,4.965068306494546e-17,0.9262924382716049,0.0772410940915826
7,16,,0.005,log2,4.0,0.9494073612141015,0.017626482596113907,0.8182692996959142,0.0833480286225247,0.9786284722222222,0.026239750706826496,0.8807291666666668,0.13002338259202226
29,6,,0.01,,4.0,0.939408544275067,0.0035475652020239097,0.8170521505418973,0.032997844200251175,0.9676432980599647,0.017339271067216305,0.8234953703703705,0.1265767279081537
30,24,3.0,0.0005,,10.0,1.0,0.0,0.8152247754829982,0.05037854923722252,1.0,0.0,0.8245370370370371,0.11895896169646589
21,32,8.0,0.0005,sqrt,6.0,0.9983774144123778,0.003245171175244277,0.8150124147385845,0.03211163567812863,1.0,0.0,0.8914930555555556,0.043051562522260924
28,6,,0.0001,log2,5.0,0.8805137621678316,0.03818712747763869,0.814819969676134,0.07164885044476524,0.8930828373015872,0.0326629168533568,0.8150270061728395,0.0676026883244861
23,6,2.0,0.005,sqrt,4.0,0.8847812251271062,0.036711673153692795,0.811148829659676,0.09752715995209645,0.8930489417989419,0.04418281680920058,0.8166666666666668,0.08362232697105272
5,24,2.0,0.001,,3.0,0.9476561846699694,0.006611977722921002,0.8099728941818192,0.04789269978058383,0.977461970899471,0.011183640962735029,0.819483024691358,0.12489757749439706
24,12,3.0,0.005,,10.0,0.9905064203319534,0.007752090681224744,0.807683229277132,0.03137059850224233,0.9971230158730158,0.005654935948310231,0.7878086419753088,0.10042490887631732
34,16,2.0,0.0001,,4.0,0.9643852224507935,0.007267181278917302,0.8070010030592429,0.03142091430762158,0.9815390762786596,0.013875508953601548,0.8466628086419753,0.10463558293862905
37,6,6.0,0.0005,sqrt,6.0,0.9035621569298364,0.026817890737641046,0.8035102726354701,0.12418251571816259,0.9330255180776014,0.03714950836128159,0.8369212962962962,0.15402535339932888
20,32,2.0,0.005,log2,5.0,0.9236409756891742,0.03151347921133829,0.7984781215989011,0.06286457867576337,0.9581365740740739,0.022918094830934592,0.7934799382716049,0.0968426907614855
11,16,6.0,0.0005,sqrt,6.0,0.9500393128090334,0.016814553977168984,0.7972723417182079,0.07959486290018057,0.980090663580247,0.017297225835937485,0.8901234567901234,0.0852106219849982
40,6,3.0,0.0,log2,6.0,0.8683083162276773,0.038605770441538206,0.7962593063249542,0.1136633134141535,0.8892027667548501,0.03686267991576871,0.771508487654321,0.08810131156455132
25,12,,0.0,log2,5.0,0.9239389213126424,0.02530891271394079,0.7959776276222288,0.06417891532212053,0.9515638778659612,0.034830283189486826,0.8501543209876544,0.09458302992806594
27,32,,0.001,log2,5.0,0.9968358753227677,0.003875245588098852,0.7928981261801724,0.04421854117611193,0.9999900793650793,1.9841269841247568e-05,0.8616512345679013,0.09183317690646796
18,8,,0.01,log2,8.0,0.897879643205661,0.024536363870773382,0.7916758394430043,0.10980194021571713,0.882245094797178,0.03543223827922984,0.7991126543209877,0.09814466009214638
39,16,6.0,0.0001,sqrt,6.0,0.9629483111409979,0.020009185662696022,0.7910668585458209,0.0744837278047866,0.9785014329805997,0.03318761010406548,0.8238618827160493,0.10283731806367884
13,24,1.0,0.0005,log2,8.0,0.9211813667931729,0.03027462671454185,0.7908275509791718,0.11685215112412728,0.9282936507936507,0.03234914452772262,0.8239197530864197,0.10370485191898142
8,12,8.0,0.0,log2,5.0,0.9312882379812993,0.033627280818397845,0.7884768715917223,0.10562179227957554,0.940805500440917,0.03348140224883291,0.8519868827160494,0.13626731631353925
16,4,4.0,0.005,sqrt,10.0,0.8663368118204924,0.03490003461373343,0.7869083374821368,0.1293452053671395,0.8898192239858906,0.05816351243725561,0.8202739197530864,0.13727038896462623
32,16,2.0,0.01,sqrt,3.0,0.9083819277993943,0.02166947212506697,0.7696582606550162,0.07368570855109662,0.9064880952380951,0.056413273298559836,0.8324459876543209,0.10333253706531266
1,4,,0.0005,log2,2.0,0.8169783658058446,0.06711823124499802,0.7560009568906214,0.14962193128650803,0.8338230268959436,0.0673219628381097,0.7970679012345678,0.13319161850413125
35,8,,0.0005,sqrt,2.0,0.9059174828358646,0.026776509432787587,0.7513900214650278,0.13904238641221506,0.9543681106701939,0.02662340150861962,0.8971450617283951,0.07059135218424942
12,8,6.0,0.01,sqrt,3.0,0.8955950930043916,0.023582131802382358,0.7475948657420506,0.1230280670897514,0.9286653990299824,0.01987602776426012,0.8144097222222223,0.09946120095326386
33,32,1.0,0.01,sqrt,6.0,0.8302183457034588,0.06376620478573007,0.7247901594056325,0.11193776330842482,0.8474385471781305,0.0724731691736079,0.753954475308642,0.09548408465239615
22,16,1.0,0.0,sqrt,2.0,0.7381491929149698,0.06180129382783893,0.6656939284599861,0.11041537705568026,0.743301917989418,0.0222549497505225,0.6826003086419753,0.062350692332966466
