candidate_index,max_rules,max_trees,min_impurity_decrease,max_features,max_depth,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
11,16,6.0,0.0005,sqrt,6.0,0.7351379913692537,0.019676200253286508,0.6701694834538265,0.012695446262450344,0.8168508337306244,0.01769830702033716,0.745305942972261,0.03743887324134592
4,32,3.0,0.0005,sqrt,,0.8101510967856026,0.018215967502520358,0.6662833865600362,0.03281365492837098,0.8574142401679239,0.009583212997491644,0.7185328529366186,0.04369083314027073
3,24,4.0,0.0001,log2,,0.7388508897348286,0.02052486068960052,0.6621152775018471,0.020543981018722512,0.8238782533417798,0.01987330523542217,0.7279430110026344,0.02692919368709128
36,48,3.0,0.005,,10.0,0.8875681063201242,0.011719483988299155,0.6604845397996334,0.03150075215911171,0.9098784815573518,0.008474907484960565,0.6844441732527506,0.04520960964596918
17,32,,0.0001,,2.0,0.7842746716236004,0.015704351767730395,0.6552259055313154,0.04236970211131124,0.8887634471218352,0.011885514573796718,0.7375101503176817,0.03940617291685314
31,32,2.0,0.005,,8.0,0.8348311626792337,0.015598993104454053,0.6520453161375478,0.04740977916538191,0.8745986840657155,0.01601682010659449,0.7048979156981249,0.024262918298606197
26,32,3.0,0.0001,sqrt,6.0,0.7694397362969151,0.015262269576167513,0.6490072575133755,0.02918705354433911,0.854415776601748,0.008457761476497617,0.6960603982643732,0.031096804412259167
30,24,3.0,0.0005,,10.0,0.8177741242681774,0.008237393933474741,0.6456565237976278,0.034596833212495015,0.8571969256084963,0.017911053662308097,0.711412250116225,0.054438588002480096
21,32,8.0,0.0005,sqrt,6.0,0.7828561825556973,0.014416481007342708,0.6434724581727739,0.037017209558042004,0.8697170229707984,0.01022046700176326,0.733096273051294,0.04787906856073464
24,12,3.0,0.005,,10.0,0.7504500815658399,0.012265747908417252,0.6434143578676788,0.03452587839351505,0.8258084001471611,0.017286576232893435,0.7306758484425848,0.04853428949799134
7,16,,0.005,log2,4.0,0.6958650085417852,0.012508826538512473,0.6372305571835561,0.02865519187238841,0.783407586843463,0.012642425935998085,0.7346999070199908,0.01898774342625018
6,16,4.0,0.0001,,,0.7738994788224819,0.010142910274992568,0.632961644068263,0.037615174639144426,0.8376064365015266,0.01968509583323335,0.7243696342786301,0.053929341909821384
9,48,3.0,0.005,,2.0,0.6903842669415324,0.01572453064045256,0.6241872388746242,0.02141640654674251,0.8076371059169393,0.011071086933216618,0.7415913141174647,0.048396535729410925
15,8,3.0,0.0005,sqrt,6.0,0.63774648861524,0.01963418835386406,0.6226008593118861,0.043934438459007054,0.7715848349966342,0.021660822382011155,0.724873779637378,0.03399568312435471
25,12,,0.0,log2,5.0,0.6717672095508826,0.02608324135496355,0.6213675280572316,0.030392575594567345,0.7817532065678675,0.015303892540206844,0.7317715016271501,0.03361696922282028
34,16,2.0,0.0001,,4.0,0.7253068649884897,0.021616265460199124,0.6213507735605572,0.03944241820659447,0.8063630202244711,0.020440484301490147,0.685625213079188,0.0262981535585401
5,24,2.0,0.001,,3.0,0.7016894340519884,0.022094126711782937,0.6154535750252702,0.04064699746398897,0.7964110241061919,0.018612147676446714,0.709404153107082,0.02490159432058095
29,6,,0.01,,4.0,0.6795181557814557,0.021159777560639918,0.6153132880514892,0.04095897473139856,0.7768083628973486,0.015953316536515376,0.7315753912908726,0.04032199816133261
39,16,6.0,0.0001,sqrt,6.0,0.7232801118566298,0.02167755946793291,0.613141339384941,0.05321970698483937,0.8113024566251331,0.00957241359783819,0.7306450875561754,0.04992688309820328
33,32,1.0,0.01,sqrt,6.0,0.6872904874961495,0.01918604756102869,0.6109597331565767,0.026118769235979427,0.7422715153344658,0.022657138280523067,0.649671121958779,0.03364275153174984
