candidate_index,max_rules,max_trees,min_impurity_decrease,max_features,max_depth,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
30,24,3.0,0.0005,,10.0,0.7294677961377601,0.012451241169196018,0.6283130845794055,0.055123471920500045,0.8033386341751548,0.015456164825588592,0.7092701069270106,0.04013814594500059
36,48,3.0,0.005,,10.0,0.7932059252811287,0.010891323633746395,0.6195545401811752,0.03536873575657997,0.8589353283994263,0.021088026908814686,0.6949375484270881,0.04137051113148788
31,32,2.0,0.005,,8.0,0.7489352642886395,0.007940032487789158,0.6194612364572405,0.05093615763708187,0.8123140744546349,0.014312055965496612,0.6848961723229505,0.04816653083181109
6,16,4.0,0.0001,,,0.7025815632582721,0.01169470017803051,0.6165883838535622,0.05698038864519173,0.7798332635504055,0.02046610338146637,0.7033872617387262,0.03346625277619097
24,12,3.0,0.005,,10.0,0.6787022154894296,0.00712383571626638,0.6098270155699318,0.044116802675739426,0.7577155210051452,0.014810928994922944,0.6895876336587634,0.027420990033635267
5,24,2.0,0.001,,3.0,0.6422823466861358,0.012965574930924054,0.607762141197092,0.03862805239728919,0.7381106677415897,0.015886271032943256,0.6802229583139624,0.031631003910264854
19,32,1.0,0.0005,,4.0,0.6265908249131477,0.025224219730660757,0.6055612942355632,0.048717903507103685,0.67417378766978,0.013155305325492271,0.6437215248721524,0.028418248899630297
14,4,4.0,0.001,,6.0,0.6200316880948678,0.012282915580280395,0.6020318974115287,0.03635056398733261,0.6893596702811079,0.027320480970837318,0.6538917170308384,0.02377146907235546
34,16,2.0,0.0001,,4.0,0.6641651169682389,0.006740694212590015,0.6019641373024444,0.04243189230024556,0.754830804216195,0.017709683665211386,0.680222997055633,0.041603679804243295
17,32,,0.0001,,2.0,0.6958171492558954,0.018617131617282248,0.5967428947860086,0.053874431406789165,0.8244890583513476,0.00827749104697087,0.7031512474817914,0.055231060577899456
