candidate_index,max_rules,max_trees,min_impurity_decrease,max_features,max_depth,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
3,24,4.0,0.0001,log2,,0.7853795137870946,0.008269688603485112,0.6758356775781678,0.015806763000303918,0.8423539456621988,0.01623223029079065,0.716912327599566,0.034024476744384934
36,48,3.0,0.005,,10.0,0.8780779451494849,0.015430485586743566,0.6684133741044278,0.036884720915776825,0.9091284559783409,0.00932318384381888,0.6980005423833877,0.04578461393573019
27,32,,0.001,log2,5.0,0.7960080965699603,0.006919438406082987,0.6664813103711889,0.032127509825022195,0.8726672976156008,0.01139932348669221,0.7117208662637533,0.04183894563881165
21,32,8.0,0.0005,sqrt,6.0,0.8034142437617081,0.011027957268547975,0.6597365740265746,0.050711145923030644,0.868496291587662,0.0163422295861795,0.7405159615682628,0.03610318796567308
4,32,3.0,0.0005,sqrt,,0.82682643626413,0.011545073746477216,0.6595856537709252,0.040362219589778224,0.8616593993250043,0.01689684537327724,0.7512427940492794,0.016329318516357445
31,32,2.0,0.005,,8.0,0.8321290190649094,0.015557229233132349,0.6471236805167306,0.029704461069413532,0.8768709443964309,0.017613293484375445,0.6957735161940184,0.01203311210057554
17,32,,0.0001,,2.0,0.7845384999703986,0.006382122340864264,0.6445243097354715,0.02814100621343654,0.8883184061966272,0.006694026994303961,0.7339196885169689,0.0357973249614364
15,8,3.0,0.0005,sqrt,6.0,0.6665552866544864,0.023309623534476357,0.641768199819994,0.040719667274632165,0.7696717704956814,0.02636842199997103,0.7267025414535875,0.03184503693657692
30,24,3.0,0.0005,,10.0,0.8144880771329918,0.012267692493353256,0.6409646452921308,0.025422954145421103,0.8513382557509235,0.017648782788162294,0.7032190841469084,0.0406786751250775
39,16,6.0,0.0001,sqrt,6.0,0.7202079776018986,0.018179299766408138,0.6374766641886804,0.035369896311969164,0.8316938064204648,0.010691615251038629,0.7173964047729738,0.04502770639889396
