candidate_index,max_rules,max_trees,min_impurity_decrease,max_features,max_depth,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
6,16,4.0,0.0001,,,0.8676036670800695,0.005701057127037294,0.8437296878059708,0.014710448762688117,0.9254756649796327,0.0033307228863906782,0.8933448557183267,0.01649146574957335
36,48,3.0,0.005,,10.0,0.9204031525598971,0.01165011793264646,0.8340397522882533,0.019250460550164602,0.9651181939215236,0.003812131112115467,0.8798106105501035,0.029748812681951037
24,12,3.0,0.005,,10.0,0.8548649503732795,0.005881308487951802,0.8331874665893135,0.009536170491766659,0.9131646964463638,0.005928424918346737,0.8818119380047094,0.010366363226912081
30,24,3.0,0.0005,,10.0,0.8861694994122058,0.008537756876055302,0.8319225519058768,0.012506853451733886,0.9412864290144555,0.0017341064849458719,0.88973238159579,0.01589101426783331
21,32,8.0,0.0005,sqrt,6.0,0.8681582078698267,0.008711670766147735,0.8292072343307068,0.051184841416638566,0.9351772035407613,0.006479426511767097,0.8877485757518292,0.035688565025605364
4,32,3.0,0.0005,sqrt,,0.8727722202076784,0.008942407573537103,0.8263486200204871,0.011160739844968851,0.9416098372926653,0.0034664221444437628,0.900642569019738,0.01989693909894988
17,32,,0.0001,,2.0,0.888741271043056,0.006570154126882422,0.8238847471050341,0.015392137092515632,0.9479179830528798,0.0015008949241710676,0.8911817210290934,0.012871916349542463
31,32,2.0,0.005,,8.0,0.8885929432510175,0.014866295459054685,0.8233512166044964,0.023701507402097744,0.9470781551300049,0.006573345434681843,0.8774977006589865,0.02119125148090513
26,32,3.0,0.0001,sqrt,6.0,0.8409128652800371,0.028306551200042954,0.8201586760210873,0.032051405048831715,0.9059589627288365,0.019779682400682976,0.8687746270484679,0.032066601550765655
5,24,2.0,0.001,,3.0,0.8312364283011953,0.004636412525804827,0.8155753665976893,0.025497169376002878,0.899894948018875,0.002602964604876013,0.8824717994911424,0.027867127128392625
29,6,,0.01,,4.0,0.8245413722510662,0.0059324371082190245,0.8130136033298706,0.02021595722330819,0.8761248121017393,0.005617248549051669,0.8653213605619559,0.02125177181558673
9,48,3.0,0.005,,2.0,0.8137623362381093,0.011638433978686032,0.8072621456494204,0.012916944109839217,0.8930611098133078,0.0055424400811394155,0.8763875555081464,0.008716095887760018
34,16,2.0,0.0001,,4.0,0.8398801389809121,0.0036873793459136165,0.802269602984607,0.021597753131282878,0.9101859659243065,0.0024859021527687116,0.8816987804010811,0.024080659284485162
10,12,8.0,0.0,sqrt,8.0,0.8031360862708266,0.030299618083766636,0.790380058149205,0.02709553470776068,0.876745333171739,0.015066910360310565,0.8527682643531029,0.015322033550250797
19,32,1.0,0.0005,,4.0,0.8123353592075222,0.006538329886524811,0.7903481873836469,0.017895921789195565,0.8626760329386741,0.007875369046981101,0.8382286422035747,0.019721373896052715
11,16,6.0,0.0005,sqrt,6.0,0.8029127107003458,0.044200771056553165,0.7886875481136317,0.05182118926765704,0.8766425946241906,0.04368225456654265,0.8532134001801545,0.040190418512876615
27,32,,0.001,log2,5.0,0.8303214037727731,0.014676765048282019,0.780005535572083,0.0375840949709747,0.9025543742781371,0.01861083462167349,0.8382556456328324,0.043429346094029556
39,16,6.0,0.0001,sqrt,6.0,0.8108192762581059,0.022386285787394558,0.7782397630141004,0.049777249779971965,0.884547730298437,0.015416090302626568,0.8481894230313374,0.04196154031434188
7,16,,0.005,log2,4.0,0.7893768385597938,0.022538278187437748,0.7773704962029211,0.011734576691082053,0.8660178406334635,0.024018613208200826,0.8511586268746345,0.021866410441679616
14,4,4.0,0.001,,6.0,0.7873851980705984,0.004726481222510495,0.7772762022708231,0.019775794427171648,0.8446916967164799,0.006067991273191619,0.8306737859321418,0.01566768382474412
2,8,,0.0,sqrt,2.0,0.7696651727638768,0.028113452140625127,0.7637257152038883,0.04135314797823516,0.8315861345576934,0.03328375320486005,0.8189369696107713,0.05883707319411578
35,8,,0.0005,sqrt,2.0,0.7738246183204638,0.0284583486648475,0.7590381079908743,0.03623376610458166,0.8170879314857808,0.02363041491311807,0.8021897430427156,0.037694157431043145
15,8,3.0,0.0005,sqrt,6.0,0.7893219949070851,0.027919309077799583,0.7577845176546754,0.03341682011427197,0.8287898917731443,0.018190194929787157,0.7872838086094912,0.03749524951974719
3,24,4.0,0.0001,log2,,0.8029089382569741,0.020511596919144708,0.756062022272378,0.04310403736180498,0.8746186604123043,0.013838213809716565,0.8295194100728519,0.034766213480777866
38,48,6.0,0.0005,log2,2.0,0.757530665182981,0.04154101940775895,0.7229771815589985,0.0366132460826012,0.8254638305600407,0.04713012738619338,0.7744607057633656,0.05994444108406569
25,12,,0.0,log2,5.0,0.721047770257902,0.04945279674535828,0.7038487704586647,0.06297587766480466,0.7865605507907103,0.042263633013166775,0.7612198280630225,0.0711871627783417
12,8,6.0,0.01,sqrt,3.0,0.7297018444748513,0.04174496929700213,0.7022733607126435,0.058258085399210006,0.7973117191223327,0.036962699638898984,0.7670696597607422,0.04720583728211802
