candidate_index,max_rules,max_trees,min_impurity_decrease,max_features,max_depth,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
3,24,4.0,0.0001,log2,,0.9298164005316754,0.005943215007520573,0.869659904544671,0.030673597581769615,0.9663484968995762,0.004529696817769848,0.9104908520204175,0.004502048674848104
8,12,8.0,0.0,log2,5.0,0.8950536461646831,0.008391171788973214,0.8641097950595571,0.013779835585289838,0.9471919519480785,0.0017724815747144431,0.9222130999225652,0.010046366374232571
10,12,8.0,0.0,sqrt,8.0,0.900854298757079,0.011551854239870915,0.8612950362116509,0.030974653023920846,0.9456417427806715,0.0060204065394499975,0.9093134057112154,0.015312983281065352
4,32,3.0,0.0005,sqrt,,0.9525714499818463,0.005270248923666787,0.8610009367891088,0.0229915160681033,0.9758309208835284,0.0014530850401348783,0.8971083594083347,0.01783031181660911
32,16,2.0,0.01,sqrt,3.0,0.8751281881374048,0.006465119320348027,0.8600097454209233,0.013754384274547284,0.9344125682652418,0.004258994655182132,0.9094061853063419,0.011461945371990651
19,32,1.0,0.0005,,4.0,0.8968087851312815,0.0093817275073642,0.8584386436763619,0.012432058436422665,0.9273633039521328,0.007281687018315455,0.8849683722087895,0.010738712932751941
17,32,,0.0001,,2.0,0.932730856658823,0.008553163467950237,0.8576090033426056,0.017569191422199423,0.9805209660553764,0.0017393603072656594,0.9034977638711105,0.007913214392903694
37,6,6.0,0.0005,sqrt,6.0,0.8822005216253128,0.009177340345357103,0.8572272734535904,0.01141507289435024,0.9204541201997325,0.007799666859406819,0.8951709295342848,0.0244317136014835
15,8,3.0,0.0005,sqrt,6.0,0.8691731855552597,0.015316033151171537,0.8571141181682818,0.012009790370530085,0.9284928581482831,0.006253814867005073,0.907725890500798,0.010924839693223946
24,12,3.0,0.005,,10.0,0.9232170792930388,0.006597012885207682,0.8550732904384557,0.021928906470672235,0.9466074819959485,0.006086992437813172,0.883706964395771,0.029274258933545082
12,8,6.0,0.01,sqrt,3.0,0.8723973784216504,0.010694246330170165,0.8533549287765189,0.021030541778972563,0.9344797197356254,0.009184240366844208,0.9050100408508351,0.0055228235800475
14,4,4.0,0.001,,6.0,0.8883243381919239,0.00706607223871046,0.8529770445421423,0.014210484762519602,0.9092727673447832,0.0060234858175244755,0.8790872465588899,0.01028238441428214
7,16,,0.005,log2,4.0,0.8981073284630927,0.006813889418666444,0.8527144050979935,0.019459622551257504,0.9544165209930707,0.007635302706455237,0.9112777698762622,0.01680658132005528
23,6,2.0,0.005,sqrt,4.0,0.8773810170711742,0.011851515919850548,0.8511941666056538,0.01181035103714593,0.9222884865532555,0.00604355119946147,0.8905308238120071,0.02118420045696285
9,48,3.0,0.005,,2.0,0.8944418214302337,0.005823806550098119,0.8505486621351519,0.012004712282318874,0.9448652866715076,0.003002156992931186,0.8977425271417058,0.007383133036781872
11,16,6.0,0.0005,sqrt,6.0,0.9046858909478785,0.006897103243867007,0.8504769045556684,0.022975019704655417,0.9581960707744788,0.0022844710887003775,0.9090156509268477,0.010881430634372904
