candidate_index,max_rules,max_trees,min_impurity_decrease,max_features,max_depth,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
15,8,3.0,0.0005,sqrt,6.0,0.7772594480524759,0.021170138050167788,0.7398425269024179,0.04813584911226545,0.7955881903964744,0.016529723341810937,0.7288055684935052,0.07101283468433695
9,48,3.0,0.005,,2.0,0.7942010159981472,0.017738881380960563,0.7336690903993841,0.05758665861150695,0.839851112656415,0.0260283735748926,0.7507190049854232,0.10109921567126674
17,32,,0.0001,,2.0,0.8430067057918705,0.00766175405014457,0.7103702948770213,0.03697276085616764,0.9603400952277908,0.013225072519357927,0.7768120892201005,0.1047864305320221
36,48,3.0,0.005,,10.0,0.9378921412145246,0.025165635192242138,0.7096091545880399,0.09055364964099201,0.9910437570221167,0.011760473200171923,0.6765931791129742,0.1588502102574003
21,32,8.0,0.0005,sqrt,6.0,0.8530945901053523,0.02777070350024814,0.7095912640507851,0.04690492598908086,0.9392324597983039,0.020497025758093673,0.7236881781641912,0.12151708451772164
14,4,4.0,0.001,,6.0,0.7601806902747773,0.046595338938356747,0.7085728158647948,0.029753656119363415,0.7848810266228071,0.020965746694806744,0.7324626955786714,0.06443267118302293
39,16,6.0,0.0001,sqrt,6.0,0.7593485282037896,0.04763846054576113,0.7062371703735617,0.08054893437963856,0.8336802853778181,0.041057903398164126,0.7492451137677034,0.10429228926228734
30,24,3.0,0.0005,,10.0,0.8780720378253195,0.02543875081009481,0.702840815318618,0.034815771193860125,0.9133582569948171,0.017546896744590215,0.6617671514085115,0.1461166827512359
37,6,6.0,0.0005,sqrt,6.0,0.6938213527203005,0.09182150576784563,0.7013044640249644,0.1056262935921477,0.7183866328578205,0.07345112636607354,0.6900489917024617,0.12355071554675265
27,32,,0.001,log2,5.0,0.8009376770473022,0.025437604168405265,0.6987714989061187,0.037094123964315925,0.898956230768229,0.028038544649482057,0.7049767979437285,0.09485869709370746
11,16,6.0,0.0005,sqrt,6.0,0.7695151819253916,0.055325658405783094,0.6976086102684278,0.04141255424966212,0.8488159346384012,0.041241569955660175,0.8097574565716158,0.07930122619346754
29,6,,0.01,,4.0,0.7736970927585151,0.04460916804425765,0.6953269946280343,0.02706762583880253,0.7964140432815343,0.017983060006820217,0.7231886008038779,0.07355452949038206
34,16,2.0,0.0001,,4.0,0.8079035546221671,0.02894916029159355,0.6922353946288551,0.021772706736516264,0.8528312626385578,0.016055114631621608,0.7364731149407442,0.10280699418893478
5,24,2.0,0.001,,3.0,0.7940025710924526,0.02812474078472104,0.6922353946288551,0.021772706736516264,0.8374938266108855,0.01789031957026186,0.7310515965429799,0.08155858388147504
6,16,4.0,0.0001,,,0.8440221521051727,0.03595433034493,0.6919466520106615,0.02502672103336946,0.8399154603528103,0.016711084442044544,0.6703172385240388,0.095747057139684
3,24,4.0,0.0001,log2,,0.7867023529726135,0.03910603914750619,0.6891389041719294,0.03518097264168996,0.8333463979766286,0.040315051744395806,0.6504493781158895,0.053691566858456614
31,32,2.0,0.005,,8.0,0.8838676977718347,0.03464713958082501,0.6887898308421017,0.03220053248531634,0.9278790618702637,0.03627171067944827,0.6990919284445134,0.12411331940695915
26,32,3.0,0.0001,sqrt,6.0,0.7904500129732414,0.02318722236435244,0.6882500540359782,0.034442384954284325,0.8594041291047605,0.045986659125094934,0.7500422639686729,0.06647138606785563
19,32,1.0,0.0005,,4.0,0.7660666470497114,0.05654738286524811,0.682824697457985,0.03626216634363263,0.8092586457502137,0.022291422869825297,0.7258876295951284,0.09644926789228613
24,12,3.0,0.005,,10.0,0.813004259587831,0.03484300603181129,0.6806946988863879,0.014943109974394811,0.8268053545658598,0.021473111733081085,0.689749176283876,0.12449105140693906
8,12,8.0,0.0,log2,5.0,0.7021923285520923,0.03334480942801422,0.6757144444090283,0.10548656823559409,0.7746716498336232,0.058806439645356534,0.6704143593989891,0.11613717807402536
10,12,8.0,0.0,sqrt,8.0,0.7546681922012011,0.01972245827552198,0.675650988725159,0.10385884765788805,0.7936335677962664,0.05576062732610676,0.7520317756042022,0.12158987380462162
4,32,3.0,0.0005,sqrt,,0.8794181966026844,0.021381202333786004,0.6649038633291042,0.08343048910874616,0.887374699517274,0.016651464333031094,0.6406974417361002,0.13932863939736131
38,48,6.0,0.0005,log2,2.0,0.6415846331431594,0.10095268646953447,0.6636465115723874,0.14178354657784303,0.7352987085691988,0.11265774187639505,0.6872211009332574,0.1156251847974554
2,8,,0.0,sqrt,2.0,0.7098811238757008,0.10602107373358773,0.657843882520795,0.09787121799619357,0.7540686369166854,0.08717060466172441,0.6555610757473821,0.07938936111888845
35,8,,0.0005,sqrt,2.0,0.7113447989148605,0.07026863127582232,0.6421692785877988,0.08432837207575312,0.7393251342060168,0.0747259238653852,0.7037587331159758,0.05979982302399828
7,16,,0.005,log2,4.0,0.6508049566929175,0.08519568920365077,0.6197031857701906,0.08707418714095498,0.7579629265427117,0.05286375013189578,0.638433473063189,0.16976088128251468
12,8,6.0,0.01,sqrt,3.0,0.6757716626271346,0.09318256151459929,0.610862662576922,0.11154561065539127,0.7011826255615814,0.0769244632302225,0.6498473321947938,0.06772880008939187
16,4,4.0,0.005,sqrt,10.0,0.6284112206188188,0.08913792288806135,0.6095823535453245,0.07740690841612544,0.6512099019295511,0.08150291732252357,0.6063494281426279,0.08677517057906116
32,16,2.0,0.01,sqrt,3.0,0.6521175112791457,0.11793987310332604,0.6080956491987098,0.1318319317883237,0.7562927716716983,0.050968397925676936,0.6928894754092705,0.0885253706014732
20,32,2.0,0.005,log2,5.0,0.616756223985462,0.10151966858169315,0.5955487481153765,0.11050189159603895,0.7588387335069483,0.060443798464059395,0.6877919232693337,0.0779352986236249
28,6,,0.0001,log2,5.0,0.6743484238198791,0.09972051108455206,0.5942971702802049,0.11731171783620342,0.7086718613424058,0.08269562847264299,0.6544634201038486,0.08235101062073412
23,6,2.0,0.005,sqrt,4.0,0.6247925238616504,0.10709486690123418,0.5922349443106507,0.11131727539627047,0.679555700067773,0.0740815820322372,0.6085293863961774,0.05487971037084281
18,8,,0.01,log2,8.0,0.6411178191362429,0.07610471278386446,0.5851872501550999,0.08893783379930949,0.7221105834035858,0.043084959129049444,0.6758805568493506,0.04905017724494804
13,24,1.0,0.0005,log2,8.0,0.6262373647342878,0.11403447698324433,0.5740336347754906,0.10976425190868204,0.6993072476884307,0.1015271422242572,0.7057133985405993,0.12467330461487763
40,6,3.0,0.0,log2,6.0,0.5907127420152067,0.12131165190225957,0.5369407461663038,0.08132641144004149,0.6468951183798002,0.08945516193964131,0.5410645344925736,0.1017122176782652
33,32,1.0,0.01,sqrt,6.0,0.6018861008942993,0.07723213766940668,0.5327958426378663,0.07682350470106676,0.7133200551776199,0.0025025327043803544,0.661776466732219,0.09279883204481952
25,12,,0.0,log2,5.0,0.6474832201454126,0.09957207747440723,0.5314876177463148,0.07489405591776478,0.7453020630934831,0.061275652734126856,0.6324105987683073,0.0806429159194904
1,4,,0.0005,log2,2.0,0.5079996838892606,0.02760297574747628,0.4958838296319524,0.0330519666993171,0.6235343011143719,0.07357309157143116,0.5765310769549241,0.06807662252712905
22,16,1.0,0.0,sqrt,2.0,0.4792547753564703,0.00022060801721819346,0.47925337910319676,0.0008796395623256847,0.5505328825403695,0.021718929554169333,0.5076603011954666,0.024062626641169736
