candidate_index,max_rules,max_trees,min_impurity_decrease,max_features,max_depth,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
21,32,8.0,0.0005,sqrt,6.0,0.91588278527521,0.010256788054632055,0.6772439060719991,0.07342891901599138,0.968658988017696,0.00971307841836601,0.7543191056910569,0.05738030229224528
9,48,3.0,0.005,,2.0,0.8009232297355406,0.026131459282604123,0.6694340091921528,0.07242725175924182,0.8713171183139646,0.022060152223840675,0.703790650406504,0.09009218046844349
6,16,4.0,0.0001,,,0.8947534778312167,0.011307990996941637,0.6680354168209156,0.08439285918932568,0.9274290283886446,0.017028183489329475,0.6582825203252032,0.1171273058273551
14,4,4.0,0.001,,6.0,0.7683344022016481,0.017652738997387396,0.6678326304245285,0.07899114148962712,0.7874472791528551,0.02039335073096758,0.6978048780487804,0.07448499563440908
24,12,3.0,0.005,,10.0,0.8614520922995179,0.024940010270330184,0.6658640313697507,0.06828371104428038,0.8931101752847248,0.011235942379257728,0.6676727642276422,0.11653556981025177
4,32,3.0,0.0005,sqrt,,0.9409939180847051,0.012989976501649464,0.6622116107069148,0.05090541330905207,0.9686538287910642,0.013337596329117263,0.6848272357723577,0.10004557466663588
31,32,2.0,0.005,,8.0,0.9328042338063943,0.012917547683210894,0.6596157830393229,0.08143039820686485,0.976101172434252,0.008388151731151875,0.6769410569105692,0.11990539405312518
34,16,2.0,0.0001,,4.0,0.8436635927635365,0.030662378530800193,0.6590223537106077,0.0907729747957912,0.8998028208071609,0.024565939588559897,0.6700813008130082,0.12207002343189052
17,32,,0.0001,,2.0,0.9338690348383725,0.011676372605365533,0.6588627716081288,0.1000523514917255,0.977808715223588,0.007267874225830054,0.7427134146341463,0.09139769318994967
5,24,2.0,0.001,,3.0,0.8260477367373602,0.03147856835728925,0.6558616257502148,0.09048351580207481,0.8730975351794766,0.016846921284424894,0.6753048780487806,0.1243655988126205
29,6,,0.01,,4.0,0.7967727417806791,0.02537887338922131,0.653359503138313,0.09392213280605514,0.8262062916768775,0.004162749131628672,0.6828353658536586,0.1143881438288454
8,12,8.0,0.0,log2,5.0,0.7429307859420117,0.03058987968309362,0.651805779796373,0.08360199046638499,0.8570234809302086,0.021638447728365106,0.7150203252032521,0.042509867416260366
36,48,3.0,0.005,,10.0,0.9866877746048084,0.004381303241607799,0.6511264045829852,0.08003157198331215,0.9996744850446918,0.0001500582096891981,0.6847154471544715,0.10266078578181104
28,6,,0.0001,log2,5.0,0.7182909440465405,0.025935783013929067,0.6511082732053062,0.09615753352131032,0.7573518979504973,0.046409977263672984,0.6957723577235773,0.09824425889474148
3,24,4.0,0.0001,log2,,0.8639585658375566,0.021091510275234045,0.650067092166003,0.052346495082482895,0.9297250454656847,0.017490300745408215,0.7134959349593497,0.04575073678155637
19,32,1.0,0.0005,,4.0,0.7954857468395746,0.016048265235139834,0.6494290449639288,0.09211191452065193,0.8306928841366679,0.022614854077622155,0.6771849593495936,0.0869037097919101
26,32,3.0,0.0001,sqrt,6.0,0.8716925841745891,0.03338181387493719,0.6492834662473645,0.05162991362094019,0.9408528524074242,0.017778070437713466,0.7224491869918699,0.06555732281894018
30,24,3.0,0.0005,,10.0,0.9446198357030845,0.00991390803124073,0.6471065106521567,0.08228133551282761,0.9732218402961397,0.007986211716428127,0.6711890243902439,0.10509946219116426
23,6,2.0,0.005,sqrt,4.0,0.7370685391471342,0.023116343578248655,0.6436137183535253,0.07058957518602703,0.7891751363970541,0.026217594458983137,0.656239837398374,0.08670445239189253
39,16,6.0,0.0001,sqrt,6.0,0.8299589442884983,0.01637525376961566,0.6302887810763063,0.07836740132991017,0.8974811688227936,0.005239585707952932,0.6876524390243901,0.07296017582395756
