candidate_index,max_rules,max_trees,min_impurity_decrease,max_features,max_depth,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
36,48,3.0,0.005,,10.0,0.8622277698631523,0.01725651889578271,0.6428793329379554,0.048062351521498896,0.9053386709832196,0.01683748821681613,0.6725813008130082,0.03680501756821808
30,24,3.0,0.0005,,10.0,0.839927320577937,0.014791304890991123,0.6417716107597427,0.023493238864305713,0.871273587339258,0.01988852757003191,0.7101829268292683,0.03997560593246247
31,32,2.0,0.005,,8.0,0.789256675039075,0.008712237952387365,0.6262071889534797,0.019174887016575572,0.8206902722781855,0.02139339786239709,0.6666463414634147,0.023693394646980146
24,12,3.0,0.005,,10.0,0.7486302659839469,0.018800257971390056,0.6255234282697189,0.027231714228841273,0.7955374301892146,0.020240192837097264,0.6716768292682926,0.026397846286862824
11,16,6.0,0.0005,sqrt,6.0,0.736566040650427,0.015204535849150606,0.6210343760853506,0.02554508850804229,0.7936999393790871,0.016869384794503443,0.6456910569105692,0.043783978995856884
34,16,2.0,0.0001,,4.0,0.6982127354048167,0.023734299045431305,0.6166136402361949,0.0487416141091406,0.7410187537888071,0.023171600361450127,0.6559044715447154,0.05774392032462816
4,32,3.0,0.0005,sqrt,,0.8272572224297278,0.03457028704303909,0.6156864472879301,0.0518143394112912,0.8727467077685056,0.02969047535664482,0.6749491869918699,0.05487671257030282
6,16,4.0,0.0001,,,0.7802224487558516,0.019564014447713322,0.6149241654523404,0.05864402119473889,0.8413774812655582,0.011651839346736205,0.7077235772357724,0.032879432413207205
17,32,,0.0001,,2.0,0.8235500250446235,0.010536011058596266,0.6083663452054893,0.05143421252656512,0.890233906437425,0.012345260780199561,0.7201422764227642,0.04729898613254304
5,24,2.0,0.001,,3.0,0.669423644578594,0.024093343049921435,0.6050944481111009,0.03987132764060423,0.7137546594265519,0.020288010961879595,0.6515040650406505,0.0351247740509696
3,24,4.0,0.0001,log2,,0.7701667070974566,0.01804889212500471,0.5949941784385128,0.05595148237459268,0.8113469128477642,0.029126665440913812,0.6403861788617886,0.03352545701051509
14,4,4.0,0.001,,6.0,0.6279435777023222,0.033390817910420624,0.5939205109945196,0.036807387211064364,0.6745595310262991,0.025316314389171014,0.6322967479674797,0.027587852928217783
39,16,6.0,0.0001,sqrt,6.0,0.7412157255143017,0.027423800079218016,0.585363422213075,0.03412518545632413,0.7997023771136706,0.01079284052585999,0.6711178861788618,0.014238548375171889
