candidate_index,max_rules,max_trees,min_impurity_decrease,max_features,max_depth,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
10,12,8.0,0.0,sqrt,8.0,0.8202567565046502,0.014783390283341073,0.6868617555533711,0.0662557553051107,0.8702003069739845,0.03806559980383462,0.6941463414634146,0.11736854746326791
18,8,,0.01,log2,8.0,0.756990409089398,0.036400218840476485,0.6821387159155922,0.06359335458673544,0.8251397827965589,0.013276991880572629,0.7274898373983739,0.08214901795377741
38,48,6.0,0.0005,log2,2.0,0.80994063574372,0.02675988724210087,0.676467623978865,0.08256094657067484,0.8916565631811793,0.027695078817940918,0.7612296747967479,0.10567940836371681
31,32,2.0,0.005,,8.0,0.9322215108117813,0.01806298892209279,0.6725470651005746,0.08722387936153912,0.9763157640169737,0.010160601000467175,0.6738516260162601,0.09925229632473011
21,32,8.0,0.0005,sqrt,6.0,0.9256178510786107,0.013298876518058044,0.6711308640402525,0.04955167564462227,0.9695612077749546,0.011765736782288322,0.7141768292682926,0.07486731438376747
27,32,,0.001,log2,5.0,0.9154908580145904,0.009877302215710133,0.6707318951316626,0.09579504825192119,0.9729398563155384,0.00904945351202384,0.6541869918699187,0.10962076966514596
26,32,3.0,0.0001,sqrt,6.0,0.8938273092152651,0.022429760130099733,0.6692846352946483,0.10155196973862005,0.9564608027756639,0.01934854528862213,0.7644918699186991,0.10517944792173022
14,4,4.0,0.001,,6.0,0.7683344022016481,0.017652738997387396,0.6678326304245285,0.07899114148962712,0.7874472791528551,0.02039335073096758,0.6978048780487804,0.07448499563440908
6,16,4.0,0.0001,,,0.8907698772952592,0.016982065650769377,0.6654522230953454,0.09152185448023051,0.9272877945595954,0.015367647534310056,0.6715447154471544,0.13167391190968436
9,48,3.0,0.005,,2.0,0.8038322519083113,0.020997450424044422,0.6633260751518442,0.07718366760609124,0.8761459932156169,0.015760270488264245,0.6975711382113822,0.0879268645061553
3,24,4.0,0.0001,log2,,0.9056336954260186,0.011192619000314817,0.6629759749505204,0.06870285549639876,0.9494268421663593,0.01886674883279951,0.6729674796747969,0.045360610418364096
24,12,3.0,0.005,,10.0,0.8570282988531417,0.033651603390564076,0.6608599565781388,0.07889714824510463,0.8908501115682759,0.011699286490155053,0.6763821138211382,0.12138007941188517
2,8,,0.0,sqrt,2.0,0.7434763965782243,0.030790105171147,0.6582229313495661,0.11708057068442253,0.8383893216906786,0.020218463519243317,0.7204878048780488,0.12530145090559883
36,48,3.0,0.005,,10.0,0.9932713667110045,0.0054665719147369346,0.6577608798879115,0.0649288909891379,0.9995064877274897,0.0006481018564732297,0.6589837398373983,0.08070545733761936
17,32,,0.0001,,2.0,0.9139682356218355,0.02088093531213602,0.6555446215426836,0.09532724253392405,0.9819649559531026,0.0066066287469470734,0.7298272357723578,0.07836569192550431
39,16,6.0,0.0001,sqrt,6.0,0.8448943544348978,0.038827035586662846,0.6548584032455,0.10736326281942875,0.9208532715945879,0.010966333299601144,0.7046138211382115,0.058542428570150185
29,6,,0.01,,4.0,0.7933034435350651,0.03213743477334634,0.6539465020720071,0.0895959290743791,0.8253408314093716,0.005539480473630374,0.6870223577235773,0.11533643816477622
5,24,2.0,0.001,,3.0,0.8274279500391366,0.03211668150628808,0.6500259169100426,0.08389713102285407,0.8717258257987128,0.017636856905798692,0.6722357723577237,0.11780136772587065
19,32,1.0,0.0005,,4.0,0.793742829406748,0.0237164633635949,0.6466494879729273,0.08843574806613055,0.8308876449420233,0.023833072761135516,0.6739024390243903,0.09011039435821312
7,16,,0.005,log2,4.0,0.8499049924519664,0.02123875937579563,0.6450002928048294,0.0707040572170388,0.9102755671924777,0.03611429479933555,0.6879979674796749,0.0703604874123873
30,24,3.0,0.0005,,10.0,0.938676988157178,0.010517254328786097,0.6430836707999172,0.08751561393089463,0.976075698752757,0.010028296805310229,0.641290650406504,0.11203492635798855
11,16,6.0,0.0005,sqrt,6.0,0.840182296866627,0.028347867843930986,0.6414231343672245,0.08293684698003698,0.9144798532200022,0.02025474120388037,0.6384146341463414,0.08336136252790667
34,16,2.0,0.0001,,4.0,0.8442205389275435,0.029962938455740412,0.6397932723167755,0.07356126704449827,0.9015376107621467,0.019816230092473745,0.693760162601626,0.11857786287673058
8,12,8.0,0.0,log2,5.0,0.8075655427715163,0.06295104883704444,0.6395818855785215,0.04420375773961718,0.8710902735679923,0.032173342724571743,0.6908638211382113,0.06010415888050754
12,8,6.0,0.01,sqrt,3.0,0.7571049161658473,0.03265905876762649,0.6362994478182321,0.12041658570633693,0.8383314416169017,0.027506269314589417,0.6945934959349593,0.0647953134563899
23,6,2.0,0.005,sqrt,4.0,0.7385955809291335,0.05042802405768911,0.6341522365752108,0.10645262387108057,0.8097636751750912,0.024355726291252253,0.7173475609756098,0.06135141306755433
25,12,,0.0,log2,5.0,0.7956474979552179,0.032975230797997634,0.631480945747882,0.08616270493244017,0.8677791786511202,0.010566793794325548,0.6756300813008129,0.11337596504724134
33,32,1.0,0.01,sqrt,6.0,0.7227304418000691,0.09684752709087938,0.6264551709759403,0.10764440205242493,0.8159163753853298,0.03591470631434852,0.676270325203252,0.10973094223924024
40,6,3.0,0.0,log2,6.0,0.7314015853380179,0.026924418070271468,0.6172288091225739,0.12526699556717777,0.7892586513781584,0.021671597743404273,0.6369410569105691,0.12029689226926189
32,16,2.0,0.01,sqrt,3.0,0.7365479793682012,0.08189951358167147,0.6131989576046372,0.08428445955989952,0.816515813029627,0.03319895618199364,0.6886686991869919,0.08011039049056945
4,32,3.0,0.0005,sqrt,,0.9604090893632258,0.009332872594981702,0.6076971363170807,0.06155222481679861,0.981841618191433,0.009229771297015197,0.6546239837398373,0.0633393960330179
15,8,3.0,0.0005,sqrt,6.0,0.7357577163518284,0.028906078259192985,0.59981776416082,0.068943183273515,0.8246116069701153,0.021355244934244184,0.7207215447154472,0.09077260803361697
20,32,2.0,0.005,log2,5.0,0.7801109685112652,0.07020881886515792,0.5947772035994252,0.07086350861067883,0.8884728366717829,0.03144881505710883,0.6461686991869919,0.1037663814098747
22,16,1.0,0.0,sqrt,2.0,0.6520122284173678,0.07031445380703487,0.5932910473698841,0.12839498643829003,0.7346666172240781,0.020054264181942796,0.6444410569105691,0.09553356672019651
16,4,4.0,0.005,sqrt,10.0,0.6498909949657927,0.09700833946055687,0.5880861988063979,0.10588300189085253,0.7576491983851621,0.020228337162907718,0.66625,0.06325256154814608
28,6,,0.0001,log2,5.0,0.6819035353200336,0.09292439544196877,0.5876731976915822,0.09656876916067526,0.8004041931614451,0.011684805096251456,0.6985772357723576,0.11112751671799498
13,24,1.0,0.0005,log2,8.0,0.7669085144357644,0.10277257035070736,0.5720316591897248,0.073434330981841,0.8729877403877158,0.037311913869919236,0.6297357723577235,0.051100299630381395
37,6,6.0,0.0005,sqrt,6.0,0.723855020010882,0.052932038616018,0.5685036937025888,0.08169074902207073,0.7946065122338162,0.02175453230117894,0.6573577235772359,0.0780486441923776
35,8,,0.0005,sqrt,2.0,0.7110890824184624,0.04022508115779127,0.5617958363758804,0.1433969917328169,0.8345805226296577,0.014627909136784047,0.6836788617886179,0.07576327817081513
1,4,,0.0005,log2,2.0,0.5982271528227352,0.08911167694144506,0.5010202574565243,0.057192607438566204,0.742112671060608,0.03402568812662577,0.6429369918699187,0.09187674222806878
