task,model_family,feature_set_name,selection_metric,selection_mode,mean_valid_macro_f1,std_valid_macro_f1,mean_valid_roc_auc,std_valid_roc_auc,mean_train_macro_f1,mean_train_roc_auc,final_valid_macro_f1,final_valid_roc_auc,num_surviving_features,best_params_json
AMES,figs,fg_top_level+rdkit_descriptors_and_pka_easy_to_NLP_Lv1,macro_f1,train_cv_5fold,0.763669321577726,0.013932199280453585,0.83242586363272,0.011026096377585585,0.8019748042257004,0.8786867852310424,0.7675288866829119,0.8230114080325049,662,/data1/tianang/Projects/Intern-S1/train/tree/results/figs_all_3features/AMES/fg_top_level+rdkit_descriptors_and_pka_easy_to_NLP_Lv1/best_params.json
AMES,figs,rdkit_descriptors_and_pka_easy_to_NLP_Lv1,macro_f1,train_cv_5fold,0.7526783437478759,0.017387041086048202,0.8273600221023262,0.012641249609357755,0.7936345777724377,0.8727346707854775,0.7512906413157233,0.7924675730582904,128,/data1/tianang/Projects/Intern-S1/train/tree/results/figs_all_3features/AMES/rdkit_descriptors_and_pka_easy_to_NLP_Lv1/best_params.json
AMES,figs,fg_top_level,macro_f1,train_cv_5fold,0.7492519064652308,0.00832341352427918,0.8020012617202449,0.013175483415568127,0.7659770051618687,0.8232333653029507,0.7169317722424355,0.7485544616346306,534,/data1/tianang/Projects/Intern-S1/train/tree/results/figs_all_3features/AMES/fg_top_level/best_params.json
BBB_Martins,figs,fg_top_level,macro_f1,train_cv_5fold,0.8130716903452017,0.021008829665471327,0.8206578031892697,0.03271754995180325,0.8438952239624241,0.8556097035438179,0.7503712427671667,0.7169846614291058,534,/data1/tianang/Projects/Intern-S1/train/tree/results/figs_all_3features/BBB_Martins/fg_top_level/best_params.json
BBB_Martins,figs,fg_top_level+rdkit_descriptors_and_pka_easy_to_NLP_Lv1,macro_f1,train_cv_5fold,0.818459188433511,0.012944984339077942,0.8718447617026414,0.009120866145466434,0.8774137560447548,0.9477544037336122,0.7254987621960098,0.7729143284698841,666,/data1/tianang/Projects/Intern-S1/train/tree/results/figs_all_3features/BBB_Martins/fg_top_level+rdkit_descriptors_and_pka_easy_to_NLP_Lv1/best_params.json
BBB_Martins,figs,rdkit_descriptors_and_pka_easy_to_NLP_Lv1,macro_f1,train_cv_5fold,0.8346840968529461,0.019659913934074808,0.8783073088390285,0.02566533404108442,0.8748096216516774,0.9473779660531034,0.7182221336389456,0.8542835765057988,132,/data1/tianang/Projects/Intern-S1/train/tree/results/figs_all_3features/BBB_Martins/rdkit_descriptors_and_pka_easy_to_NLP_Lv1/best_params.json
Bioavailability_Ma,figs,fg_top_level,macro_f1,train_cv_5fold,0.5965072111998477,0.06266792796516198,0.6667563837129055,0.06525344926859801,0.7931957939732257,0.8578021901269676,0.6444444444444444,0.6357466063348416,534,/data1/tianang/Projects/Intern-S1/train/tree/results/figs_all_3features/Bioavailability_Ma/fg_top_level/best_params.json
Bioavailability_Ma,figs,fg_top_level+rdkit_descriptors_and_pka_easy_to_NLP_Lv1,macro_f1,train_cv_5fold,0.6513952340238149,0.0363934034680631,0.7090535054601552,0.045832526050093865,0.8224570117298636,0.9080847409967369,0.6297285269247885,0.6025641025641025,662,/data1/tianang/Projects/Intern-S1/train/tree/results/figs_all_3features/Bioavailability_Ma/fg_top_level+rdkit_descriptors_and_pka_easy_to_NLP_Lv1/best_params.json
Bioavailability_Ma,figs,rdkit_descriptors_and_pka_easy_to_NLP_Lv1,macro_f1,train_cv_5fold,0.6487542033372623,0.08643686757041458,0.6780794056753136,0.09535428665474555,0.8381843866785962,0.8971983337075008,0.5540887422075541,0.5595776772247361,128,/data1/tianang/Projects/Intern-S1/train/tree/results/figs_all_3features/Bioavailability_Ma/rdkit_descriptors_and_pka_easy_to_NLP_Lv1/best_params.json
CYP2C9_Substrate_CarbonMangels,figs,rdkit_descriptors_and_pka_easy_to_NLP_Lv1,macro_f1,train_cv_5fold,0.569136357737047,0.06614025442242803,0.5785185185185184,0.08876287363884466,0.8202808273471774,0.8934212962962963,0.5524531312325489,0.6015965166908563,132,/data1/tianang/Projects/Intern-S1/train/tree/results/figs_all_3features/CYP2C9_Substrate_CarbonMangels/rdkit_descriptors_and_pka_easy_to_NLP_Lv1/best_params.json
