candidate_index,max_rules,max_trees,min_impurity_decrease,max_features,max_depth,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
6,16,4.0,0.0001,,,0.9061146509929472,0.00944113456462354,0.7812767471562836,0.04581263021500929,0.9385078997725417,0.009841456529923211,0.7829103961466423,0.05259065840028777
27,32,,0.001,log2,5.0,0.9110778967711163,0.013440333594410313,0.7804406236802843,0.05807650323851511,0.9692329854865258,0.0058171814266613575,0.8364102841304284,0.05501704474165262
24,12,3.0,0.005,,10.0,0.8836731999450969,0.009202143964415509,0.7793152236960965,0.04871428865455879,0.92164410302135,0.00874233190730058,0.7711723017768898,0.05454173087611839
11,16,6.0,0.0005,sqrt,6.0,0.8739312513580547,0.007835112398269837,0.7660541352654939,0.06543423109717746,0.9286895808185964,0.009696871024042712,0.8297202460188655,0.032056515546569075
29,6,,0.01,,4.0,0.8369847417576912,0.004856244527514576,0.757369830027306,0.048859406164470015,0.8841082176840821,0.013568263350000359,0.7866978792465216,0.06981232149171968
30,24,3.0,0.0005,,10.0,0.9259111401577507,0.011145716149001884,0.7543741274454534,0.048004317970972626,0.9629919471391997,0.011696721655184518,0.7669796390993897,0.055200315913149334
15,8,3.0,0.0005,sqrt,6.0,0.8289444878264851,0.014102545450649775,0.7542549418081146,0.03251941993271298,0.8795333359582728,0.02021043175234792,0.781609119422309,0.039112226089424065
26,32,3.0,0.0001,sqrt,6.0,0.9230903426695416,0.011027890723036893,0.7529090500566384,0.03302626929559245,0.9671352510981162,0.013768229501925203,0.8039415053937109,0.04105499704470645
36,48,3.0,0.005,,10.0,0.9799780867154831,0.00881857421179377,0.7515874854536145,0.04736727796906828,0.9978584420740626,0.001546072840912072,0.7886521388584246,0.044940814948438795
9,48,3.0,0.005,,2.0,0.8531002405477028,0.008036114717077703,0.7492862479925694,0.04161550471406258,0.9019199826574689,0.01005363181545169,0.7920115832580047,0.04903657537978154
14,4,4.0,0.001,,6.0,0.8293373511060874,0.005567341135844283,0.748627302195345,0.07537617621599438,0.839520845953713,0.017259788531122453,0.7684523592438124,0.07541908424419941
17,32,,0.0001,,2.0,0.9429784483742241,0.004748109934184537,0.7476711145064086,0.024491546527058945,0.9817684713548385,0.001582166247604675,0.8104968309831637,0.02932917035587484
