candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1
3,400,20,1,log2,,gini,balanced,False,0.9719940230127994,0.00010572176460770897,0.833001250195343,0.00045886348990806605,0.916330886970468,0.00018723384468913255,0.7722294727971019,0.0017256475621900188
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.9049345370191939,0.00016862464749778066,0.8231129864041257,0.0007447873823402629,0.8274411370694477,0.0012326908423289278,0.7673859914771488,0.0008142411736933533
4,100,2,1,log2,40.0,entropy,balanced,False,0.9735905541016284,0.00027083746770321227,0.8177332395686826,0.004053168913963178,0.9076203066312241,0.00016681850328256507,0.7603761300285131,0.002461372290042568
8,150,10,3,log2,,gini,,False,0.8872763162529709,0.000836645752272161,0.8153617752773871,0.0018800322336678065,0.8096113808473984,0.0008347944892311943,0.7536018033189741,0.010178978161674538
9,100,100,4,log2,40.0,entropy,,False,0.8643276485129537,0.0009236359160487922,0.8077433974058446,0.001815797892283023,0.7932891454572942,0.0007549090280343817,0.7523509654770276,0.006790515383886651
10,100,5,3,log2,30.0,gini,balanced_subsample,False,0.8710515260018109,0.0010326838431581509,0.8107152159191539,0.0020517040055531054,0.792713158892188,0.002805048716631239,0.7516531169039279,0.010099199414364254
7,200,100,4,sqrt,30.0,entropy,balanced_subsample,True,0.8617825854069925,0.0006852056608659123,0.80493176017086,0.000547298332652664,0.7780436269746255,0.0015995844481394178,0.7461271690667174,0.002371028585641381
2,700,5,10,log2,4.0,gini,balanced,False,0.8175295948412872,0.0009374569747060759,0.7966453091628901,0.003968711752662724,0.7371596375596362,0.002568154647145741,0.7449190346018625,0.0012347552276647834
5,700,20,1,,20.0,gini,balanced,False,0.8769687588712,3.408227126038678e-05,0.7436383289055583,1.3280771770583962e-05,0.8203091805740597,0.0,0.7207265185471817,0.0006500891668412789
1,200,2,10,log2,10.0,gini,,True,0.8262769347763473,0.0004968440766726153,0.7923594832525915,0.005327082497717137,0.7341690663304384,0.0004407477460581661,0.6989359857642755,0.002521029367263446
