candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
3,400,20,1,log2,,gini,balanced,False,0.9165049927723092,0.0002657646347357955,0.7718902532332071,0.0023275514820975617,0.9719528399236637,0.0001049565064324322,0.8331387716830754,0.0004094151154548807
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.8275509488399981,0.0011696623130413302,0.7678865125963452,0.0012567646424770731,0.9047671679088938,0.0002449858994991156,0.8236107204250664,0.0010428569059786048
13,500,5,1,sqrt,40.0,gini,balanced,False,0.9010329750646422,0.00038596930306098007,0.7660129046196751,0.004657632120192085,0.9717688680711396,0.00013384789948151367,0.8263158305985311,0.0010175684850613122
14,400,20,2,,30.0,gini,balanced,True,0.8323905598730128,0.0006981373800929755,0.7651350751836052,0.0024015347472929466,0.9162018313264996,0.00029860822859762435,0.805439912486326,0.0010819862210265506
11,200,5,3,log2,40.0,entropy,balanced,True,0.7946078903064198,0.0019771392145556625,0.7632669867692383,0.006432937007310504,0.8692971678467305,0.0005013061751971721,0.8147101109548368,0.0026358396589234484
34,400,50,1,,40.0,gini,,True,0.8391072021550372,0.0008835151083771117,0.7622354723341171,0.004766876861181293,0.9178397682557641,0.00023133737230274037,0.8131020471948742,0.0014209001692160029
19,700,50,1,log2,30.0,gini,balanced,True,0.8266262371411004,0.002118454116026019,0.7621849396165545,0.004703064173069799,0.9035320326729532,0.0004376571392873062,0.8265533677137054,0.0019597671866171153
4,100,2,1,log2,40.0,entropy,balanced,False,0.9083681015509066,0.0010803801217712332,0.7619751237431457,0.004509694250163837,0.9737313899059471,0.0002923692994277966,0.8179027973120799,0.0031574168125832846
15,200,10,2,log2,40.0,gini,balanced,True,0.8076484593425601,0.001908802079782525,0.7602234849816709,0.0035709183060438606,0.8811658854830388,0.000551755171484067,0.8188912330051572,0.0017878035874809666
18,150,100,5,log2,40.0,entropy,balanced,False,0.7792584251926944,0.003201668517298764,0.7597641764616834,0.0034335398712468635,0.861750048176444,0.0007588810525231799,0.8095225816533833,0.0031836905821215687
37,700,50,1,log2,10.0,entropy,balanced,True,0.7738687990024874,0.004136230842726135,0.7565588367238416,0.006488289848729259,0.8571349624223737,0.0008446184348340578,0.8175511798718549,0.0013661696059178322
10,100,5,3,log2,30.0,gini,balanced_subsample,False,0.7922425104832385,0.003249785743894429,0.7564162475564946,0.01045261504953493,0.8709541577825158,0.0011809195651456003,0.8129082669167058,0.004604255839010433
26,100,5,4,sqrt,30.0,gini,,False,0.8035442683512907,0.0021584400620460976,0.7543974576241133,0.005721584006976249,0.8784292614395742,0.0003333062395096927,0.8116908892014377,0.003362837567826229
9,100,100,4,log2,40.0,entropy,,False,0.7944491655498886,0.0023119682058713965,0.7539315566268293,0.0058451662356627365,0.8642436142900657,0.0010472098272512377,0.8101656508829504,0.003986333425071848
8,150,10,3,log2,,gini,,False,0.8100599056331299,0.0012303825475205817,0.7535657273219216,0.007886891031510267,0.8876489429155763,0.000823313290967418,0.8155282075324269,0.0028066496067293482
2,700,5,10,log2,4.0,gini,balanced,False,0.73884004472136,0.0041083100541765075,0.7511529937652499,0.007981590121129183,0.8178550293099269,0.0008288756915297406,0.7954703859978122,0.0035085804680018164
7,200,100,4,sqrt,30.0,entropy,balanced_subsample,True,0.7780124543701268,0.0015842291284399001,0.7467219208753553,0.0033512890525870887,0.862243592532962,0.0007772494624947016,0.8051015783716207,0.002603056885034901
17,400,50,5,sqrt,10.0,entropy,,False,0.7666485248524495,0.0029860656294158263,0.7462040967580714,0.008248850415890846,0.8384599078742067,0.0011238114659874233,0.7992451945616502,0.003034653845877193
32,300,100,10,sqrt,8.0,entropy,,False,0.759234324824769,0.0010823614933005829,0.7432485318898183,0.007892443173190176,0.8202204150012122,0.0017810857468594208,0.7910517268323176,0.0035115000792919973
