candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1
3,400,20,1,log2,,gini,balanced,False,0.9907769363461295,0.0001421247563338961,0.8716797605686494,0.0013314725342350787,0.9401915107710347,0.0008487925410578406,0.8288798426710855,0.0077991441449648015
13,500,5,1,sqrt,40.0,gini,balanced,False,0.9978274891630048,4.451506775391029e-05,0.8845242548946253,0.0011863260749744836,0.9724855845351946,0.0007949239192475516,0.8048048048048048,0.0
4,100,2,1,log2,40.0,entropy,balanced,False,0.999260649253121,1.9628077373866885e-05,0.8873612669908967,0.004819080986797652,0.9827910766740248,0.0007816622604946415,0.8038939800755722,0.014422905895498807
15,200,10,2,log2,40.0,gini,balanced,True,0.9501767749994423,0.0009946900732993504,0.8342686120463898,0.0004040865880039628,0.8673701785693718,0.003977681252418206,0.7950568903193852,0.008282264824619015
16,700,2,10,sqrt,4.0,entropy,balanced,False,0.8827643446127308,0.00040657691997122747,0.8140042399301658,0.0021832075570534324,0.797065088158286,0.001902007614967189,0.7859453284381884,0.006175185420941046
2,700,5,10,log2,4.0,gini,balanced,False,0.8863551448774286,0.0010209130446459838,0.8191170968948747,0.001609114341010654,0.793867845978998,0.002756639077510844,0.7854893299454696,0.026599545914132425
19,700,50,1,log2,30.0,gini,balanced,True,0.9531941253448135,0.00042812918592376447,0.8370120962713554,0.0036792913061309152,0.8692761715455829,0.0012427597311927166,0.7833272899939567,0.0030865336145033113
18,150,100,5,log2,40.0,entropy,balanced,False,0.9251708267344769,0.0005193687456159615,0.8202394313505424,0.0030045601205029608,0.8453397080964145,0.0012264485169832455,0.7791763120791039,0.013118407790089052
20,200,100,5,log2,4.0,entropy,balanced,True,0.8842291048604759,0.002596749589171886,0.7989150766928544,0.00837514105304106,0.7951429005138376,0.006424141105966857,0.7788790151778606,0.020289211929014905
10,100,5,3,log2,30.0,gini,balanced_subsample,False,0.9451216791951996,0.001501615225691594,0.8325851103628882,0.005401993669357889,0.8600791912387207,0.0040835641494954295,0.7758061674825694,0.01691160347355054
11,200,5,3,log2,40.0,entropy,balanced,True,0.9372183868305414,0.0014466504362496263,0.8281581244544207,0.0017701795194635856,0.8541130231185953,0.002365383203239881,0.7751246451757962,0.008892381420557477
8,150,10,3,log2,,gini,,False,0.9447257478084361,0.0004234652042105016,0.8457413642598827,0.002690541091207274,0.8285904085824507,0.0019286036006411354,0.7707357621444836,0.012160013224743714
9,100,100,4,log2,40.0,entropy,,False,0.9266151398214033,0.0007151921105003113,0.830153385708941,0.003349638612935104,0.800196498857503,0.0040269146380467625,0.7681068887732083,0.0035091539028171115
17,400,50,5,sqrt,10.0,entropy,,False,0.908021700014127,0.0008026448324597573,0.8278463648834018,0.004443202831106115,0.7720862848485602,0.0036929104640068744,0.7656255422522991,0.0035091539028171115
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.9522568089045526,0.0003363280453763894,0.8458037161740865,0.0035567927913584805,0.8675000456918963,0.0021570207751931783,0.765192272459528,0.0026234138250860375
7,200,100,4,sqrt,30.0,entropy,balanced_subsample,True,0.9314606522272535,0.0005046230379317773,0.8348297792742237,0.006057449153859925,0.850598554908368,0.002686647384742607,0.7464379377082008,0.0027451050024320947
12,700,2,3,,8.0,gini,balanced_subsample,False,0.8512915170306261,1.5772719350120826e-05,0.7512158623269732,1.1102230246251565e-16,0.8486979441621229,0.0013854130234333213,0.7239378211499498,0.015261911364659988
14,400,20,2,,30.0,gini,balanced,True,0.9682920300684795,0.0001143068823967595,0.823544082803342,0.00046659900072004034,0.8831267632702625,0.0021496636329182356,0.7177305210573787,0.0026149164946397715
5,700,20,1,,20.0,gini,balanced,False,0.951501658078859,4.137730084386817e-05,0.7768113231076192,8.817892270686302e-05,0.8561047384001871,0.0012745696911084744,0.7125638568328782,0.014489727003790892
1,200,2,10,log2,10.0,gini,,True,0.8823549366881548,0.0019764279601515162,0.8242299538595833,0.0030136041834629263,0.685834173855454,0.00610566853662335,0.6730407629403209,0.018313464908652828
