candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
19,700,50,1,log2,30.0,gini,balanced,True,0.7993103083110403,0.0038630361516363127,0.7257142857142858,0.0,0.9333212209302324,0.002014152217186302,0.7749622926093513,0.007831526386574476
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.766665212492937,0.0021465844333307935,0.7257142857142858,0.0,0.9143000894454383,0.0017849737299966072,0.7583710407239819,0.005594943285366921
35,150,50,2,,,entropy,,False,0.7655643098784631,0.0,0.7084886128364389,0.0,0.8975039132379248,0.00025776256447675644,0.615686274509804,0.006211541563189755
14,400,20,2,,30.0,gini,balanced,True,0.8159205301213417,0.0016283428231354566,0.7069433730176162,0.016281689771967707,0.94235521019678,0.001534688307216352,0.7378582202111614,0.0055130216840111506
22,700,100,2,sqrt,20.0,entropy,balanced,True,0.7620493582095469,0.0027953949646066186,0.7014382449739228,0.02255051357911965,0.8893559928443648,0.0022479562364690663,0.7731523378582201,0.008617108209403075
10,100,5,3,log2,30.0,gini,balanced_subsample,False,0.7732219598183114,0.005282424690399071,0.6982620825189315,0.01530036038898691,0.9258217799642219,0.0013357754246863046,0.7457013574660634,0.02431305180043427
37,700,50,1,log2,10.0,entropy,balanced,True,0.7741503782168824,0.00877726288048985,0.6949028236156949,0.0,0.8745220259391772,0.0020752588627254076,0.7659125188536953,0.009268350826990762
15,200,10,2,log2,40.0,gini,balanced,True,0.7887373770973193,0.004372772069979892,0.6907998589634768,0.012687853505739827,0.9231943202146692,0.0022071154656264926,0.7728506787330316,0.010475870500262649
11,200,5,3,log2,40.0,entropy,balanced,True,0.7678616070472599,0.009221334640890906,0.6871979350170371,0.01353956859661427,0.8876062164579606,0.004330439084471926,0.763499245852187,0.006284363998793238
18,150,100,5,log2,40.0,entropy,balanced,False,0.7167960437865722,0.006520375155770128,0.6839043720761093,0.01687875495476338,0.8547797406082289,0.005242969942219363,0.759577677224736,0.006718267707788886
29,150,2,1,log2,4.0,entropy,balanced_subsample,True,0.7591729015470963,0.012174683219004287,0.6818401792382375,0.0053702918711399025,0.862298747763864,0.00892074185910716,0.763499245852187,0.012305326126317401
