candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
14,400,20,2,,30.0,gini,balanced,True,0.818670201895402,0.005287738441860551,0.6556396064653903,0.01268474695894968,0.9445629629629628,0.000958828732216028,0.7345428156748911,0.0031263656354917333
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.7710629103401315,0.0037184513449204327,0.6305089238723259,0.022995954254785102,0.9064296296296297,0.002800337036348859,0.7081277213352685,0.007821302516869393
7,200,100,4,sqrt,30.0,entropy,balanced_subsample,True,0.6861448971962922,0.004246331482398077,0.6129952742416169,0.02311539399071774,0.8590962962962964,0.0015204360070642557,0.6970972423802612,0.0063197506696886
22,700,100,2,sqrt,20.0,entropy,balanced,True,0.7435844233502171,0.00495580430388741,0.6106361624782678,0.006057909080164351,0.887277037037037,0.0012732607222957105,0.7002902757619738,0.00458966278689168
11,200,5,3,log2,40.0,entropy,balanced,True,0.722934748173685,0.01297449582731027,0.600918696129656,0.014665818674300942,0.8855940740740742,0.00327352567889276,0.6982583454281567,0.004822423142477835
15,200,10,2,log2,40.0,gini,balanced,True,0.7625840738583944,0.003616161482995661,0.596588161037611,0.0059223563588337155,0.9119051851851852,0.002773333333333349,0.6973875181422351,0.010262797985290941
19,700,50,1,log2,30.0,gini,balanced,True,0.7917371679341916,0.0028844840272972574,0.5941703691785993,0.004835583718023307,0.9236651851851851,0.0018634563811635839,0.7020319303338172,0.006047218187518031
10,100,5,3,log2,30.0,gini,balanced_subsample,False,0.7233567610428357,0.009532721548717222,0.5910091285013462,0.013939340723163031,0.9108355555555556,0.002206832637076472,0.6939042089985485,0.015539923151610055
37,700,50,1,log2,10.0,entropy,balanced,True,0.707638710245391,0.0064314321984592,0.5838788407585142,0.004813099217607374,0.8797925925925926,0.0012686188119314355,0.6915820029027576,0.011719378367597276
34,400,50,1,,40.0,gini,,True,0.6958561415080189,0.0073012368577925965,0.5837150014736222,0.00521956970232833,0.9072148148148148,0.00029316867806729416,0.6172714078374456,0.004626234383311845
3,400,20,1,log2,,gini,balanced,False,0.8854877781195167,0.0021436103169012607,0.5711448215649896,0.0056494470403598614,0.9860474074074075,0.00028946191980607226,0.6901306240928882,0.009040587229258282
28,200,100,1,log2,4.0,entropy,balanced,True,0.6618384223136486,0.012970622591210528,0.563862515148515,0.01737630581729575,0.8520325925925928,0.00647814026048894,0.6982583454281568,0.007658000556326786
13,500,5,1,sqrt,40.0,gini,balanced,False,0.9298539958329671,0.0011613370251764455,0.5634857281083697,0.010909530720851457,0.9954103703703703,0.0001359092733769783,0.6727140783744557,0.0049432181033167944
5,700,20,1,,20.0,gini,balanced,False,0.7132982866043613,0.0,0.5618391935087288,0.0,0.8976622222222221,8.709296863231745e-05,0.7235123367198839,0.0
29,150,2,1,log2,4.0,entropy,balanced_subsample,True,0.6909801279159067,0.010395407872542946,0.5597114596064016,0.01904846724864787,0.8826251851851852,0.0036362497450676636,0.6921625544267054,0.011450265848078955
35,150,50,2,,,entropy,,False,0.615881555536728,0.0,0.5388914764788076,0.0,0.8726577777777779,0.00021724803294605332,0.47387518142235124,5.551115123125783e-17
4,100,2,1,log2,40.0,entropy,balanced,False,0.9575017048530311,0.0,0.5341471807800051,0.023422878309563074,0.9980948148148148,0.0002282827885541782,0.6523947750362845,0.01153823333198943
