candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
9,100,100,4,log2,40.0,entropy,,False,0.7055620289598306,0.00393488802025992,0.6742067818377885,0.014937066585520643,0.7945755716470436,0.0032175725950403054,0.6800366300366301,0.004318617627308288
35,150,50,2,,,entropy,,False,0.7241639672811166,0.0,0.668018018018018,0.0,0.8122436570670499,9.026550007530183e-06,0.6365384615384616,0.0017944979800609301
15,200,10,2,log2,40.0,gini,balanced,True,0.7673408325564569,0.009496029801327093,0.6617840224237019,0.020753109595798527,0.8581523040922743,0.001446315106285492,0.6747252747252747,0.00964629603096241
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.7557531481036264,0.00456563475718854,0.6592214852716095,0.011455711989621987,0.8501041033294641,0.0012057231981755987,0.6868131868131868,0.0034264261783644684
31,500,50,3,sqrt,8.0,entropy,,True,0.7012251906445117,0.003170772155138014,0.658738659091377,0.011305239929600181,0.7833932157794852,0.0018672671972286123,0.6752747252747252,0.00816200730958143
17,400,50,5,sqrt,10.0,entropy,,False,0.709408642629711,0.00462978096017719,0.6555793625829972,0.009520091429249852,0.7789011110496932,0.0006076908733608888,0.6591575091575093,0.00688703138350301
38,200,20,3,log2,8.0,gini,,True,0.7059961920208387,0.005090392646646039,0.6498849453947078,0.015680987568352043,0.78421130212076,0.0027636946525895797,0.6807692307692307,0.0023597250415247086
22,700,100,2,sqrt,20.0,entropy,balanced,True,0.730814378404537,0.006448701025822488,0.6473397940658303,0.02965995283057612,0.8285980137453246,0.0008555404540927571,0.658058608058608,0.0068430555649338235
26,100,5,4,sqrt,30.0,gini,,False,0.748894154936157,0.003857368939785191,0.6443361871200023,0.014541953143965936,0.8400696478912166,0.002255970943154532,0.6639194139194139,0.011841194047798235
8,150,10,3,log2,,gini,,False,0.7480119282224337,0.005203061885389337,0.6442859133620004,0.03956593698587493,0.845123726346434,0.0023012495439685746,0.6565934065934066,0.008648878353932332
30,150,5,5,log2,8.0,entropy,,False,0.7011304314463139,0.003993224930364791,0.6382581999672173,0.020409122528296523,0.7732095148600594,0.0037954084636142547,0.678937728937729,0.006090948405976517
32,300,100,10,sqrt,8.0,entropy,,False,0.663305454339105,0.0033626691317910217,0.6349992691189874,0.022793756316650995,0.7365319772262451,0.0021094640518656916,0.697069597069597,0.004310843331846107
18,150,100,5,log2,40.0,entropy,balanced,False,0.7006543766957283,0.005170164139553554,0.6346754689398331,0.01293409710178044,0.7792143423064876,0.0014289535196486366,0.689010989010989,0.012483804533298136
21,200,10,10,log2,,gini,,False,0.6710671404959976,0.004252999155728285,0.6295123503947033,0.014420012146168453,0.7407974499290624,0.0023135659879313843,0.7058608058608058,0.005320820163492322
14,400,20,2,,30.0,gini,balanced,True,0.8063978026433183,0.00657221052972094,0.6285943618701456,0.011701212036436495,0.8967423949293387,0.0012640178502381278,0.6959706959706959,0.0032762900769227944
19,700,50,1,log2,30.0,gini,balanced,True,0.7802247011572547,0.0029127450566782684,0.6267991592837949,0.013352675504230046,0.8723877434451752,0.001511086889332718,0.6450549450549451,0.007696667175622979
2,700,5,10,log2,4.0,gini,balanced,False,0.65912556466082,0.003792155393586153,0.6257229067035582,0.007827664225493438,0.7278941646859395,0.0015349116797610312,0.7126373626373627,0.00368127312128969
