candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
3,400,20,1,log2,,gini,balanced,False,0.8852419792699656,0.007089034944502252,0.6767441860465117,0.0,0.9971984377347154,7.823594207600737e-05,0.6641076115485565,0.014972137214647416
19,700,50,1,log2,30.0,gini,balanced,True,0.8753582775637343,0.002988216434319895,0.6176749055307319,0.02197073214663585,0.9873817034700316,0.0004286804318799738,0.6806430446194225,0.004553635583437622
13,500,5,1,sqrt,40.0,gini,balanced,False,0.9267237166666087,0.00268306155018389,0.6108876690976469,0.02254814973282083,0.9977467327625057,7.51089079165268e-05,0.5971784776902886,0.011247875242633142
22,700,100,2,sqrt,20.0,entropy,balanced,True,0.8095536242516822,0.00901742307886354,0.6073225826851326,0.0036460163518920313,0.9673201141655401,0.000543775006741956,0.6471784776902888,0.004986876640419955
14,400,20,2,,30.0,gini,balanced,True,0.8714523089919242,0.0026304092389451443,0.5969536026959422,0.020865482104358065,0.9884463722397475,0.0002468044885180664,0.5763779527559055,0.00414685703656822
15,200,10,2,log2,40.0,gini,balanced,True,0.8648133942229681,0.009858471054987784,0.5953052287281306,0.018529782558088886,0.9767162385458917,0.0011960960935793073,0.6483595800524935,0.01637319905438168
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.8524900107185935,0.0038800661601808163,0.5914770595636696,0.022647725557321582,0.9756853687847377,0.0003845620094197745,0.6639763779527559,0.010658236485169016
35,150,50,2,,,entropy,,False,0.7265221878224974,0.0,0.5561683599419449,0.0,0.9697480096139403,0.0006416318860550733,0.588779527559055,0.0025716427745755147
7,200,100,4,sqrt,30.0,entropy,balanced_subsample,True,0.7382237022710719,0.009296112669970793,0.5525419819475627,0.020448422803963372,0.9552595012768516,0.0011613771810133364,0.6351049868766403,0.011902532643961366
11,200,5,3,log2,40.0,entropy,balanced,True,0.7969509889294784,0.008614967157228304,0.5514015277286471,0.021531290674319924,0.9663249211356465,0.0013050699582913185,0.6364173228346457,0.02429629744444671
29,150,2,1,log2,4.0,entropy,balanced_subsample,True,0.8154783242638626,0.012609894595169957,0.5479812267711985,0.033321937215448384,0.953070076611086,0.00323010659194191,0.6083333333333333,0.02790558290814069
10,100,5,3,log2,30.0,gini,balanced_subsample,False,0.7528549791866068,0.0062618496995543935,0.5453425048948203,0.010809998210698392,0.973572930749587,0.0010994126528135301,0.6522965879265092,0.014966384673913837
18,150,100,5,log2,40.0,entropy,balanced,False,0.6714780753915405,0.002705938340921868,0.5425446631439399,0.018499983913451756,0.9529330028541386,0.001236696736357921,0.6835301837270341,0.003857464161863251
37,700,50,1,log2,10.0,entropy,balanced,True,0.8221532815750476,0.015033583242416127,0.539638967977893,0.004013404819427929,0.9649429172299836,0.00081459411009026,0.6511154855643044,0.013443599274774662
20,200,100,5,log2,4.0,entropy,balanced,True,0.6889891748087933,0.008795655806323485,0.5339134391285324,0.024777783262565994,0.9103593961243803,0.0044383200390853365,0.6507217847769029,0.015568752047856493
27,100,100,2,sqrt,4.0,entropy,balanced_subsample,False,0.6480731760503434,0.0338827168347604,0.5253619838586131,0.035946539281761544,0.9232593510590357,0.004173094115293626,0.657742782152231,0.01785138723553276
28,200,100,1,log2,4.0,entropy,balanced,True,0.7733683467883067,0.021051897715705956,0.5207316700864618,0.021948604435341135,0.9382116569025086,0.0028485579381891577,0.6625328083989501,0.017451601270214476
23,300,2,1,sqrt,4.0,gini,balanced,False,0.6867086229614968,0.017415128813325,0.5117053069376393,0.013342389857052349,0.9415220820189274,0.0020335450736739544,0.6290682414698162,0.014999718700503463
24,150,5,10,,20.0,entropy,balanced,False,0.6022337605834569,0.0,0.5111620795107034,0.0,0.9060387561964849,0.0,0.5905511811023623,0.0
4,100,2,1,log2,40.0,entropy,balanced,False,0.9482803249957333,0.0003159501109398555,0.5074400971421825,0.036813851328317534,0.9970407090280908,0.00015915292249073001,0.5617454068241469,0.02699905990356421
2,700,5,10,log2,4.0,gini,balanced,False,0.5882362696130409,0.011538266709376108,0.49768250838345696,0.016257304290830207,0.906012468078714,0.000272392786627413,0.6408792650918634,0.00692436008308294
25,200,2,10,,10.0,gini,balanced_subsample,True,0.6541412891184123,0.0077201998653355025,0.48183195457927386,0.011413728427684868,0.9169276701216763,0.0007280238680962619,0.5823490813648294,0.01034167365083751
38,200,20,3,log2,8.0,gini,,True,0.48569969356486203,5.551115123125783e-17,0.47744360902255634,5.551115123125783e-17,0.9199432927745231,0.0036161692486152827,0.7033464566929133,0.015597486902520729
30,150,5,5,log2,8.0,entropy,,False,0.48569969356486203,5.551115123125783e-17,0.47744360902255634,5.551115123125783e-17,0.9102692654348805,0.003860903806683365,0.6925853018372703,0.006981331274682612
9,100,100,4,log2,40.0,entropy,,False,0.48569969356486203,5.551115123125783e-17,0.47744360902255634,5.551115123125783e-17,0.9367845876520956,0.001872207236918844,0.6841863517060367,0.010872606392235173
31,500,50,3,sqrt,8.0,entropy,,True,0.48569969356486203,5.551115123125783e-17,0.47744360902255634,5.551115123125783e-17,0.9264345801412048,0.0008549228346181595,0.6839238845144356,0.010809060515471874
36,200,20,2,log2,10.0,entropy,,True,0.48569969356486203,5.551115123125783e-17,0.47744360902255634,5.551115123125783e-17,0.9409456211506686,0.0015500825491217927,0.6819553805774279,0.015250224720560585
39,400,100,1,sqrt,10.0,entropy,,True,0.48569969356486203,5.551115123125783e-17,0.47744360902255634,5.551115123125783e-17,0.9558359621451104,0.0008141611607585464,0.6802493438320208,0.00992007936428567
8,150,10,3,log2,,gini,,False,0.48569969356486203,5.551115123125783e-17,0.47744360902255634,5.551115123125783e-17,0.9526250563316809,0.0019998584197181654,0.6765748031496063,0.005623171990978633
