candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
23,300,2,1,sqrt,4.0,gini,balanced,False,0.8246781357029711,0.006961013514676957,0.6962573666625758,0.022541768054291193,0.9247486888111889,0.0028158966669856013,0.7633333333333333,0.008401680504168075
5,700,20,1,,20.0,gini,balanced,False,0.8457321195148172,0.001281757431827213,0.6773729419655945,0.02098007215400478,0.9387893356643356,0.00023671440572952619,0.7052941176470588,0.001921168425712344
3,400,20,1,log2,,gini,balanced,False,0.9655185364682707,0.0014881748030212438,0.6767248773657135,0.017172231418349407,0.9936698717948718,0.0003586402571413387,0.7678431372549019,0.005490196078431371
27,100,100,2,sqrt,4.0,entropy,balanced_subsample,False,0.7920046246529058,0.009883801405547362,0.672879394677555,0.022935486975753188,0.8705893065268064,0.001897766831443085,0.7482352941176471,0.008799531636202665
26,100,5,4,sqrt,30.0,gini,,False,0.8207616911144602,0.011376351847495053,0.6681673854430412,0.040856602992460044,0.9231097027972028,0.0014050740739229622,0.7368627450980393,0.008355794412808825
13,500,5,1,sqrt,40.0,gini,balanced,False,0.9945546383057197,0.0012106070287894344,0.663091851249746,0.016271613020886744,0.9999927156177156,1.4568764568778648e-05,0.7580392156862745,0.008821350493491767
4,100,2,1,log2,40.0,entropy,balanced,False,0.9993951704726598,0.0012096590546805785,0.6540235883974541,0.017188224862235667,1.0,4.965068306494546e-17,0.7411764705882353,0.010952345132367794
29,150,2,1,log2,4.0,entropy,balanced_subsample,True,0.8412478700831093,0.009852511754109821,0.6461435527537223,0.029104345500554483,0.9244536713286715,0.0043365268225648915,0.7294117647058823,0.018183565677442573
14,400,20,2,,30.0,gini,balanced,True,0.8891689206608284,0.004080122650862635,0.6427943985838723,0.007644285539022411,0.958839597902098,0.0006962589245541162,0.7219607843137255,0.007882255389114457
9,100,100,4,log2,40.0,entropy,,False,0.7740560516639954,0.004475753092319225,0.6334829439021985,0.028215628522289777,0.8956657925407925,0.004274114021097327,0.7152941176470587,0.012791769749254955
