candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
14,400,20,2,,30.0,gini,balanced,True,0.9108509465230424,0.00801585641785842,0.8562251082251082,0.023370889147593606,0.988655303030303,0.0004714180480453141,0.9611428571428571,0.0020995626366712874
23,300,2,1,sqrt,4.0,gini,balanced,False,0.8826549620082341,0.010716352003328142,0.8502401822959736,0.028257560705837702,0.9751704545454546,0.0012242592487258868,0.9725714285714286,0.002285714285714274
29,150,2,1,log2,4.0,entropy,balanced_subsample,True,0.8897154279665204,0.017347459144731237,0.8346671957434916,0.03341844182163083,0.979469696969697,0.003047719311339905,0.9651428571428571,0.0070912420834233466
20,200,100,5,log2,4.0,entropy,balanced,True,0.807906858774302,0.02185914443969594,0.8315635184799944,0.044713579013079555,0.923409090909091,0.0036601790980069233,0.9651428571428571,0.009284615319584001
7,200,100,4,sqrt,30.0,entropy,balanced_subsample,True,0.8354147200807127,0.013541901041553566,0.815565509518477,0.030981275603305092,0.9498484848484848,0.003343838664557626,0.9651428571428571,0.014835148555139635
33,100,20,4,,8.0,gini,,True,0.7858682889128328,0.014390984296774715,0.8056605801498055,0.021246321860676525,0.95072601010101,0.002151194284178164,0.96,0.0018070158058105241
25,200,2,10,,10.0,gini,balanced_subsample,True,0.7158723258241138,0.003087556127299473,0.7978458768206143,0.01794438678008107,0.9027651515151515,0.0014373434801645017,0.9560000000000001,0.004642307659792002
10,100,5,3,log2,30.0,gini,balanced_subsample,False,0.8910297903712335,0.003127523531116669,0.794602463605823,0.019173497538694757,0.9809280303030302,0.0006433201617604569,0.9514285714285714,0.005111012519999581
27,100,100,2,sqrt,4.0,entropy,balanced_subsample,False,0.8483078326651668,0.013159001036519092,0.7932737012330705,0.017619264200525554,0.959368686868687,0.00212841489956623,0.9574285714285715,0.005375682206350535
11,200,5,3,log2,40.0,entropy,balanced,True,0.8689617089514525,0.005614626495573115,0.7932737012330705,0.017619264200525554,0.9697285353535354,0.0021018081963188077,0.9525714285714286,0.005299210568854673
