candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
34,400,50,1,,40.0,gini,,True,0.7006890698558397,0.0038307984577791356,0.6880699729287766,0.003877506149427656,0.9262815804117974,0.0006332404111981739,0.6946808510638298,0.0063116582868899575
33,100,20,4,,8.0,gini,,True,0.6402068852792985,0.0036617420848507084,0.6431196467954029,0.004041551172745273,0.869001298460397,0.0014329577102239063,0.6848581560283687,0.007468391553120718
35,150,50,2,,,entropy,,False,0.7368888626310566,0.0,0.6170614127017398,0.0,0.9059528844370247,0.0002108652168332136,0.6887234042553192,0.0004135426875776948
26,100,5,4,sqrt,30.0,gini,,False,0.5434588715873852,0.012088009578921543,0.5997133345916787,0.03375946664575273,0.9170332034872937,0.001050989795110298,0.6875177304964539,0.011306219174531057
5,700,20,1,,20.0,gini,balanced,False,0.7657221151857536,0.0,0.5432439900525007,0.0,0.9537117417918755,5.487623694928861e-05,0.768936170212766,0.0005307315442232134
13,500,5,1,sqrt,40.0,gini,balanced,False,0.9481687441698339,0.0011225563300536654,0.5248612294079643,0.0013030910688297758,0.9977032090521238,2.318011404457681e-05,0.6813475177304964,0.003331069096685728
14,400,20,2,,30.0,gini,balanced,True,0.8274730419257248,0.005761249778634871,0.5221698341219716,0.015414700184430682,0.9554283064366537,0.000677159133332278,0.7129787234042553,0.0029464649755802834
4,100,2,1,log2,40.0,entropy,balanced,False,0.9624101859678781,1.1102230246251565e-16,0.5213576158498384,0.002399169093574107,0.9983027267668335,0.00014066294178542143,0.566595744680851,0.017718293673138808
3,400,20,1,log2,,gini,balanced,False,0.8837120127132134,0.0017822288864839542,0.5063676456687454,0.016878266491626527,0.9888959376739009,0.00014533289367417313,0.6536879432624114,0.004539007092198561
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.7689724608244658,0.002575355876103465,0.503103797899537,0.009974193149352101,0.916464848822111,0.0006684660212397836,0.6422695035460992,0.0054862637179613335
