candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
12,700,2,3,,8.0,gini,balanced_subsample,False,0.8912037037037038,1.1102230246251565e-16,0.8791381278538812,0.0,0.951102646238773,2.692801804178302e-05,0.9221966647498562,0.00023001725129390138
13,500,5,1,sqrt,40.0,gini,balanced,False,0.9796169247507315,0.0008850164505770633,0.872741065983911,0.006763720344674589,0.9989139032723152,1.6867369837658365e-05,0.9534502587694078,0.001172862452810265
4,100,2,1,log2,40.0,entropy,balanced,False,0.98790467192837,0.0004736454958363723,0.8678514265729719,0.0038182762929427293,0.9996050557353874,6.732004510368039e-06,0.9497699827487063,0.0025806562015315213
14,400,20,2,,30.0,gini,balanced,True,0.9114270088359572,0.0008805441087095136,0.8636331702048284,0.007982878615222642,0.9728588018153971,0.00022876161829446038,0.9368315123634272,0.0007800264500431273
19,700,50,1,log2,30.0,gini,balanced,True,0.9077110885348338,0.001064061810042244,0.8618721461187215,0.0,0.965617408963664,0.00024180092399048086,0.9391891891891893,0.0011643735900699656
39,400,100,1,sqrt,10.0,entropy,,True,0.8690339725374718,0.004160069948609984,0.8618721461187215,0.0,0.9357828479745081,0.0001545390577371793,0.9233755031627371,0.00336780919248906
34,400,50,1,,40.0,gini,,True,0.909590513345362,0.0017705196914813727,0.8618697484049598,0.003584446852052459,0.9673879261499104,0.0004026193038131883,0.917826336975273,0.001027059867710848
5,700,20,1,,20.0,gini,balanced,False,0.9254317913131074,1.1102230246251565e-16,0.8608395629672225,0.0,0.9816378966973908,2.3157834584102262e-05,0.8836112708453134,0.00046003450258771397
26,100,5,4,sqrt,30.0,gini,,False,0.8928744792259172,0.002675327153813439,0.8602478057680664,0.0032486807013101695,0.9590851205870308,0.0012089702579515752,0.9375790684301322,0.0034291090318287953
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.894912400950702,0.002946367914107415,0.8602478057680664,0.0032486807013101695,0.957592859587216,0.0005561933255498989,0.9356239217941346,0.0020701552616446376
22,700,100,2,sqrt,20.0,entropy,balanced,True,0.8875770481354783,0.002161566438628887,0.8586303699562017,0.0064835523250396316,0.946938340448688,0.0004395408409087313,0.9263082231167337,0.0011120804833705572
8,150,10,3,log2,,gini,,False,0.8885272517463308,0.00656526640684173,0.8572054194579575,0.009990849144311205,0.9556747993021155,0.0012817973478710398,0.9348188614146062,0.004641136003215889
37,700,50,1,log2,10.0,entropy,balanced,True,0.8715980846532483,0.0040705930594308985,0.8539636432954378,0.010563926868555545,0.9392919053255767,0.0005437781013011534,0.9261932144910869,0.001884527844528355
31,500,50,3,sqrt,8.0,entropy,,True,0.8680919996416806,0.0029079473621957705,0.8535548018774921,0.007261327400077742,0.9306783055544647,0.0006286449159711499,0.9213053479010925,0.0025806562015315572
15,200,10,2,log2,40.0,gini,balanced,True,0.895852661744766,0.0024958574972967005,0.852171433690204,0.012924048524348771,0.9585774152468682,0.0006277581672454775,0.9370615296147211,0.0022756019479481795
7,200,100,4,sqrt,30.0,entropy,balanced_subsample,True,0.8767330330886398,0.004018581627854183,0.851261815090789,0.007068627342381988,0.9361059841910093,0.0007227670718712842,0.9222829212190915,0.0031569815368167227
3,400,20,1,log2,,gini,balanced,False,0.9543105301407919,0.0012046019730741677,0.8507125593475887,0.006586789622857045,0.9918374445310878,0.00012377656809611765,0.9523001725129385,0.0014951121334099739
11,200,5,3,log2,40.0,entropy,balanced,True,0.8762810416643084,0.00401472738180864,0.8492783010640153,0.004427496504376567,0.9462505539878713,0.0004286571530498681,0.9293559516963773,0.0038890945184384402
33,100,20,4,,8.0,gini,,True,0.8864261162562522,0.0007484358228171742,0.8468640110209705,0.006176357031636997,0.9502673166791021,0.00038160810925225744,0.941776883266245,0.0009046654814578953
18,150,100,5,log2,40.0,entropy,balanced,False,0.8639873723831238,0.005008838990778357,0.845647052982003,0.005741541678153784,0.9353822937061368,0.0025053403741012925,0.9240655549166188,0.0051356212908030465
17,400,50,5,sqrt,10.0,entropy,,False,0.8705449844018551,0.0019112506572342262,0.8454518451216103,0.0004228403690243354,0.9337380016044611,0.0003061561573842631,0.9265382403680276,0.0021439162601848594
9,100,100,4,log2,40.0,entropy,,False,0.8635463249786254,0.003817057274642452,0.8439448077832811,0.011611004393696275,0.9399886677924074,0.0011239829785801795,0.9246981023576767,0.0028958432000032487
36,200,20,2,log2,10.0,entropy,,True,0.8653218727435155,0.001608996637532634,0.8436953757926402,0.014374461170938187,0.9391454842274743,0.0011903920368196812,0.9247556066705002,0.002352762799940096
38,200,20,3,log2,8.0,gini,,True,0.8567036933307653,0.002075155021928201,0.8429418346990876,0.005542934288616782,0.930300752301504,0.0015844853540088468,0.916877515813686,0.0021866766350582723
10,100,5,3,log2,30.0,gini,balanced_subsample,False,0.8944365459407628,0.0019105358087051156,0.8396066820940288,0.0059349982667554315,0.9565179828670486,0.001495851090834073,0.9355664174813112,0.002361180582823185
32,300,100,10,sqrt,8.0,entropy,,False,0.8576259347081023,0.003638796169642142,0.8342256643178907,0.008462096370262143,0.9186274564803959,0.0008520160772025914,0.914864864864865,0.002688595682015182
30,150,5,5,log2,8.0,entropy,,False,0.8467066024252379,0.004249112308621387,0.8321913199325293,0.008436700990098394,0.9254430500468434,0.0017300909603794126,0.921247843588269,0.00647683407777173
35,150,50,2,,,entropy,,False,0.8822072189793586,0.0009368109433895101,0.8279143928991953,0.003729878380334295,0.952304309043887,3.798266706269638e-05,0.9173375503162738,1.1102230246251565e-16
