candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
29,150,2,1,log2,4.0,entropy,balanced_subsample,True,0.7892225313342273,0.004629250606182645,0.6008378718056137,0.01818471382153403,0.9276627965673903,0.0035887972702063797,0.5370312499999998,0.015977278788955246
28,200,100,1,log2,4.0,entropy,balanced,True,0.7498549131024776,0.009896372647090524,0.5866825468037851,0.03266797398723386,0.9002235523184539,0.0037378878243932694,0.5332812500000002,0.012975337182516698
33,100,20,4,,8.0,gini,,True,0.7528345763431654,0.0015423857752074888,0.5833614627285514,0.008277074542897321,0.9277349102185044,0.0012405120137301308,0.593125,0.01038092827617069
13,500,5,1,sqrt,40.0,gini,balanced,False,0.9135214246187265,0.0016267477414364075,0.5812147738643264,0.008317136018980986,0.9967476743347514,3.5328329743776925e-05,0.55796875,0.008003905296791078
20,200,100,5,log2,4.0,entropy,balanced,True,0.7466242777047578,0.011534727815502256,0.5765740822189193,0.02469304512547434,0.8974147256075575,0.0050222692761315415,0.5335937499999999,0.01685762994907645
34,400,50,1,,40.0,gini,,True,0.7685940047660855,0.0,0.5668073136427567,0.0,0.9370664166726762,0.0018296982748842853,0.5923437500000001,0.006745947857788427
35,150,50,2,,,entropy,,False,0.7685940047660855,0.0,0.5668073136427567,0.0,0.9353140549506023,0.0,0.52265625,0.0
2,700,5,10,log2,4.0,gini,balanced,False,0.7408748296846855,0.01697732156821683,0.5656932479923773,0.04193249173714146,0.9100418259176462,0.0017614931000226332,0.5526562499999998,0.0077434448083524236
23,300,2,1,sqrt,4.0,gini,balanced,False,0.7982209908843237,0.005015531824694752,0.5600167574361123,0.024235740939587427,0.9389485829667557,0.0022914275761908376,0.60671875,0.014570679033593503
16,700,2,10,sqrt,4.0,entropy,balanced,False,0.7667703211431316,0.008921844856258116,0.5593886573196918,0.031851721909608784,0.9109756976995745,0.0018410884882802037,0.54203125,0.005728219618694799
