task,feature_set_name,selection_metric,mean_valid_macro_f1,std_valid_macro_f1,mean_valid_roc_auc,std_valid_roc_auc,mean_train_macro_f1,mean_train_roc_auc,num_surviving_features,best_params_json
Pgp_Broccatelli,fg_top_level,macro_f1,0.8791381278538812,0.0,0.9221966647498562,0.00023001725129390138,0.8912037037037038,0.951102646238773,165,/data1/tianang/Projects/Intern-S1/train/tree/results/legacy_fg_top_level_root/Pgp_Broccatelli/fg_top_level/best_params.json
HIA_Hou,fg_top_level,macro_f1,0.8562251082251082,0.023370889147593606,0.9611428571428571,0.0020995626366712874,0.9108509465230424,0.988655303030303,150,/data1/tianang/Projects/Intern-S1/train/tree/results/legacy_fg_top_level_root/HIA_Hou/fg_top_level/best_params.json
Carcinogens_Lagunin,fg_top_level,macro_f1,0.8541666666666667,0.0,0.7095652173913043,0.011795356492391773,0.846311927397943,0.9413060218697058,123,/data1/tianang/Projects/Intern-S1/train/tree/results/legacy_fg_top_level_root/Carcinogens_Lagunin/fg_top_level/best_params.json
CYP2D6_Substrate_CarbonMangels,fg_top_level,macro_f1,0.8275060582165565,0.016646610293624752,0.8743561030235162,0.009312709019615591,0.7654160135881596,0.8963623741756335,168,/data1/tianang/Projects/Intern-S1/train/tree/results/legacy_fg_top_level_root/CYP2D6_Substrate_CarbonMangels/fg_top_level/best_params.json
BBB_Martins,fg_top_level,macro_f1,0.8253896501781574,0.007400550999277122,0.8704077815188926,0.0019597158030241232,0.9398450729541761,0.9908035176551939,200,/data1/tianang/Projects/Intern-S1/train/tree/results/legacy_fg_top_level_root/BBB_Martins/fg_top_level/best_params.json
AMES,fg_top_level,macro_f1,0.7718902532332071,0.0023275514820975617,0.8331387716830754,0.0004094151154548807,0.9165049927723092,0.9719528399236637,260,/data1/tianang/Projects/Intern-S1/train/tree/results/legacy_fg_top_level_root/AMES/fg_top_level/best_params.json
Bioavailability_Ma,fg_top_level,macro_f1,0.7257142857142858,0.0,0.7583710407239819,0.005594943285366921,0.766665212492937,0.9143000894454383,155,/data1/tianang/Projects/Intern-S1/train/tree/results/legacy_fg_top_level_root/Bioavailability_Ma/fg_top_level/best_params.json
Skin_Reaction,fg_top_level,macro_f1,0.7206349206349206,0.0,0.7095959595959596,0.0,0.8243791296422875,0.905574912891986,88,/data1/tianang/Projects/Intern-S1/train/tree/results/legacy_fg_top_level_root/Skin_Reaction/fg_top_level/best_params.json
DILI,fg_top_level,macro_f1,0.6962573666625758,0.022541768054291193,0.7633333333333333,0.008401680504168075,0.8246781357029711,0.9247486888111889,155,/data1/tianang/Projects/Intern-S1/train/tree/results/legacy_fg_top_level_root/DILI/fg_top_level/best_params.json
hERG,fg_top_level,macro_f1,0.6896725994958368,0.03502894305080456,0.7263589743589743,0.009941842720863764,0.7999513574398541,0.8860479326498745,154,/data1/tianang/Projects/Intern-S1/train/tree/results/legacy_fg_top_level_root/hERG/fg_top_level/best_params.json
PAMPA_NCATS,fg_top_level,macro_f1,0.6880699729287766,0.003877506149427656,0.6946808510638298,0.0063116582868899575,0.7006890698558397,0.9262815804117974,170,/data1/tianang/Projects/Intern-S1/train/tree/results/legacy_fg_top_level_root/PAMPA_NCATS/fg_top_level/best_params.json
ClinTox,fg_top_level,macro_f1,0.6767441860465117,0.0,0.6641076115485565,0.014972137214647416,0.8852419792699656,0.9971984377347154,212,/data1/tianang/Projects/Intern-S1/train/tree/results/legacy_fg_top_level_root/ClinTox/fg_top_level/best_params.json
CYP3A4_Substrate_CarbonMangels,fg_top_level,macro_f1,0.6742067818377885,0.014937066585520643,0.6800366300366301,0.004318617627308288,0.7055620289598306,0.7945755716470436,163,/data1/tianang/Projects/Intern-S1/train/tree/results/legacy_fg_top_level_root/CYP3A4_Substrate_CarbonMangels/fg_top_level/best_params.json
CYP2C9_Substrate_CarbonMangels,fg_top_level,macro_f1,0.6556396064653903,0.01268474695894968,0.7345428156748911,0.0031263656354917333,0.818670201895402,0.9445629629629628,159,/data1/tianang/Projects/Intern-S1/train/tree/results/legacy_fg_top_level_root/CYP2C9_Substrate_CarbonMangels/fg_top_level/best_params.json
SARSCoV2_Vitro_Touret,fg_top_level,macro_f1,0.6352811513479553,0.00310423482184734,0.6009191176470589,0.006477732983530647,0.6483881725083217,0.8974438858599448,209,/data1/tianang/Projects/Intern-S1/train/tree/results/legacy_fg_top_level_root/SARSCoV2_Vitro_Touret/fg_top_level/best_params.json
SARSCoV2_3CLPro_Diamond,fg_top_level,macro_f1,0.6008378718056137,0.01818471382153403,0.5370312499999998,0.015977278788955246,0.7892225313342273,0.9276627965673903,97,/data1/tianang/Projects/Intern-S1/train/tree/results/legacy_fg_top_level_root/SARSCoV2_3CLPro_Diamond/fg_top_level/best_params.json
