candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
14,400,20,2,,30.0,gini,balanced,True,0.9620217453379979,0.0034219127755910047,0.8545436561998869,0.01959817307048842,0.9951133458970107,0.000569388991880654,0.9278102051894093,0.008976314946004437
10,100,5,3,log2,30.0,gini,balanced_subsample,False,0.9865794844074038,0.0013830665470123216,0.8533472048215174,0.015720734546232986,0.9998666948223356,5.9139594716668264e-05,0.9323643503054452,0.009898786256936059
26,100,5,4,sqrt,30.0,gini,,False,0.98465617899876,0.003240623262601312,0.8531021791753801,0.023756715074964546,0.9994872993180459,0.00014510876284009282,0.932089879176537,0.01044435861542465
13,500,5,1,sqrt,40.0,gini,balanced,False,0.9978588540736549,0.0008866175716837069,0.8526824152935972,0.02092639606166257,0.9999969524077272,2.9531317427115406e-06,0.9322309448305791,0.010929188599955108
11,200,5,3,log2,40.0,entropy,balanced,True,0.9794295860436701,0.002947120526243305,0.8517510371108195,0.019762327348097047,0.9970031692147417,0.00011042239982758544,0.9310096918806376,0.010010067684913426
3,400,20,1,log2,,gini,balanced,False,0.9818840183493238,0.003483968828989227,0.8498951690578419,0.016808860454135613,0.9985993462777742,0.0002412757832941109,0.9330688292801337,0.009374921455123423
8,150,10,3,log2,,gini,,False,0.975211599669272,0.0021258102321257597,0.8495991750601997,0.022534262884670583,0.9990254338986185,0.0001024783318218738,0.9321975405023594,0.010051931367051441
15,200,10,2,log2,40.0,gini,balanced,True,0.9714733834452879,0.0033016166093131714,0.8456869645729274,0.018088088269152137,0.9955214283545674,0.00027049080079404297,0.9319023111915966,0.010292939670951705
4,100,2,1,log2,40.0,entropy,balanced,False,0.9992855839458972,0.0005833192603233204,0.844056074005973,0.02497138996812542,0.9999986940235196,1.0663282022537424e-06,0.9257648989659002,0.00915706173253118
25,200,2,10,,10.0,gini,balanced_subsample,True,0.9220675849566062,0.00495715755240913,0.8409736283974393,0.013994776572904238,0.9842079126487493,0.0007104249858269767,0.9244566490996593,0.00889440630867019
21,200,10,10,log2,,gini,,False,0.8948470844242035,0.004399796935561271,0.8358375411385419,0.01847404617689888,0.9884414261438732,0.00030515346615943496,0.9290410316627866,0.009676057941947255
34,400,50,1,,40.0,gini,,True,0.9146285857546024,0.007152707647014163,0.8338160538867635,0.0173654268812795,0.9810689294385606,0.0016418402998943777,0.9195452109935767,0.009974314362042639
36,200,20,2,log2,10.0,entropy,,True,0.8888700784691228,0.0036143647251845323,0.8330197189231381,0.020618815658956898,0.9870870616713935,0.00056002415437884,0.927217334724079,0.008208879438023784
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.9117390425940256,0.005352295935015212,0.8324429841752596,0.016141822148674843,0.9787671562990745,0.000647051940009955,0.9253916904304218,0.01043950554279302
16,700,2,10,sqrt,4.0,entropy,balanced,False,0.8663026504153406,0.0027144188450784817,0.8322886275645516,0.01606173045163805,0.9535089934484675,0.0015585921517228365,0.910983839869119,0.01010114010398428
29,150,2,1,log2,4.0,entropy,balanced_subsample,True,0.868246244095437,0.006599757461840208,0.8314855465439555,0.017028770288675377,0.9514328498160702,0.0016479352149419927,0.907773755446812,0.009905055872823334
23,300,2,1,sqrt,4.0,gini,balanced,False,0.8856179907826297,0.0028673347057274713,0.8313251902778589,0.01908344937472447,0.9602152273527752,0.0015756355884661603,0.914607447641514,0.010954282675547084
17,400,50,5,sqrt,10.0,entropy,,False,0.8889502061888785,0.005384071256981288,0.831281123489612,0.021124956590571876,0.9835295930627639,0.00047776481098370525,0.9272113342665866,0.010358887967872139
2,700,5,10,log2,4.0,gini,balanced,False,0.8654791893423661,0.002899844571952249,0.8306050891430121,0.018283670904548837,0.9497473637368874,0.0014972916187488026,0.9103202125920792,0.010889436539991039
30,150,5,5,log2,8.0,entropy,,False,0.9100856152794533,0.00828811014908352,0.8304714611831912,0.016893738425759367,0.9932105649813217,0.0002811576496104504,0.9280299132766269,0.007798784031655571
37,700,50,1,log2,10.0,entropy,balanced,True,0.9083300122610544,0.0031858207503090213,0.8303357562706293,0.011965552126090072,0.9754449271599978,0.0002904658860719345,0.9230497152722187,0.007857425174673518
33,100,20,4,,8.0,gini,,True,0.8929281924134079,0.00624523893343675,0.8299716612336244,0.026925060313260578,0.9723883286936404,0.0015746604003577993,0.9162202588660524,0.011130229998142073
19,700,50,1,log2,30.0,gini,balanced,True,0.9112397147866254,0.0026214703937667678,0.829704077263808,0.014147181772723809,0.9773696030576327,0.00020822681806805857,0.924412002780714,0.009618613828130946
22,700,100,2,sqrt,20.0,entropy,balanced,True,0.8664976011527376,0.0032425489634197407,0.8259508555029204,0.014058776563223269,0.9578596636058931,0.0004927679342382976,0.9160612462566377,0.010208116321799854
18,150,100,5,log2,40.0,entropy,balanced,False,0.9011740079286261,0.0020805031990481244,0.825514474586847,0.01390211179193106,0.9711761694017358,0.0005281473155667018,0.9194460766336645,0.009112220864673129
28,200,100,1,log2,4.0,entropy,balanced,True,0.8461066411195197,0.005647745511466853,0.8247923875740618,0.0216188482156499,0.9340778461483492,0.001303730783362687,0.9024437380586038,0.01239544619725125
20,200,100,5,log2,4.0,entropy,balanced,True,0.8470730022446583,0.005363625813367267,0.8228878767241264,0.019627158142602227,0.9333410376049012,0.001425360803552727,0.902431024862592,0.012352613983691588
27,100,100,2,sqrt,4.0,entropy,balanced_subsample,False,0.8524931633096342,0.004086783002887001,0.822428643147399,0.013690874763905115,0.9466936469617316,0.00128228311515007,0.908362467862327,0.011812481303352072
7,200,100,4,sqrt,30.0,entropy,balanced_subsample,True,0.8633895178656733,0.004215591889828866,0.8212692600694436,0.015658382331058283,0.9562035711899923,0.0008160039655732068,0.915157067197933,0.01104745249232797
