candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
29,150,2,1,log2,4.0,entropy,balanced_subsample,True,0.859869025512849,0.006716800379670495,0.6429968140137421,0.07673784540982388,0.9648113175457335,0.0045602633473365095,0.7180355620509073,0.07262989936628186
3,400,20,1,log2,,gini,balanced,False,0.9733843122489937,0.004085249433891603,0.638718161743334,0.059609271279771815,0.9998775270477733,0.00010521842366686309,0.7255742296918768,0.056086212254806284
18,150,100,5,log2,40.0,entropy,balanced,False,0.8166431884706314,0.022188714572519516,0.6354756966889319,0.0677056136134135,0.9230002426419398,0.012406400751447747,0.7168318921771608,0.059611183685558296
25,200,2,10,,10.0,gini,balanced_subsample,True,0.9059469244202978,0.017980813382869228,0.6351695099309058,0.06865227529907736,0.981832717657757,0.005171650460175475,0.7201465513741728,0.05812067689153969
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.8091917233341078,0.022451896365087987,0.6344265463345451,0.07278985679489915,0.9231833987559497,0.008139370134334085,0.7215381804895872,0.07433184788667871
27,100,100,2,sqrt,4.0,entropy,balanced_subsample,False,0.7619918419605151,0.02143136972746225,0.6334519162159231,0.08077524345398947,0.8868840783801497,0.01138328853067943,0.7087606056915521,0.07000773194507885
20,200,100,5,log2,4.0,entropy,balanced,True,0.7260310445638453,0.007923538437065083,0.633340745878573,0.07518432784416387,0.8629408747355317,0.01188224725142816,0.7124848780091747,0.07405993540023495
22,700,100,2,sqrt,20.0,entropy,balanced,True,0.7491288622619524,0.010756269730603308,0.6307187803685487,0.07648759159101193,0.882887439084401,0.011864085165721272,0.711511387163561,0.0682383062722828
28,200,100,1,log2,4.0,entropy,balanced,True,0.7284044185641889,0.013795132255584423,0.6307164811016014,0.08214431320974525,0.8643565702675184,0.01098976497311606,0.7147225266918362,0.07492757053637539
7,200,100,4,sqrt,30.0,entropy,balanced_subsample,True,0.7390786911075046,0.016167851743416683,0.6292650224459899,0.08394759323245937,0.8776629998253886,0.010264133487298432,0.7098571022611944,0.07198605281164436
37,700,50,1,log2,10.0,entropy,balanced,True,0.8286552448832307,0.01627906991341686,0.6291383167337155,0.08382005757675204,0.9324243920912334,0.008033255556695906,0.7196667072626152,0.0691048593636563
16,700,2,10,sqrt,4.0,entropy,balanced,False,0.8364359555545985,0.014201147344545894,0.6283717709809535,0.059195473664023786,0.9506361754187841,0.0066191726213391845,0.7126164088823936,0.06460545185526652
23,300,2,1,sqrt,4.0,gini,balanced,False,0.896561063743779,0.011299676634550997,0.6272010454944554,0.06261555491060633,0.9765238072561278,0.005047488730887572,0.7166276945560833,0.06481334213228795
19,700,50,1,log2,30.0,gini,balanced,True,0.8108421728430321,0.01701198443701658,0.6268663051797112,0.07724375118210842,0.9218943033568492,0.007285830233668582,0.7169707303211139,0.07495662597904378
14,400,20,2,,30.0,gini,balanced,True,0.9805360571989097,0.009456410640085754,0.6239112205937042,0.07169746469367519,0.999362749700099,0.0003366915239117029,0.7307502131287298,0.06603820097022481
2,700,5,10,log2,4.0,gini,balanced,False,0.8176317308376723,0.012577404911295038,0.6210101085352927,0.07778991836959202,0.9375916313475244,0.006422436237882427,0.7132363090163601,0.06532546715151533
15,200,10,2,log2,40.0,gini,balanced,True,0.9852245311233461,0.005690577400696964,0.6192584083172823,0.06986339289055764,0.9993964020962449,0.0006701911988494848,0.7314699792960663,0.04806821497454989
34,400,50,1,,40.0,gini,,True,0.7994579446328238,0.01624635286853515,0.6138127273898065,0.06544164920787357,0.9555816354066747,0.005014733832122349,0.7190671051029108,0.07224845793945797
33,100,20,4,,8.0,gini,,True,0.8187716403034864,0.016229328343195713,0.6127198295111501,0.07570050320707988,0.9821753779658442,0.0039450223472251855,0.7236382089067511,0.0661817942237915
11,200,5,3,log2,40.0,entropy,balanced,True,0.9953154399803272,0.003826162844598152,0.6106502347456214,0.06300886198203731,0.9999386637458926,0.0001226725082146718,0.734983964600333,0.05211465000744033
10,100,5,3,log2,30.0,gini,balanced_subsample,False,0.996883279388131,0.00155842072564161,0.6068604113526173,0.06416275069335117,1.0,0.0,0.7189010676734463,0.053728583193045465
21,200,10,10,log2,,gini,,False,0.7385841632726067,0.011208292763941748,0.603424168551904,0.07035740748815734,0.9765414316781525,0.002819551945607881,0.7233524134291398,0.05516034222770942
26,100,5,4,sqrt,30.0,gini,,False,0.9928951328622876,0.0046142388900463314,0.5997996830206402,0.05799218741913398,1.0,0.0,0.7253282182438193,0.055829660977718853
24,150,5,10,,20.0,entropy,balanced,False,0.8294770394110438,0.019215998901423267,0.5935921664733113,0.04451749398402736,0.9564975248254453,0.010807478038523102,0.6614580034912516,0.06622513933378922
