candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
5,700,20,1,,20.0,gini,balanced,False,0.8925749084605453,0.018017153222495915,0.6225826737317206,0.053694259318467684,0.9856250000000001,0.003044628328681192,0.662962962962963,0.07825357115925732
12,700,2,3,,8.0,gini,balanced_subsample,False,0.8744652876562015,0.04850409708622027,0.6181628849043233,0.03938093274976911,0.9682638888888888,0.027228602962197253,0.6793333333333333,0.05584291116178777
25,200,2,10,,10.0,gini,balanced_subsample,True,0.9420435530469696,0.01036707038941251,0.5945687303429275,0.043414242434940194,0.9930740740740742,0.0019103267842169311,0.6925925925925925,0.07556426964999154
18,150,100,5,log2,40.0,entropy,balanced,False,0.8193958418480575,0.019776963847304076,0.5927093829953355,0.06641844666519517,0.9759351851851852,0.006504944305028506,0.6768888888888889,0.09060733958285373
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.8895767112699661,0.01922477406822117,0.5894692522385929,0.09963779151293448,0.9782500000000001,0.006492477445050218,0.6780740740740742,0.07989100943287059
16,700,2,10,sqrt,4.0,entropy,balanced,False,0.7381255956255757,0.03386447212479353,0.5862743837328406,0.06326817047226159,0.962212962962963,0.008652102751942914,0.6968888888888889,0.0724327794895489
27,100,100,2,sqrt,4.0,entropy,balanced_subsample,False,0.7055465237478582,0.03201242623665473,0.5833710901613365,0.06987214502029625,0.9341481481481482,0.009651399892775197,0.6934814814814814,0.07873680349725727
3,400,20,1,log2,,gini,balanced,False,0.9856223260473659,0.0020343373685941185,0.5814055592767766,0.06982762880949375,1.0,0.0,0.6890370370370371,0.09978566880177103
24,150,5,10,,20.0,entropy,balanced,False,0.8352912678080008,0.02880978308271657,0.5784523462703259,0.05088878627746038,0.9621064814814815,0.012693605275232184,0.6265925925925926,0.05866432842328701
23,300,2,1,sqrt,4.0,gini,balanced,False,0.8085372683084892,0.025284600222555676,0.5781245365465619,0.08042373741233573,0.9832777777777778,0.005212181705814847,0.6862222222222222,0.07134775439783066
14,400,20,2,,30.0,gini,balanced,True,0.9931468652983341,0.0020802577406667843,0.5740918015988533,0.06315074176742176,0.9997037037037038,0.00026123585147533,0.6986666666666668,0.07285123990027115
7,200,100,4,sqrt,30.0,entropy,balanced_subsample,True,0.7838910909231742,0.033003595170927345,0.5720427401926164,0.10118877271692858,0.9219722222222222,0.011586756015036698,0.654074074074074,0.08485798674816646
37,700,50,1,log2,10.0,entropy,balanced,True,0.9004514142339396,0.028170961067719515,0.5693886700258135,0.08426332931556262,0.9768611111111112,0.009175145723081504,0.6632592592592592,0.08308271780133648
22,700,100,2,sqrt,20.0,entropy,balanced,True,0.802516851958823,0.029896322623003315,0.5690197869101978,0.10684265454703187,0.929175925925926,0.015841653650986248,0.662962962962963,0.08095452499149185
10,100,5,3,log2,30.0,gini,balanced_subsample,False,1.0,0.0,0.5658966789415955,0.05916173874161204,1.0,0.0,0.6684444444444445,0.10797916783283272
19,700,50,1,log2,30.0,gini,balanced,True,0.8937023309360802,0.026206595186857834,0.5609994465628269,0.09027729466638976,0.9745000000000001,0.010062919341772197,0.654074074074074,0.07654544003123087
13,500,5,1,sqrt,40.0,gini,balanced,False,1.0,0.0,0.5568742148729038,0.04551197165218937,1.0,0.0,0.6912592592592592,0.09191562899324354
29,150,2,1,log2,4.0,entropy,balanced_subsample,True,0.842256801572732,0.03430792824553726,0.5545925995611592,0.07263615595763093,0.9634074074074075,0.01179546046227733,0.6570370370370371,0.06478496667222683
2,700,5,10,log2,4.0,gini,balanced,False,0.7815502895861876,0.028162703355190076,0.5481460007180786,0.07308694132995498,0.9744166666666667,0.007828297128982975,0.6653333333333333,0.07634216528416224
26,100,5,4,sqrt,30.0,gini,,False,0.9939027712691099,0.004463788788279687,0.5462595872373178,0.047981289848770405,1.0,0.0,0.6742222222222222,0.10682231442311364
20,200,100,5,log2,4.0,entropy,balanced,True,0.7523300375193468,0.03554480418011255,0.5403728889595474,0.07858554063159277,0.9008518518518518,0.019493272027060717,0.6445925925925926,0.06734209289882896
28,200,100,1,log2,4.0,entropy,balanced,True,0.7543782589821987,0.030861733616995256,0.5400371498374719,0.07592759463533741,0.9029074074074075,0.019064889014659633,0.645925925925926,0.06639450619347124
15,200,10,2,log2,40.0,gini,balanced,True,0.9965645097078355,0.0017178353355908357,0.5247354251403009,0.06593864122279745,0.9999444444444444,8.977184921139929e-05,0.6517037037037037,0.09279964996859393
4,100,2,1,log2,40.0,entropy,balanced,False,1.0,0.0,0.5220666159517173,0.03898393687220771,1.0,0.0,0.6508148148148148,0.12099845252896123
35,150,50,2,,,entropy,,False,0.7160397089512129,0.06946418412028427,0.5147857201921052,0.03833293335597507,0.9089027777777776,0.014217988314137845,0.641925925925926,0.07039975994472102
11,200,5,3,log2,40.0,entropy,balanced,True,0.9982777098690236,0.002109414969076637,0.5023297747215674,0.04235337456654114,1.0,0.0,0.6765925925925925,0.09616697869588708
8,150,10,3,log2,,gini,,False,0.9877489082269767,0.0033250971220883116,0.4915571043712609,0.05561108881884963,1.0,0.0,0.6547407407407407,0.10833479581159093
33,100,20,4,,8.0,gini,,True,0.7585402775797783,0.026524255434831667,0.48893958085554,0.04388219721741406,0.9908148148148148,0.0022403963616598366,0.6568888888888889,0.07765478812004978
34,400,50,1,,40.0,gini,,True,0.7059059622122336,0.03824113566840887,0.4867813396172641,0.03897357520798114,0.9833611111111111,0.003039322762265246,0.6559999999999999,0.09255833440317363
32,300,100,10,sqrt,8.0,entropy,,False,0.44642857142857145,0.0,0.44642857142857145,0.0,0.9570925925925925,0.008642138446431927,0.7034074074074075,0.09050457551582908
31,500,50,3,sqrt,8.0,entropy,,True,0.44930136111362257,0.0057455793701021605,0.44642857142857145,0.0,0.9799074074074074,0.0047798767998999524,0.6798518518518518,0.08677663172446301
