candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.8336707764107695,0.007302471119549192,0.7114839292187078,0.026169041186799722,0.9351489611316085,0.0014551376660048969,0.7645510907003444,0.04361440213066245
19,700,50,1,log2,30.0,gini,balanced,True,0.8315994988941828,0.01185192315290007,0.7073486009972123,0.017944991065802177,0.9297994019818756,0.002367944405266903,0.7686521239954075,0.0431183607755242
37,700,50,1,log2,10.0,entropy,balanced,True,0.8299051373493895,0.007659189381977427,0.7026416895357255,0.017501025496986768,0.9317806505188768,0.002455607096248592,0.7662916188289322,0.040192788868095616
13,500,5,1,sqrt,40.0,gini,balanced,False,1.0,0.0,0.7016758459209864,0.0482236470686256,1.0,0.0,0.7589988518943743,0.05706751348863205
25,200,2,10,,10.0,gini,balanced_subsample,True,0.8606957787342042,0.006039801704078768,0.6994763938151726,0.05780537775220401,0.9639249607080357,0.0013638579990680974,0.7440964408725603,0.062125550200245586
28,200,100,1,log2,4.0,entropy,balanced,True,0.7748120364910264,0.015210204093627451,0.6987618665045111,0.021057577396539906,0.8738919526712963,0.0040006489352199595,0.769735935706085,0.037512572900325405
15,200,10,2,log2,40.0,gini,balanced,True,0.9656089725341704,0.008137363760892642,0.697908899567529,0.026977325024014186,0.996716682643541,0.00050502514009809,0.7681285878300803,0.043408511810865566
20,200,100,5,log2,4.0,entropy,balanced,True,0.7706340804127884,0.014115146985064072,0.6975554949320294,0.017600626817847104,0.8736170482538762,0.004337793002159204,0.7692950631458093,0.03782328596851518
29,150,2,1,log2,4.0,entropy,balanced_subsample,True,0.8220008367030148,0.00805630455370378,0.6972750500342781,0.023798554794649283,0.9309139979713086,0.005543954597882612,0.7689184845005742,0.045589421604504424
27,100,100,2,sqrt,4.0,entropy,balanced_subsample,False,0.7966526264558217,0.013610343891967651,0.6956731627888258,0.031954925513407145,0.9065162657585857,0.004260274085849393,0.7722571756601608,0.04445565179958389
18,150,100,5,log2,40.0,entropy,balanced,False,0.8088190649993638,0.007963367956938324,0.6922824633780718,0.020925735217984662,0.9182899914170743,0.0034185268286528766,0.7714948335246843,0.04430561976672607
16,700,2,10,sqrt,4.0,entropy,balanced,False,0.8181555056292561,0.008707434259481705,0.6914893493162596,0.02564714049342514,0.9385943926744174,0.00425908677806564,0.7703696900114811,0.04036782900697863
3,400,20,1,log2,,gini,balanced,False,0.9801936820538385,0.005833595278754736,0.6905844903200601,0.03163909003157145,0.9993276476095995,0.00026732378463070283,0.7675040183696901,0.047611873355624494
22,700,100,2,sqrt,20.0,entropy,balanced,True,0.7813948000805517,0.009018319285829432,0.6896096851914687,0.03569675021942169,0.8787942522265446,0.006348687340576978,0.7641836969001148,0.034089637306474886
23,300,2,1,sqrt,4.0,gini,balanced,False,0.8569714562431011,0.009796618555797823,0.6870435508681128,0.02913996578920679,0.9568073328280182,0.002672287051298183,0.7646337543053962,0.05181933837310707
2,700,5,10,log2,4.0,gini,balanced,False,0.8147069852527553,0.007489886103804507,0.6865938561678135,0.01654697486657788,0.9336192915185091,0.004528042054946281,0.765382319173364,0.04579101829288103
11,200,5,3,log2,40.0,entropy,balanced,True,0.987854112390392,0.004029694087962161,0.6850453055449697,0.04524949863521502,0.9994947081247979,0.0003356799533750261,0.7732215843857635,0.04733897629167346
7,200,100,4,sqrt,30.0,entropy,balanced_subsample,True,0.7705325978475084,0.006901532157034597,0.6849899490481764,0.032955553707666584,0.8753053487231505,0.008015700680944253,0.7599127439724455,0.03578308051389567
26,100,5,4,sqrt,30.0,gini,,False,0.9836066382054428,0.006750142512440403,0.6838886055366658,0.03530169648357676,0.9999638430327822,2.2912158626991225e-05,0.7658874856486797,0.04905143364811934
8,150,10,3,log2,,gini,,False,0.9766723715033733,0.004691398991767991,0.6768615164865375,0.04526642531792244,0.9999640520325928,5.558259924008984e-05,0.7737726750861079,0.04539952471626396
