candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
11,200,5,3,log2,40.0,entropy,balanced,True,0.9869129397899687,0.004696307072157461,0.8471577899760157,0.06734720868681131,0.9976831724425308,0.001581459702102933,0.9089516129032258,0.0330709042038668
35,150,50,2,,,entropy,,False,0.8880490741138016,0.023602697169012542,0.8289861769668205,0.05483860398233804,0.9700859550431742,0.01776438371367144,0.8327240143369176,0.03111872758387359
8,150,10,3,log2,,gini,,False,0.9694977534329972,0.011456697560469587,0.827366123309349,0.08880700444102854,0.998554066254601,0.0008455989468604366,0.9019026284348867,0.038379483854558916
33,100,20,4,,8.0,gini,,True,0.8939848582958663,0.020977603011995742,0.8268046963077603,0.056568736713844506,0.9839798828622358,0.0036976553545556502,0.8597162485065711,0.05243015883242199
10,100,5,3,log2,30.0,gini,balanced_subsample,False,0.9925839721714738,0.0037088565806762813,0.8247289160132698,0.0863979237962818,0.9998083200222239,0.00017747515332216762,0.9051433691756273,0.04338637914924384
15,200,10,2,log2,40.0,gini,balanced,True,0.9812851163638155,0.010354936540707222,0.820826265317878,0.08338018582566373,0.997249809014515,0.0016637992147295465,0.8992054958183993,0.04388313473479384
26,100,5,4,sqrt,30.0,gini,,False,0.9771838282182121,0.013426139822908313,0.8204433760683761,0.07879650026332898,0.9985498992985624,0.000856108642193307,0.8947267025089607,0.0518976273513628
29,150,2,1,log2,4.0,entropy,balanced_subsample,True,0.953540947239464,0.007507009293551286,0.8174564496496753,0.08276457262297571,0.9973486584716531,0.0006477182522384132,0.9069952210274792,0.04038338881459564
30,150,5,5,log2,8.0,entropy,,False,0.9576248620126734,0.009937322035944234,0.8173065994998252,0.08549362920301014,0.9973942634905202,0.0013851631555475412,0.9071654719235364,0.0365887089447189
4,100,2,1,log2,40.0,entropy,balanced,False,1.0,0.0,0.8153306371048308,0.06350494310871863,1.0,0.0,0.8942308841099165,0.037191265818851384
34,400,50,1,,40.0,gini,,True,0.9537681437427438,0.009575187784167442,0.8147993437161167,0.04644440348739111,0.9913119198092462,0.004094405335437278,0.8728464755077658,0.04180210384932338
3,400,20,1,log2,,gini,balanced,False,0.9925839721714738,0.0037088565806762813,0.8126625355762286,0.05957008600521743,0.9983151607750539,0.001307474268958484,0.8961887694145758,0.0420824444160194
23,300,2,1,sqrt,4.0,gini,balanced,False,0.9962715737566901,0.004566370919855597,0.8107503590088573,0.044502910052138356,1.0,0.0,0.8964665471923536,0.04071805883284815
37,700,50,1,log2,10.0,entropy,balanced,True,0.8960145519540775,0.01475461894986019,0.8064651389051637,0.06519930619235681,0.9773753038405445,0.005547082368653219,0.8930017921146952,0.05023464182574759
17,400,50,5,sqrt,10.0,entropy,,False,0.8781347497638412,0.010340141995575683,0.8062249511241447,0.08889198649395771,0.9884416973400931,0.00549445135592093,0.8994563918757468,0.04346425753884523
2,700,5,10,log2,4.0,gini,balanced,False,0.9325470491852436,0.01745220737443839,0.8011365641549894,0.0518030521954771,0.9898106581475566,0.004834859308037753,0.8944832735961767,0.04686556166746294
13,500,5,1,sqrt,40.0,gini,balanced,False,1.0,0.0,0.7955945265492035,0.05069659530675665,1.0,0.0,0.9005794504181601,0.034622202650375924
19,700,50,1,log2,30.0,gini,balanced,True,0.8857582524672247,0.013718733849103378,0.7950000483410543,0.056927583287246154,0.9741126004120657,0.005274776182867245,0.8953823178016727,0.04861391885990449
31,500,50,3,sqrt,8.0,entropy,,True,0.8213966525697032,0.015567985365591754,0.7933574758574758,0.06380880357569667,0.9718755932124916,0.004051704247921157,0.8915740740740741,0.04822145416695054
14,400,20,2,,30.0,gini,balanced,True,0.9708796096290138,0.00663516143469447,0.7885860007673087,0.0652878801549805,0.997875454313957,0.0016244228168194115,0.8823327359617682,0.04363928895730385
38,200,20,3,log2,8.0,gini,,True,0.870796626429704,0.012491085936230759,0.7871293290043291,0.07044704930330609,0.9850715095955739,0.0034272046390473403,0.9009109916367981,0.042699541153212735
7,200,100,4,sqrt,30.0,entropy,balanced_subsample,True,0.8466754688199449,0.027552497215689836,0.786743656093405,0.061400861292975076,0.9494542213579645,0.012415830641154696,0.894557945041816,0.0517176865620347
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.8735894467038843,0.014496097118902575,0.7841329955669444,0.05173779718705156,0.9728143158089683,0.0053037774079496185,0.8882676224611709,0.051407418736196635
18,150,100,5,log2,40.0,entropy,balanced,False,0.8818400381520715,0.014322531636525202,0.7803012965101841,0.039024438574191356,0.9729540245850407,0.005841880205142543,0.8983602150537635,0.04799422382654447
36,200,20,2,log2,10.0,entropy,,True,0.8781347497638412,0.010340141995575683,0.7783642601179914,0.0873722214332815,0.9919244623469222,0.0037596597521690252,0.892700119474313,0.046759354560055366
21,200,10,10,log2,,gini,,False,0.8781347497638412,0.010340141995575683,0.7783642601179914,0.0873722214332815,0.9877809570109035,0.00456675139392778,0.8889038231780167,0.0480113142305114
22,700,100,2,sqrt,20.0,entropy,balanced,True,0.8582070053808544,0.013408068776116857,0.7735619222339978,0.09433178304225825,0.9550235201518623,0.008158761453602472,0.8910722819593788,0.05159093823292573
9,100,100,4,log2,40.0,entropy,,False,0.8013463487007175,0.02408770206810925,0.7721361132648445,0.09131466761213189,0.9711333425932356,0.008072733602115493,0.891126045400239,0.05486933626520137
16,700,2,10,sqrt,4.0,entropy,balanced,False,0.9435419629683454,0.02202946154127125,0.7696424974239657,0.03735232098517196,0.9918387388013057,0.004184792245795768,0.8997341696535246,0.046225938366925776
40,400,10,10,sqrt,10.0,gini,,True,0.8552299313840399,0.023220695780691795,0.7670318425355739,0.08408550418503219,0.9746052272148529,0.004894928854235807,0.8868399044205495,0.04611842192922371
25,200,2,10,,10.0,gini,balanced_subsample,True,0.9122604593087269,0.0163479235074136,0.7629615705931496,0.0768388672312132,0.9824860522721485,0.0057059034136789765,0.8732467144563918,0.05097874017135212
28,200,100,1,log2,4.0,entropy,balanced,True,0.8572860818318959,0.021107984637197555,0.7536941257200923,0.13074122636971072,0.9558949464083153,0.012129864383407777,0.8732974910394266,0.04852281216650267
27,100,100,2,sqrt,4.0,entropy,balanced_subsample,False,0.8681108408137403,0.01875564056460966,0.7516458799489174,0.04242163571726241,0.9712933305553626,0.00635405801900854,0.8850268817204301,0.05703264010522815
20,200,100,5,log2,4.0,entropy,balanced,True,0.858245254664579,0.023869856935437115,0.7351510883803479,0.13075464197167383,0.9546606477301666,0.01185017227615586,0.8732706093189965,0.05181139855888394
12,700,2,3,,8.0,gini,balanced_subsample,False,0.950779696424035,0.018216457199532535,0.7297764310834388,0.08032078630590886,0.9971016042780748,0.0019719437042875787,0.7726164874551971,0.06658779654052042
1,200,2,10,log2,10.0,gini,,True,0.8088202994282936,0.03720292857559382,0.7280724891050978,0.15444032942232216,0.9720917424821168,0.0065349234204728854,0.8929778972520909,0.04579684965820604
32,300,100,10,sqrt,8.0,entropy,,False,0.7659241901698943,0.05216403778480652,0.7150222571546101,0.09584705006872576,0.9595796467347271,0.006322467724656689,0.8918787335722819,0.04410115596308601
5,700,20,1,,20.0,gini,balanced,False,0.9654863523336028,0.011707731058102699,0.7106050222451236,0.10991962477194546,0.9977313355094104,0.0013678583525721837,0.7823864994026285,0.07341392350647637
24,150,5,10,,20.0,entropy,balanced,False,0.8889057888040297,0.03829647664115734,0.6564873449037636,0.12298229686207086,0.9716669213139802,0.011205340258574198,0.7289277180406213,0.11717383481937535
