candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
35,150,50,2,,,entropy,,False,0.7683702380717412,0.04589276948067416,0.6666672264277549,0.06044850390658816,0.9698071827619861,0.010102642591172125,0.7091033300767388,0.07959569648364179
25,200,2,10,,10.0,gini,balanced_subsample,True,0.9340667465111142,0.015383794999433025,0.6426526918634631,0.04203055491389707,0.9965748305378985,0.0005480339055034457,0.8524109237873361,0.043674851791713896
19,700,50,1,log2,30.0,gini,balanced,True,0.8900309091964276,0.021737692661209174,0.6345552786162695,0.04432963796612603,0.9943956893787449,0.0017978398957592815,0.8012468164700184,0.09773850242417854
18,150,100,5,log2,40.0,entropy,balanced,False,0.7855235016069292,0.013506818260012508,0.6300209874648104,0.03975496251206883,0.9940393484607469,0.0012398362700997564,0.8044133119567125,0.09539851409782926
37,700,50,1,log2,10.0,entropy,balanced,True,0.8892502438130085,0.01991267007582907,0.6283584023611561,0.046474432741097235,0.9945849210690486,0.0016296703016028986,0.8061860684552886,0.0929110458009321
29,150,2,1,log2,4.0,entropy,balanced_subsample,True,0.8175287988686637,0.022814998576581577,0.6250886463086204,0.03951123386637465,0.983891755231267,0.0012811692140381476,0.7742501899680186,0.09739309324327214
5,700,20,1,,20.0,gini,balanced,False,0.9066556663312578,0.02417569685501491,0.6250109625240656,0.05577583891858925,0.9965434886942598,0.0015951711483551065,0.6812848100737326,0.09543779249465695
12,700,2,3,,8.0,gini,balanced_subsample,False,0.8433606093912429,0.018398721088167803,0.623950367460267,0.041145300474056797,0.9867657821733484,0.0035993155759709745,0.6690889467839041,0.08054578634154443
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.902768279412442,0.01903775507076613,0.6239324302193199,0.05633419004455563,0.994839890012931,0.0015138378218737805,0.8173770635536963,0.08919913158310665
23,300,2,1,sqrt,4.0,gini,balanced,False,0.7567684679924074,0.04819449070902242,0.6238344640022943,0.05475368180162033,0.9946846792847207,0.0007157966425981873,0.7958528937765641,0.1025946773174819
