candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
13,500,5,1,sqrt,40.0,gini,balanced,False,1.0,0.0,0.8114456727501445,0.039188557560009114,1.0,0.0,0.8879998719918076,0.04671238299236633
26,100,5,4,sqrt,30.0,gini,,False,0.9947119478999884,0.0056512823948052,0.8113804103969459,0.037287428259896796,0.9999546099290779,6.616683001245966e-05,0.8851107270865335,0.05562178169118715
8,150,10,3,log2,,gini,,False,0.989403609476809,0.0028476060180500206,0.8081383113017295,0.0438436645406125,0.9998978723404255,0.00013617021276596808,0.8878917050691244,0.05489517578523563
4,100,2,1,log2,40.0,entropy,balanced,False,1.0,0.0,0.8078669601033548,0.046267122444342085,1.0,0.0,0.8836424731182795,0.04472020717538149
10,100,5,3,log2,30.0,gini,balanced_subsample,False,1.0,0.0,0.8050319592438656,0.04287390327630166,1.0,0.0,0.8854269073220686,0.05804987463005112
30,150,5,5,log2,8.0,entropy,,False,0.97271510327244,0.004391263861326651,0.8048861861005925,0.04936117384524862,0.9986809870248716,0.0005146661635030587,0.8810759088581669,0.05556304897127963
33,100,20,4,,8.0,gini,,True,0.9234543285271333,0.013170674818726313,0.802494289897474,0.04587660149855404,0.9831580534039286,0.0024169308773064964,0.8648963133640553,0.06545713107377693
21,200,10,10,log2,,gini,,False,0.9195603256941494,0.009565520461953065,0.8020520537979863,0.057323565897996004,0.9825605307709905,0.001016009951600065,0.8755165130568356,0.06413190680819829
16,700,2,10,sqrt,4.0,entropy,balanced,False,0.8999591256717909,0.012273795953945319,0.7991490280843496,0.041306067050726064,0.9704729169526424,0.0016036841334550842,0.8713626472094214,0.06856405380803363
11,200,5,3,log2,40.0,entropy,balanced,True,0.9780529403406707,0.0028300543521982825,0.7990583218764195,0.045398635644328625,0.9989086197993267,0.000516841688194657,0.8814695340501792,0.054751509677622906
29,150,2,1,log2,4.0,entropy,balanced_subsample,True,0.9090430273746927,0.011323616484663705,0.7989243359445009,0.05492771278978411,0.9747588743994509,0.00244600886810625,0.8640828213005631,0.07615661154066082
40,400,10,10,sqrt,10.0,gini,,True,0.8846794076142761,0.0047065642016580304,0.7988704000962483,0.05801033409700677,0.9643025211622055,0.0016842142094906888,0.8666122631848439,0.06812263235645503
23,300,2,1,sqrt,4.0,gini,balanced,False,0.9340688275877993,0.007144280308072389,0.7988687578846958,0.047547724953477546,0.9853483047357585,0.0011329846161299826,0.871505376344086,0.07220436602567872
17,400,50,5,sqrt,10.0,entropy,,False,0.8961557140816089,0.011539946629335334,0.7986220248081608,0.047194213088661216,0.9684350021243912,0.0024912723988983654,0.867192140296979,0.06976350827521866
1,200,2,10,log2,10.0,gini,,True,0.8845886077226816,0.0067525688689025806,0.7981453837628205,0.05399883581527183,0.9598309246004509,0.001978786597491842,0.8696665386584742,0.07988552073333628
