candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
34,400,50,1,,40.0,gini,,True,0.9601322372613664,0.018627867489999766,0.8720181221859271,0.03546229591208144,0.9966043871252206,0.0012419816880549852,0.9717592592592593,0.00713223457301938
14,400,20,2,,30.0,gini,balanced,True,0.9784136701380783,0.01124454828491461,0.8500171645266127,0.027643953546317806,0.9996445105820106,0.00043764632301761296,0.9679783950617284,0.013642359359992622
33,100,20,4,,8.0,gini,,True,0.908808066383215,0.005846277548650265,0.8489409249463215,0.041973527133005874,0.9950435405643739,0.0010985877990959444,0.9758487654320988,0.006379637842158784
35,150,50,2,,,entropy,,False,0.8949555819501948,0.015345903242827844,0.8378626560666019,0.05739280717492996,0.9828240740740741,0.005365010308275731,0.9137152777777778,0.05407966759026468
23,300,2,1,sqrt,4.0,gini,balanced,False,0.9831541221652709,0.012038629815205577,0.8322178378381574,0.03557317562407276,0.9999603174603175,7.936507936507908e-05,0.9669367283950617,0.01620168270759359
3,400,20,1,log2,,gini,balanced,False,0.9740687701125035,0.005847781177711118,0.8186280151754236,0.05656854749774111,1.0,0.0,0.968479938271605,0.016525500990141193
12,700,2,3,,8.0,gini,balanced_subsample,False,0.9614286408227504,0.03384266015298636,0.8084593057003001,0.0636264872227022,0.9992570546737213,0.0007418798848786335,0.9190586419753087,0.03730484452571326
25,200,2,10,,10.0,gini,balanced_subsample,True,0.926880771165712,0.03004627335693457,0.805945565587223,0.04501334430509788,0.9958515211640211,0.0011579316650910897,0.9535879629629628,0.01719640665500297
26,100,5,4,sqrt,30.0,gini,,False,0.9902212590191815,0.006173057538735283,0.7948139617789673,0.11322414348766485,0.9999217372134039,7.248360768420033e-05,0.9684413580246914,0.012375542584469634
16,700,2,10,sqrt,4.0,entropy,balanced,False,0.9394135402441449,0.008878384728069136,0.7945017263438316,0.06218202220933814,0.9972641093474426,0.000727225906600414,0.9582947530864198,0.021280215121839453
2,700,5,10,log2,4.0,gini,balanced,False,0.9237102657285117,0.007330033898548106,0.7899258485224461,0.05223238848401896,0.9943821649029981,0.0011667179267368247,0.9485339506172841,0.02293575399146134
37,700,50,1,log2,10.0,entropy,balanced,True,0.9056465934566088,0.014643536817596269,0.7891963856561391,0.04664518548574292,0.9891583994708995,0.002237803912863146,0.9351851851851853,0.02384746144701467
7,200,100,4,sqrt,30.0,entropy,balanced_subsample,True,0.8525968382484643,0.034315318379209696,0.7837476556287971,0.07095576582298871,0.9786507936507937,0.007875859541488693,0.9266203703703703,0.03123656547069671
5,700,20,1,,20.0,gini,balanced,False,0.9433394007961674,0.03169248286127978,0.7833158386044872,0.06258468700937804,0.9974641754850089,0.002448147572027182,0.8909722222222222,0.05602064411163005
27,100,100,2,sqrt,4.0,entropy,balanced_subsample,False,0.8712215667119725,0.011455725021945178,0.7818660378522786,0.06592430830694047,0.9889401455026455,0.002109469569221084,0.9411651234567902,0.0308434536771672
