candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
4,100,2,1,log2,40.0,entropy,balanced,False,1.0,0.0,0.9026768050588828,0.013870505711932239,1.0,0.0,0.9519841179538234,0.005708780629323813
10,100,5,3,log2,30.0,gini,balanced_subsample,False,0.9925906686883327,0.0022956015827984774,0.8967641914814717,0.01585809490186169,0.9999912405178606,1.107996587363855e-05,0.9534187724205504,0.003842962975813337
30,150,5,5,log2,8.0,entropy,,False,0.965931740084943,0.00309436570921854,0.8943518604213863,0.011768395001935434,0.9977231422810146,0.0004077291050900292,0.9521521871394933,0.005473866742168853
3,400,20,1,log2,,gini,balanced,False,0.9777959519270274,0.0018569562822779663,0.8933137097941346,0.01802538306423423,0.9988834035740639,0.00018492826954346202,0.9517951295058392,0.005256328677090521
13,500,5,1,sqrt,40.0,gini,balanced,False,1.0,0.0,0.8920508386218717,0.01160773360098473,1.0,0.0,0.9527557404510187,0.005181952526003628
11,200,5,3,log2,40.0,entropy,balanced,True,0.9683188444125831,0.003173623669162217,0.8908309084928829,0.012938850630443775,0.9980928878513093,0.00026576031275549303,0.9518773763807898,0.006360654114773102
15,200,10,2,log2,40.0,gini,balanced,True,0.9597261180471,0.002521628645060328,0.8908274608221036,0.012909691326592298,0.9955806062928525,0.00031134293143567613,0.9502701330615212,0.005353210819783505
8,150,10,3,log2,,gini,,False,0.9813411415695533,0.0011759861805460885,0.8908196835517472,0.017538884468883444,0.9993655044703662,0.00016086675364671636,0.9531908966639803,0.00449153387783558
26,100,5,4,sqrt,30.0,gini,,False,0.9854809768875221,0.0030141754513663918,0.8908051065110874,0.019075338977867173,0.9996669506728415,5.2621033171180304e-05,0.9528014507182476,0.004978729193354282
38,200,20,3,log2,8.0,gini,,True,0.9306439354764539,0.0005950376963216943,0.8897290995910968,0.013898867921057635,0.9860191460357836,0.0003161875859689379,0.9484193334281515,0.0064060696942368585
36,200,20,2,log2,10.0,entropy,,True,0.941336624048214,0.00240829404295203,0.8884998004791533,0.012793518823510345,0.9903772755932587,0.0003553053276988907,0.9501026525387569,0.007420626906968015
40,400,10,10,sqrt,10.0,gini,,True,0.9235198106798996,0.003193012695785987,0.8873115604206131,0.0106723721141067,0.9816342879916196,0.00020580383461585688,0.9476328481802809,0.005955490209975629
23,300,2,1,sqrt,4.0,gini,balanced,False,0.931511791695209,0.0011580729791040262,0.8872768092189596,0.012495274056622367,0.9825673774116002,0.0006416475898643236,0.946397750438534,0.007252205720307026
16,700,2,10,sqrt,4.0,entropy,balanced,False,0.9237977653045979,0.002043372522888124,0.8872364399607848,0.010743705706687081,0.9784878078601054,0.0005773790124405729,0.9458045402108125,0.00813102614221565
21,200,10,10,log2,,gini,,False,0.9389488923834888,0.001928772697059736,0.886083143833045,0.013913243755693631,0.9895657734039685,0.0003526341173938654,0.9492113773921839,0.0064109891322062336
17,400,50,5,sqrt,10.0,entropy,,False,0.9357128024890446,0.0035774197510565226,0.88607315652525,0.012163331984881821,0.9868078637159426,0.00029838608865744384,0.9493099527489374,0.006688962165794968
25,200,2,10,,10.0,gini,balanced_subsample,True,0.9274373361903867,0.002306617689731401,0.885108051378879,0.02109987957706734,0.9863676800272995,0.0004004198018225897,0.9477171178432023,0.003561157124385968
37,700,50,1,log2,10.0,entropy,balanced,True,0.9153341142944935,0.001474276355521428,0.8838566689798736,0.018939878681232095,0.975865056428842,0.001055808444415498,0.9448525972281484,0.008266750401555736
1,200,2,10,log2,10.0,gini,,True,0.9193911098106582,0.0027551566419297467,0.8837652534496174,0.012156701153959192,0.978471771744438,0.0005728395634405673,0.9461450915785647,0.007455026134229992
33,100,20,4,,8.0,gini,,True,0.9395700130282831,0.003556241018738412,0.8827490030264462,0.02446729573377648,0.9905773874825176,0.0006511498837312545,0.94560738159579,0.0041557409424623215
31,500,50,3,sqrt,8.0,entropy,,True,0.9170535463359073,0.004230992144204505,0.8826099189060459,0.013696967212665112,0.9763276452332731,0.0007464680651641583,0.9454970250794101,0.007150301787365036
18,150,100,5,log2,40.0,entropy,balanced,False,0.9088743685232332,0.0022445201541096914,0.8815925323350559,0.020213153605790207,0.9700783215601657,0.0013197139598305585,0.9435838153257796,0.008022188910568617
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.9183276123526097,0.001151830466438034,0.8815681517298014,0.018004725110994286,0.977747985682935,0.0006041561593999195,0.9450803149544083,0.008113300231992162
14,400,20,2,,30.0,gini,balanced,True,0.9532274304981101,0.004813343073824971,0.8804495926950613,0.024758222971900862,0.9939025875768144,0.0005258095352634447,0.9426846584174845,0.002708445468894909
19,700,50,1,log2,30.0,gini,balanced,True,0.9174440027567536,0.003270106443720679,0.880400313381719,0.016105356141359838,0.9771713670268888,0.0008072276651727911,0.9445453942066088,0.0076940825895155844
9,100,100,4,log2,40.0,entropy,,False,0.9114574979034092,0.002908330865330123,0.8802852322711201,0.012564279106914685,0.9708170424466083,0.0009901299402005099,0.9431108503610993,0.008425407923308896
29,150,2,1,log2,4.0,entropy,balanced_subsample,True,0.9161407385248846,0.004199991654040343,0.8801945042573994,0.014672979066467435,0.9756339705133541,0.0014774737917356028,0.9444576992367135,0.008929324362750339
34,400,50,1,,40.0,gini,,True,0.9381980403240018,0.006528547234987236,0.8780765348028776,0.024270102305093418,0.9899510644299794,0.0009809966295988638,0.9362521650152498,0.006966732297909881
22,700,100,2,sqrt,20.0,entropy,balanced,True,0.8991090170524065,0.003831334099157904,0.8779438773383899,0.01787197785871751,0.9613928886379128,0.001307098284446644,0.9382246400859684,0.009271783964079142
32,300,100,10,sqrt,8.0,entropy,,False,0.9073082353887211,0.0028099718741518183,0.877872812993056,0.012745642350813961,0.9703006149266992,0.0007719759148227942,0.9424161688711894,0.007555941273877141
2,700,5,10,log2,4.0,gini,balanced,False,0.9143821450746229,0.0019805631369873697,0.877793209751248,0.013271755015098754,0.972271127857104,0.0010561917039031614,0.9450767395186397,0.009276107205921582
27,100,100,2,sqrt,4.0,entropy,balanced_subsample,False,0.9040662077592581,0.0016932085342774594,0.876699077923212,0.01572918285853336,0.9677268028418892,0.0009125317018183682,0.9411222601494966,0.008723347479677958
28,200,100,1,log2,4.0,entropy,balanced,True,0.8969992262814594,0.0020154025820190305,0.8755773830348806,0.01634279013262834,0.9575624160077574,0.0022267392600011605,0.937329121825566,0.010415936819463694
20,200,100,5,log2,4.0,entropy,balanced,True,0.896700825980276,0.00199651336591986,0.875552091085477,0.015840561604464266,0.9564282996043533,0.002174856333237765,0.9373570181260765,0.010728819424315507
7,200,100,4,sqrt,30.0,entropy,balanced_subsample,True,0.9005831509544826,0.003185071841142301,0.8755345243959965,0.017651547446785158,0.960197152639604,0.0014365295959907994,0.9380856682311667,0.008345784295459648
39,400,100,1,sqrt,10.0,entropy,,True,0.8993216475372439,0.004728779444236574,0.874320167561389,0.014660956133118606,0.9626027659036595,0.0016163529799412691,0.9380574598207936,0.008672561311090139
24,150,5,10,,20.0,entropy,balanced,False,0.9354691296378268,0.0063406051962804355,0.8424478009954857,0.0181929152876724,0.988457226721059,0.0012808115679088267,0.8973169199102389,0.009727005753096702
5,700,20,1,,20.0,gini,balanced,False,0.9460201051405278,0.010176186165781075,0.8361511362220047,0.022535835022683713,0.9925309384264407,0.0021809025488390235,0.8904491517723099,0.016420134159364195
12,700,2,3,,8.0,gini,balanced_subsample,False,0.9715557102674353,0.00515462668853104,0.8339457328500831,0.02930298716867605,0.9955254655830552,0.001731033266183114,0.8618164458193082,0.04090139064720868
35,150,50,2,,,entropy,,False,0.9035341989421912,0.006394726857440578,0.8302418690594202,0.042480834422390076,0.9746429534221583,0.0018779895525964387,0.9060713032759683,0.017664697555541183
