candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.9314675582982994,0.012389933682470503,0.5754606928722703,0.025307081662904855,0.995574854451762,0.0012104995751280082,0.6316979870072654,0.08613268566665322
19,700,50,1,log2,30.0,gini,balanced,True,0.9175774811001085,0.00946298962583455,0.5737610271016413,0.025056054642936303,0.9948510850222526,0.0012677023527706797,0.622344259406115,0.08749339530479282
37,700,50,1,log2,10.0,entropy,balanced,True,0.914501283231315,0.017514042097319934,0.5715543614948315,0.027018876189679315,0.9946614899502801,0.001610372859314286,0.6245315566449586,0.09751016317265121
29,150,2,1,log2,4.0,entropy,balanced_subsample,True,0.7453574756401056,0.022790455959617015,0.5669494057872655,0.04690248521047184,0.9602307207103763,0.0034199690292868673,0.6248892974150706,0.08764983036512225
18,150,100,5,log2,40.0,entropy,balanced,False,0.7982577132867463,0.02173126866163754,0.5659434996481574,0.04214486241966138,0.996124152343255,0.00128766040088805,0.6148224112657102,0.10648439964919611
25,200,2,10,,10.0,gini,balanced_subsample,True,0.9798930817536895,0.008006993322536855,0.561730964780923,0.015033939961693665,0.9990100268678441,0.000658904717755471,0.5949216991485032,0.0720682949151575
28,200,100,1,log2,4.0,entropy,balanced,True,0.6770086452963477,0.013387402011985546,0.5591302395591525,0.05994471971742241,0.9279967637187185,0.0018518123202435808,0.626433886846258,0.09559162155243216
22,700,100,2,sqrt,20.0,entropy,balanced,True,0.7947111392714872,0.032525837066122165,0.5576789244111362,0.035167657667234446,0.9735003751766687,0.00547731708779461,0.6210375363468147,0.09372078795643002
10,100,5,3,log2,30.0,gini,balanced_subsample,False,0.9932311830196507,0.002256642923895946,0.5572629383961745,0.04412772736717963,0.9999422870707602,7.591066033520696e-05,0.591037656501574,0.08602736963888664
20,200,100,5,log2,4.0,entropy,balanced,True,0.673667338368648,0.014303508331065728,0.5567086621481403,0.059951562745725884,0.9257603744653814,0.0022589258342503526,0.6250157803250587,0.09668774615834887
7,200,100,4,sqrt,30.0,entropy,balanced_subsample,True,0.7783137635685018,0.022864811489844362,0.5542925708425341,0.0388727456225594,0.9676926920341085,0.00594924412541397,0.6263711260103012,0.1062501176921472
3,400,20,1,log2,,gini,balanced,False,0.9888507039610787,0.00339515564834598,0.5487825422102068,0.04133472313725686,0.9995202607428366,0.00034414423955622555,0.586145515423866,0.0891391454795697
2,700,5,10,log2,4.0,gini,balanced,False,0.7090065113217531,0.013215672641108268,0.5461203437188498,0.04570726614310224,0.9874825896741966,0.003121487840271792,0.611385384375075,0.09860675884981752
23,300,2,1,sqrt,4.0,gini,balanced,False,0.7351201076723981,0.0192653321161097,0.5431242127095336,0.031205692759288747,0.9936061802344269,0.003029535952985444,0.5871970297743493,0.0992001272808637
14,400,20,2,,30.0,gini,balanced,True,0.9932311830196507,0.002256642923895946,0.5411576994749987,0.02753856533015503,0.9997191756277151,0.0002212344502207541,0.6070765145507413,0.07420742325727812
16,700,2,10,sqrt,4.0,entropy,balanced,False,0.6982414831232724,0.012925105152707766,0.5378039457505496,0.0391252870593051,0.9860364287060346,0.006224269972831311,0.5949626719214348,0.10131732889870695
27,100,100,2,sqrt,4.0,entropy,balanced_subsample,False,0.6722428857099011,0.01647836965565336,0.5264933685054274,0.04267880441869832,0.9742913191642824,0.0062734300233378264,0.5916354664808272,0.1164204116538672
11,200,5,3,log2,40.0,entropy,balanced,True,0.9932311830196507,0.002256642923895946,0.5162091981824887,0.03899771757186236,0.9997419901082951,0.00021570813467296584,0.5931738879677024,0.07894099078255667
15,200,10,2,log2,40.0,gini,balanced,True,0.9932311830196507,0.002256642923895946,0.5138281736434219,0.03476424266611005,0.9996982826277719,0.0001628467581101591,0.6164348080327462,0.07877985020779273
4,100,2,1,log2,40.0,entropy,balanced,False,0.9966041525592837,0.002773005837642488,0.5114071490899079,0.05408608148779198,0.9999916874381753,6.788043964893493e-06,0.5929453536154567,0.05382739434378141
35,150,50,2,,,entropy,,False,0.6072001556217919,0.029853072297263295,0.5065264308013278,0.02770688430345327,0.9463664268294663,0.01131864958783579,0.5175315606501173,0.02158924395699118
