candidate_index,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,criterion,class_weight,bootstrap,mean_train_macro_f1,std_train_macro_f1,mean_valid_macro_f1,std_valid_macro_f1,mean_train_roc_auc,std_train_roc_auc,mean_valid_roc_auc,std_valid_roc_auc
16,700,2,10,sqrt,4.0,entropy,balanced,False,0.8546621070625076,0.015162338707872565,0.7707750089213503,0.0601284078088757,0.9632734003172925,0.006836404012894318,0.8181097560975609,0.06483250484884785
2,700,5,10,log2,4.0,gini,balanced,False,0.8497908547045698,0.01100018506728323,0.7643152919353176,0.06552827277823822,0.956550605564226,0.007477039803301843,0.8127642276422764,0.05681080105168885
3,400,20,1,log2,,gini,balanced,False,0.9812937980455245,0.004208305190307135,0.7625099960166037,0.05976929402285571,0.9986315151358811,0.0005150729078549175,0.8309146341463414,0.07341153915812695
10,100,5,3,log2,30.0,gini,balanced_subsample,False,0.9911439140012309,0.005647998237565481,0.7556385971222328,0.039851499304125536,0.9999006848873353,8.869238042249958e-05,0.8357113821138211,0.07564181067183193
15,200,10,2,log2,40.0,gini,balanced,True,0.974247717885266,0.008634088219552442,0.7536927835852769,0.04828762891543027,0.9968454553662406,0.0011848287099190723,0.8289430894308942,0.07440974465624998
23,300,2,1,sqrt,4.0,gini,balanced,False,0.904610901411585,0.015503742685033864,0.7458631363702357,0.03482902910790755,0.9844626665462848,0.004004958453559415,0.8171544715447154,0.06354811883938284
11,200,5,3,log2,40.0,entropy,balanced,True,0.9809447780209257,0.007702313388484881,0.7426820967465956,0.053842371982102746,0.998137519185874,0.0005735248620394556,0.8288008130081301,0.07610630074542805
37,700,50,1,log2,10.0,entropy,balanced,True,0.8225391288589575,0.01068756099827265,0.7396281152983892,0.062244527498586194,0.9342153461196168,0.009402670543779409,0.7920325203252032,0.05409626826013187
14,400,20,2,,30.0,gini,balanced,True,0.9609295877347608,0.013003972315307073,0.7395109664121994,0.06767643782440735,0.993811830106667,0.0019414151435419651,0.7901626016260161,0.08292751175392676
19,700,50,1,log2,30.0,gini,balanced,True,0.8073476221170781,0.01691770310606226,0.7318186082008621,0.07266711890604281,0.9274583714901137,0.01048796825273573,0.7880487804878049,0.05351566962457364
29,150,2,1,log2,4.0,entropy,balanced_subsample,True,0.8938068146676492,0.008987129136764006,0.7305759861431778,0.04867271557066158,0.9762556267815453,0.0035010931890565723,0.7978455284552846,0.061811927299946
6,500,50,2,sqrt,,gini,balanced_subsample,True,0.8000198834137331,0.01671382995045687,0.73009712967701,0.06982074825511674,0.9283850975738737,0.010479759361456611,0.794979674796748,0.050698391056399256
25,200,2,10,,10.0,gini,balanced_subsample,True,0.8714290190972067,0.014527403584669415,0.729973059481521,0.057834193975422485,0.9672485844371929,0.007145009611494267,0.8148780487804878,0.06664750369042922
13,500,5,1,sqrt,40.0,gini,balanced,False,0.9966565525471769,0.0027300167187559754,0.7272014761899983,0.06290384316134788,1.0,0.0,0.8295528455284554,0.07234954164940398
7,200,100,4,sqrt,30.0,entropy,balanced_subsample,True,0.7391352148284319,0.020915788775211483,0.7137625873619082,0.04902440291025972,0.8514068566121937,0.015209982451528097,0.7672764227642276,0.050822397506485505
27,100,100,2,sqrt,4.0,entropy,balanced_subsample,False,0.7726538886128858,0.01634954412104059,0.7129250100302732,0.07468596844038984,0.8965924920354439,0.014614770447935126,0.7845121951219511,0.05877919462419433
18,150,100,5,log2,40.0,entropy,balanced,False,0.7860645080526283,0.020893182867653938,0.7065011391986742,0.06814974920076311,0.9112690407707884,0.010660940088217004,0.780020325203252,0.05181721524126809
4,100,2,1,log2,40.0,entropy,balanced,False,1.0,0.0,0.7062826451569467,0.06244773914342777,1.0,0.0,0.8259756097560975,0.06743302702472061
22,700,100,2,sqrt,20.0,entropy,balanced,True,0.742734958570815,0.010945941644867379,0.7058501201544173,0.06631512579269283,0.8547007003650153,0.009353283937009007,0.7709146341463414,0.04491991316462769
33,100,20,4,,8.0,gini,,True,0.8854420072569151,0.010406369108196457,0.6975258960541323,0.052545766095954106,0.9746185396809018,0.006323790921370697,0.8019004065040649,0.07301525939804619
8,150,10,3,log2,,gini,,False,0.9748833471626097,0.004706945243879679,0.6944080209196489,0.02766995520688381,0.9992277282635333,0.0002448510338647491,0.8291056910569103,0.07178413492249867
34,400,50,1,,40.0,gini,,True,0.8449935867986035,0.013251282947580705,0.6932788943439443,0.04449411616932484,0.9505143104048704,0.008427175862234083,0.7915650406504066,0.07276752047779436
28,200,100,1,log2,4.0,entropy,balanced,True,0.7365634982825864,0.025403910305433607,0.6911964454001012,0.052782287462070684,0.8597633527234267,0.01441024494951457,0.7605081300813008,0.0453678205710506
26,100,5,4,sqrt,30.0,gini,,False,0.98413907756936,0.004333941140933587,0.688588003676923,0.04876518956489861,0.9994041093240125,0.0003351366592570376,0.8233943089430895,0.07487106373500133
20,200,100,5,log2,4.0,entropy,balanced,True,0.7338479369251363,0.030444654494818583,0.6862276800451351,0.05726212600308014,0.8572059885723128,0.015614854126068965,0.7611991869918701,0.048433829210755716
12,700,2,3,,8.0,gini,balanced_subsample,False,0.9374657738702972,0.01540545778624887,0.6737131543881093,0.08125461546646645,0.9948939778927139,0.002079458946423337,0.6980995934959349,0.10037288161914897
30,150,5,5,log2,8.0,entropy,,False,0.946247427468656,0.00997473303104637,0.6716419959968347,0.06213399191725188,0.9957207439604803,0.000917400429916674,0.8368902439024393,0.06642698088933481
21,200,10,10,log2,,gini,,False,0.857852179026245,0.029098282397930875,0.6595618287210521,0.06205852812838757,0.9746259560691852,0.006247654268357748,0.821910569105691,0.07057037015089862
24,150,5,10,,20.0,entropy,balanced,False,0.8295302212481284,0.018505988938096046,0.6449558520789601,0.07949821185479074,0.9413768363622292,0.009434760320201999,0.7165040650406505,0.09139807625572904
17,400,50,5,sqrt,10.0,entropy,,False,0.8735789159541664,0.006059897783843976,0.631839201807292,0.07310679459157089,0.9609585198178794,0.007096921277851032,0.8173373983739838,0.06583777285060774
36,200,20,2,log2,10.0,entropy,,True,0.9001285625347648,0.01717198428682492,0.6313884172797585,0.1014044273382338,0.9822774116159987,0.003034285685775078,0.8233739837398375,0.0632530971026678
5,700,20,1,,20.0,gini,balanced,False,0.8999294688131407,0.039175753274264764,0.6134125502624489,0.07293058640851843,0.9797863112819389,0.01265653875729433,0.6561280487804879,0.11855995077353972
35,150,50,2,,,entropy,,False,0.7672488650516645,0.06635706899697062,0.611270707519675,0.08553459986618339,0.8986666623673113,0.03820418283616669,0.710060975609756,0.047688044676450325
40,400,10,10,sqrt,10.0,gini,,True,0.7997961250140451,0.03156630155308872,0.5941148102845034,0.09374489820656694,0.9508261211644374,0.0076845290171597995,0.8142479674796748,0.05612555269581586
38,200,20,3,log2,8.0,gini,,True,0.8732906744551094,0.021329236549108843,0.5681052355407765,0.10570662311648674,0.9723365492512673,0.004043705918201892,0.8140650406504065,0.06978641887480272
31,500,50,3,sqrt,8.0,entropy,,True,0.7049783064211155,0.049589596701404365,0.5330446372996548,0.08396938789780259,0.9265829152210084,0.00960446472494968,0.7989837398373985,0.05928858653086903
1,200,2,10,log2,10.0,gini,,True,0.7226724058961504,0.04869086301282326,0.5061767981397103,0.051629100942077906,0.942812229946731,0.00761360369161654,0.8027642276422764,0.059604621073605125
32,300,100,10,sqrt,8.0,entropy,,False,0.5261113851463748,0.06125014971388127,0.49678211700369596,0.07018265965157094,0.8859975364692833,0.014314533712180683,0.7893699186991869,0.05863303650496974
9,100,100,4,log2,40.0,entropy,,False,0.5183103060571187,0.028912404622281597,0.4557926299476202,0.027217117524709653,0.9019885594149437,0.009647782070070032,0.7828455284552847,0.06122248127632082
39,400,100,1,sqrt,10.0,entropy,,True,0.4761300946380502,0.028542826603880946,0.4305234121139865,0.020983781209835677,0.859155692561685,0.011264586582797458,0.7776626016260163,0.0487300891408921
