task,feature_set_name,selection_metric,selection_mode,mean_valid_macro_f1,std_valid_macro_f1,mean_valid_roc_auc,std_valid_roc_auc,mean_train_macro_f1,mean_train_roc_auc,final_valid_macro_f1,final_valid_roc_auc,num_surviving_features,best_params_json
Pgp_Broccatelli,rdkit_descriptors_and_pka,macro_f1,train_cv_5fold,0.9026768050588828,0.013870505711932239,0.9519841179538234,0.005708780629323813,1.0,1.0,0.8709562744400996,0.8982173663024726,235,/data1/tianang/Projects/Intern-S1/train/tree/results/rdkit_descriptors_and_pka_traincv5_n40_seed0/Pgp_Broccatelli/rdkit_descriptors_and_pka/best_params.json
HIA_Hou,rdkit_descriptors_and_pka,macro_f1,train_cv_5fold,0.8720181221859271,0.03546229591208144,0.9717592592592593,0.00713223457301938,0.9601322372613664,0.9966043871252206,0.9185714285714286,0.9857142857142857,235,/data1/tianang/Projects/Intern-S1/train/tree/results/rdkit_descriptors_and_pka_traincv5_n40_seed0/HIA_Hou/rdkit_descriptors_and_pka/best_params.json
BBB_Martins,rdkit_descriptors_and_pka,macro_f1,train_cv_5fold,0.8545436561998869,0.01959817307048842,0.9278102051894093,0.008976314946004437,0.9620217453379979,0.9951133458970107,0.7081930415263749,0.8658810325476992,235,/data1/tianang/Projects/Intern-S1/train/tree/results/rdkit_descriptors_and_pka_traincv5_n40_seed0/BBB_Martins/rdkit_descriptors_and_pka/best_params.json
Carcinogens_Lagunin,rdkit_descriptors_and_pka,macro_f1,train_cv_5fold,0.8471577899760157,0.06734720868681131,0.9089516129032258,0.0330709042038668,0.9869129397899687,0.9976831724425308,0.801418439716312,0.7913043478260869,223,/data1/tianang/Projects/Intern-S1/train/tree/results/rdkit_descriptors_and_pka_traincv5_n40_seed0/Carcinogens_Lagunin/rdkit_descriptors_and_pka/best_params.json
AMES,rdkit_descriptors_and_pka,macro_f1,train_cv_5fold,0.8290469065911813,0.008359339362977032,0.904359175568364,0.006831802241636797,0.9997039057207312,0.9999992715002227,0.8093806609547124,0.8545944678856072,223,/data1/tianang/Projects/Intern-S1/train/tree/results/rdkit_descriptors_and_pka_traincv5_n40_seed0/AMES/rdkit_descriptors_and_pka/best_params.json
hERG,rdkit_descriptors_and_pka,macro_f1,train_cv_5fold,0.8284285400706377,0.03860752722954572,0.8943499542817547,0.03189045364199104,0.9730304964493881,0.9973891016650483,0.7555385790679909,0.8523076923076923,235,/data1/tianang/Projects/Intern-S1/train/tree/results/rdkit_descriptors_and_pka_traincv5_n40_seed0/hERG/rdkit_descriptors_and_pka/best_params.json
DILI,rdkit_descriptors_and_pka,macro_f1,train_cv_5fold,0.8114456727501445,0.039188557560009114,0.8879998719918076,0.04671238299236633,1.0,1.0,0.7696078431372549,0.8882352941176471,227,/data1/tianang/Projects/Intern-S1/train/tree/results/rdkit_descriptors_and_pka_traincv5_n40_seed0/DILI/rdkit_descriptors_and_pka/best_params.json
Skin_Reaction,rdkit_descriptors_and_pka,macro_f1,train_cv_5fold,0.7707750089213503,0.0601284078088757,0.8181097560975609,0.06483250484884785,0.8546621070625076,0.9632734003172925,0.6419437340153453,0.6338383838383839,223,/data1/tianang/Projects/Intern-S1/train/tree/results/rdkit_descriptors_and_pka_traincv5_n40_seed0/Skin_Reaction/rdkit_descriptors_and_pka/best_params.json
SARSCoV2_3CLPro_Diamond,rdkit_descriptors_and_pka,macro_f1,train_cv_5fold,0.7491203474186983,0.04704761965867861,0.8062800807328054,0.1034992312125988,0.8348725442689038,0.9981625096237121,0.5528455284552846,0.5453125,223,/data1/tianang/Projects/Intern-S1/train/tree/results/rdkit_descriptors_and_pka_traincv5_n40_seed0/SARSCoV2_3CLPro_Diamond/rdkit_descriptors_and_pka/best_params.json
PAMPA_NCATS,rdkit_descriptors_and_pka,macro_f1,train_cv_5fold,0.713358768434057,0.03868094941007348,0.8031968076863475,0.031085550728909287,0.9797868884530775,0.9999582717441549,0.5706282513005202,0.7730496453900708,235,/data1/tianang/Projects/Intern-S1/train/tree/results/rdkit_descriptors_and_pka_traincv5_n40_seed0/PAMPA_NCATS/rdkit_descriptors_and_pka/best_params.json
